Introducing WhiteBear .		others threatActor_name others
Release_Time :  2017-08-30 Report_URL :  https://securelist.com/introducing-whitebear/81638/ As a part of our Kaspersky APT Intelligence Reporting subscription , customers received an update in mid-February 2017 on some interesting APT activity that we called WhiteBear .		others others others others others others others others others others others others others security_team others others others others others others others others others others time time others others others others others others others others threatActor_name others
WhiteBear is a parallel project or second stage of the Skipper Turla cluster of activity documented in another private intelligence report “ Skipper Turla – the White Atlas framework ”  from mid-2016 .		threatActor_name others others others others others others others others others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others threatActor_name others
Like previous Turla activity , WhiteBear leverages compromised websites and hijacked satellite connections for command and control ( C2 ) infrastructure .		others others threatActor_name others others threatActor_name others others tool others others tool others others sample_function sample_function sample_function sample_function tool sample_function sample_function others
As a matter of fact , WhiteBear infrastructure has overlap with other Turla campaigns , like those deploying Kopiluwak , as documented in “ KopiLuwak – A New JavaScript Payload from Turla ”  in December 2016 .		others others others others others others threatActor_name others others others others others threatActor_name others others others others others malware others others others others others malware others others others others others others others others others time time others
WhiteBear infected systems maintained a dropper ( which was typically signed ) as well as a complex malicious platform which was always preceded by WhiteAtlas module deployment attempts .		threatActor_name others others others others tool others others others others others others others others others others others others tool others others others sample_function sample_function sample_function sample_function sample_function sample_function others
However , despite the similarities to previous Turla campaigns , we believe that WhiteBear is a distinct project with a separate focus .		others others others others others others others threatActor_name others others others others others threatActor_name others others others others others others others others others
We note that this observation of delineated target focus , tooling , and project context is an interesting one that also can be repeated across broadly labeled Turla and Sofacy activity .		others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others threatActor_name others others
From February to September 2016 , WhiteBear activity was narrowly focused on embassies and consular operations around the world .		others time others time time others threatActor_name others others others others others target_crowd others attack_goal attack_goal others others others others
All of these early WhiteBear targets were related to embassies and diplomatic/foreign affair organizations .		others others others others threatActor_name others others others others target_crowd others target_crowd target_crowd target_crowd others
Continued WhiteBear activity later shifted to include defense-related organizations into June 2017 .		others threatActor_name others others others others others target_crowd target_crowd others time time others
WhiteBear infections appear to be preceded by a condensed spearphishing dropper , lack Firefox extension installer payloads , and contain several new components signed with a new code signing digital certificate , unlike WhiteAtlas incidents and modules .		threatActor_name others others others others others others others others tool tool others others tool others others others others others others others others others others others others others others others others others others others threatActor_name others others others others
The exact delivery vector for WhiteBear components is unknown to us , although we have very strong suspicion the group spearphished targets with malicious pdf files .		others others others others others threatActor_name others others others others others others others others others others others others reference_word reference_word attack_activity others others others tool tool others
The decoy pdf document above was likely stolen from a target or partner .		others others tool others others others others others others others others others others others
And , although WhiteBear components have been consistently identified on a subset of systems previously targeted with the WhiteAtlas framework , and maintain components within the same filepaths and can maintain identical filenames , we were unable to firmly tie delivery to any specific WhiteAtlas component .		others others others threatActor_name others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others
WhiteBear focused on various embassies and diplomatic entities around the world in early 2016 – tellingly , attempts were made to drop and display decoy pdf ’  s with full diplomatic headers and content alongside executable droppers on target systems .		threatActor_name others others others government others government government others others others others time time others others others others others others others others others others others tool others others others others others others others others others others tool others others others others
The WhiteBear platform implements an elaborate set of messaging and injection components to support full presence on victim hosts .		others threatActor_name others sub_activity sub_activity sub_activity sub_activity sub_activity tool tool tool tool others others attack_goal attack_goal attack_goal attack_goal attack_goal others
Sample MD5 :  b099b82acb860d9a9a571515024b35f0 Type PE EXE Compilation timestamp 2002.02.05 17:36:10 ( GMT )  Linker version 10.0 ( MSVC 2010 )  Signature “ Solid Loop Ldt ”  UTCTime 15/10/2015 00:00:00 GMT – UTCTime 14/10/2016 23:59:59 GMT The WhiteBear binary loader maintains several features including two injection methods for its ( oddly named ) “ KernelInjector ”  subsystem , also named by its developer Standart WindowInject ( includes an unusual technique for remotely placing code into memory for subsequent thread execution )  The loader also maintains two methods for privilege and DEP process protection handling :  GETSID_METHOD_1 GETSID_METHOD_2 The binary contains two resources :  BINARY 201 File size :  128 bytes Contains the string , “ explorer.exe ”  BINARY 202 File size :  403456 bytes File Type :  PE file ( this is the actual payload and is not encrypted )  This PE file resource stores the “ main orchestrator ”  .dll file The loader creates the mutex “ { 531511FA-190D-5D85-8A4A-279F2F592CC7 } ”  , and waits up to two minutes if it is already present while logging the message “ IsLoaderAlreadyWork + ”  .		others encryption_algo others md5 others others others others others time time others others others others others others others others others others others others others others others others others others others others others others others others others sample_name sample_name sample_name sample_name others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others reference_word reference_word others others others others others others others others others others others others others others others others others others others others string string others others others others others others others others others others sample_name others string string others others others others others others others others others others others others others others others others others others others others others others others others others others others sample_name sample_name sample_name sample_name sample_name others reference_word reference_word others others others others others string others others others others others others others others others others others others others others others others others others others string string others others
The loader creates the mutex “ { 531511FA-190D-5D85-8A4A-279F2F592CC7 } ”  , and waits up to two minutes .		reference_word reference_word others others others others others string string others others others others others others others others others
If it is already present while logging the message “ IsLoaderAlreadyWork + ”  , it extracts the resource BINARY 201 .		others others others others others others others others others others string string others others others others others others string string others
This resource contains a wide string name of processes to inject into ( i.e .		reference_word reference_word others others others others others others others others others others others others others
“ explorer.exe ”  ) .		others sample_name others others others
The loader makes a pipe named :  \.pipeWinsock2CatalogChangeListener-%03x%01x-%01x Where the “ %x ”  parameter is replaced with the values 0xFFFFFFFF 0xEEEEEEEE 0xDDDDDDDD , or if it has successfully obtained the user ’s SID :  \.pipeWinsock2CatalogChangeListener-%02x%02x-%01x With “ %x ”  parameters replaced with numbers calculated from the current date and a munged user SID .		reference_word reference_word others others tool others others string string string string string string string others others others others others others others others others others others others string string string others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The pipe is used to communicate with the target process and the transport module ;   The loader then obtains the payload body from resource BINARY 202 .		reference_word reference_word others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others reference_word reference_word others others others others others others others string string others
It finds the running process that matches the target name , copies the buffer containing the payload into the process , then starts its copy in the target process .		reference_word sample_function sample_function sample_function sample_function others others others others others others sample_function sample_function sample_function others others others others others others others others sample_function sample_function sample_function others others others others others
Sample MD5 :  06bd89448a10aa5c2f4ca46b4709a879 Type , size :  PE DLL , 394 kb Compilation timestamp :  2002.02.05 17:31:28 ( GMT )  Linker version :  10.0 ( MSVC 2010 )  101 – RSA private ( ! )		others encryption_algo others md5 others others others others others others others others others others others others time time others others others others others others others others others others others string others encryption_algo others others others others
key 102 – RSA public key 103 – empty 104 – 16 encrypted bytes 105 – location ( “ %HOMEPATH%ntuser.dat.LOG3 ”  )  106 – process names ( e.g .		others string others encryption_algo others others string others others string others others others others string others others others others string string string string others others string others others others others others others
“ iexplore.exe , firefox.exe , chrome.exe , outlook.exe , safari.exe , opera.exe ”  ) to inject into 107 – Transport module for interaction with C&C 108 – C2 configuration 109 – Registry location ( “ HKCUSOFTWAREMicrosoftWindowsNTCurrentVersionExplorerScreen Saver ”  )  110 – no information 111 – 8 zero bytes Values 104 – 111 are encrypted with the RSA private key ( resource 101 ) and compressed with bzip2.4 .		others others others others others others others others others others others others others others others others others string others others others others others others tool tool tool string others tool others string others others others others others others others others others string others others others string others others others others others others others others others others others others encryption_algo others others others others others others others others others tool others
The RSA key is stored with header stripped in a format similar to Microsoft ’s PVK ;   the RSA PRIVATE KEY header is appended by the loader before reading the keys into the encryption code .		others encryption_algo others others others others others others others others others others others company others others others others others others others others others others others others reference_word reference_word others others others others others others others others others
Resource 109 points to a registry location called “ external storage ”  , built-in resources are called “ PE Storage ”  .		others others others others others others others others others others others others others others others others others others others others others others
In addition to storing code , crypto resources , and configuration data in PE resources , WhiteBear copies much of this data to the victim host ’s registry .		others others others sub_activity sub_activity others sub_activity sub_activity others others sub_activity sub_activity sub_activity sub_activity sub_activity others threatActor_name sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
