Threat Assessment : WastedLocker Ransomware Activities .		others others others others others others others
Unit 42 has observed a recent uptick in WastedLocker ransomware activity , which has increased since the initial samples were analyzed by WildFire in May 2020 .		security_team security_team others others others others others others malware others others others others others others others others others others others others others company others time time others
In light of this , together with recent media coverage around large U.S. corporations being targeted by the threat , we have created this general assessment of the ransomware .		others others others others others others others others others others others others location company others others others reference_word reference_word others others others others others others others others others others others
WastedLocker is post-intrusion ransomware of the same ilk as Samsa , Maze , EKANS , Ryuk , BitPaymer and others .		malware others others others others others others others others malware others malware others malware others malware others malware others others others
This type of ransomware differs from large-volume , victim-agnostic ransomware variants like WannaCry by targeting an organization perceived as having a large amount of assets , successfully breaching it , and then deploying specially crafted ransomware to as many systems as possible within that organization in a short timeframe to maximize impact and increase chances of receiving a much larger ransom payment .		others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
On June 23 , 2020 , NCC Group published a report providing a detailed overview of the WastedLocker ransomware , including information on the group believed to be behind it , Evil Corp .		others time time time time others security_team security_team others others others others others others others others others malware others others others others others others others others others others others others others threatActor_name threatActor_name others
In the past , this group has been responsible for the Dridex banking Trojan and other related threats and campaigns .		others others others others reference_word reference_word others others others others others malware malware malware others others others others others others others
Using our threat intelligence platform , AutoFocus , Unit 42 has identified some possible targets for the actors behind WastedLocker .		others others others others others others tool others security_team security_team others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity person sub_activity malware others
The majority of organizations are based in the U.S. , which ties in with activity reported by Symantec on June 26 , 2020 .		reference_word reference_word reference_word reference_word others others others location location others others others others others others others others security_team others time time time time others
The organizations operate in various sectors , including professional and legal services , utilities and energy , manufacturing , wholesale and retail , high tech , engineering , pharma and life sciences , and transportation and logistics ( including one transportation and logistics organization from the United Kingdom that appears to have operations in the U.S ) .		others reference_word others others others others others others industry industry industry industry others industry industry industry others industry others industry industry industry others industry industry others industry others industry industry industry industry others others industry industry industry others others others company company company company others location location location others others others others others others others location others others
According to previously reported WastedLocker activity by Symantec , the most commonly observed initial infection mechanism for WastedLocker attacks are ZIP files ( likely disguised as legitimate software updates ) containing malicious SocGholish JavaScript framework loader components that profile the victim system and use PowerShell to ultimately deploy Cobalt Strike payloads .		others others others others malware others others security_team others others others others others others others others others malware others others tool tool others others others others others others others others others others tool tool tool tool tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
