Unknown .		others others
Release_Time : unknow Report_URL : https://attack.mitre.org/groups/ APT19 ： Codoso , C0d0so0 , Codoso Team , Sunshop Group .		others others others others others others others others threatActor_name others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases others
APT19 is a Chinese-based threat group that has targeted a variety of industries , including defense , finance , energy , pharmaceutical , telecommunications , high tech , education , manufacturing , and legal services .		threatActor_name others others others others others others others others others others others others others others industry others industry others industry others industry others industry others industry industry others industry others industry others others industry industry others
In 2017 , a phishing campaign was used to target seven law and investment firms .		others time others others attack_activity attack_activity others others others others others industry industry industry industry others
Some analysts track APT19 and Deep Panda as the same group , but it is unclear from open source information if the groups are the same .		others others others threatActor_name others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others
APT28 : SNAKEMACKEREL , Swallowtail , Group 74 , Sednit , Sofacy , Pawn Storm , Fancy Bear , STRONTIUM , Tsar Team , Threat Group-4127 , TG-4127 .		threatActor_name others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others
APT28 is a threat group that has been attributed to Russia's Main Intelligence Directorate of the Russian General Staff by a July 2018 U.S. Department of Justice indictment .		threatActor_name others others others others others others others others others government government government government government government government government government government others others time time government government government government others others
This group reportedly compromised the Hillary Clinton campaign , the Democratic National Committee , and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election .		reference_word reference_word others others others target_crowd target_crowd target_crowd others others government government government others others others government government government government others time others others others others attack_goal attack_goal attack_goal location attack_goal attack_goal others
APT28 has been active since at least 2004 .		threatActor_name others others others others others others time others
APT29 : YTTRIUM , The Dukes , Cozy Bear , CozyDuke .		threatActor_name others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others
APT29 is threat group that has been attributed to the Russian government and has operated since at least 2008 .		threatActor_name others others others others others others others others others government government others others others others others others time others
This group reportedly compromised the Democratic National Committee starting in the summer of 2015 .		reference_word reference_word others others others government government government others others others others others time others
