IXESHE An APT Campaign .		threatActor_name others others others others
Release_Time :  2012 Report_URL :  https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp_ixeshe.pdf .		others others others others others others others others others
The majority of the IXESHE campaign ’s C&C servers were based in Taiwan and the United States .		others others others others threatActor_name others others others tool tool tool others others others others location others others location location others
This is , however , not an indicator of attribution .		others others others others others others others others others others others
It is not possible to determine where the attackers are based solely on where their C&C infrastructures are located .		others others others others others others others others person others others others others others others tool tool tool others others others others
In addition , not all of the C&C servers are currently active .		others others others others others others others tool tool tool others others others others others
Many , if not all of them , appear to be compromised machines .		others others others others others others reference_word others others others others others others others
In fact , at least 11 of the C&C servers were hosted on the compromised machines of an East Asian government , which made these very useful for launching targeted attacks against it .		others others others others others others others others tool tool tool others others others others others others others others others government government government others others others reference_word others others others sample_function sample_function sample_function others reference_word others
Most of the malware samples directly accessed an IP address as a C&C server .		others others others others others others others others tool others others others tool tool tool others others
Connections to domains did exist in some cases .		others others others others others others others others others
The domains were usually registered using free dynamic DNS service providers or compromised websites .		others others others others others others others tool protocol tool tool others tool tool others
Overall , this strategy was part of the attackers ’ modus operandi .		others others others others others others others others person others others others others
By choosing compromised machines to act as C&C servers , fewer clues were left for investigators to follow in an attempt to find out who is behind the attacks compared with those using bulletproof hosting services and registered domain names .		others others others others others others others tool tool tool others others others others others others others person others others others others others others others others others others others others others others others others others others others others others others others others others
To conduct research on these servers , investigators need to differentiate between information related to malicious and legitimate use .		others others others others others others others person others others others others others others others others others others others others
One very interesting error revealed more insights into the C&C network ’s setup .		others others others others others others others others others tool tool tool others others others others others
One of the malware samples we tested was designed to access xxx.xxawan.com via port 443 , which , at that time , resolved to xx.xxx.114.87:443 , a server located in the United States .		others others others others others others others others others others others domain others others others others others others others others others others others others IP others others others others others others location location others
The sample , however , received the following error message from the server :  This indicated that the front-end servers actually functioned as proxy servers and that the true C&C servers were hidden behind this initial group of C&C servers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool tool tool others others others others others others others others tool tool tool others others
This made the network more resistant to takedown and analysis .		others others others others others others others others others others others
Due to a server error , however , the attackers revealed the location of one of their back-end servers .		others others others others others others others others others person others others others others others others others others others others
We discovered that the IP address , xx.xx.x2.202 , is located in Guangdong , China .		others others others others others others others IP others others others others location others location others
The particular error returned looked very similar to errors generated by a tool called “ HTran.		others others others others others others others others others others others others others others others tool others
” HTran stands for “ HUC Packet Transmit Tool , ” a connection bouncer that redirects TCP traffic destined for one host to an alternate host , keeping the real host hidden from view .		others tool others others others tool tool tool tool others others others others others others others protocol others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others others others
