Gaza Cybergang Group1, operation SneakyPastes .		threatActor_name threatActor_name threatActor_name others others attack_activity others
Release_Time :  2019-04-10 Report_URL :  https://securelist.com/gaza-cybergang-group1-operation-sneakypastes/90068/ .		others others others others others others others others others
Gaza Cybergang (s ) is a politically motivated Arabic-language cyberthreat actor , actively targeting the MENA ( Middle East North Africa ) region , especially the Palestinian Territories .		threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name others others others others others others others others others others others location others location location location location others others others others others location location others
The confusion surrounding Gaza Cybergang ’s activities , separation of roles and campaigns has been prevalent in the cyber community .		others others others attack_activity attack_activity attack_activity attack_activity attack_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others
For a while , the gang ’s activities seemed scattered , involving different tools and methods , and different malware and infection stages , although there was an alignment in its goals… During our 2018 monitoring of this group , we were able to identify different techniques utilized by very similar attackers in the MENA region , sometimes on the same target .		others others others others reference_word reference_word reference_word reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others time others others reference_word reference_word others others others others others others others others others others others others others others others location location others others others others others others others
The findings led to us distinguishing between three attack groups operating within Gaza Cybergang :  Gaza Cybergang Group1 ( classical low-budget group ) , also known as MoleRATs .		others others others others others others others others others others others others threatActor_name threatActor_name others threatActor_name threatActor_name threatActor_name others others others others others others others others others threatActor_name others
Gaza Cybergang Group2 ( medium-level sophistication ) with links to previously known Desert Falcons .		threatActor_name threatActor_name threatActor_name others others others others others others others others others threatActor_name threatActor_name others
Gaza Cybergang Group3 ( highest sophistication ) whose activities previously went by the name Operation Parliament .		threatActor_name threatActor_name threatActor_name others others others others others others others others others others others attack_activity attack_activity others
The groups use different styles and , in some cases , techniques , but deploy common tools and commands after initial infection .		reference_word reference_word others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others others others others
The three attack groups were identified sharing victims .		others others others others others others others others others
For example , Group1 would deploy a script to infect a specific victim with malware belonging to Group2 , or similarly between Group2 and Group3 .		others others others threatActor_name others others others tool others sample_function sample_function sample_function sample_function others malware others others threatActor_name others others others others threatActor_name others threatActor_name others
More information on previous Desert Falcons ( Group2 ) and Operation Parliament ( Group3 ) activities can be found below :  Group2: The Desert Falcons targeted attacks .		others others others others threatActor_name threatActor_name others threatActor_name others others attack_activity attack_activity others threatActor_name others others others others others others others threatActor_name others others threatActor_name threatActor_name others others others
Group3: Operation Parliament , who is doing what .		threatActor_name others attack_activity attack_activity others others others others others others
Additional findings on Gaza Cybergang Group2 and Group3 will be presented in future publications .		others others others threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name others others others others others others others
For more information , please contact : intelreports@kaspersky.com .		others others others others others others others sample_name sample_name sample_name others
Gaza Cybergang Group1 , described in this post , is the least sophisticated of the three attack groups and relies heavily on the use of paste sites ( with the operation name SneakyPastes ) in order to gradually sneak a remote access Trojan ( RAT ) or multiple , onto victim systems .		threatActor_name threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others others others tool tool others others others others others attack_activity others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others
The group has been seen employing phishing , with several chained stages to evade detection and extend command and control server lifetimes .		reference_word reference_word others others others attack_activity attack_activity others others tool tool tool others sample_function sample_function others sample_function sample_function others sample_function sample_function sample_function others
The most popular targets of SneakyPastes are embassies , government entities , education , media outlets , journalists , activists , political parties or personnel , healthcare and banking .		others others others others others attack_activity others government others government government others industry others industry industry others target_crowd others target_crowd others target_crowd target_crowd target_crowd target_crowd others target_crowd target_crowd target_crowd others
In this post , we ’ll take a closer look at Gaza Cybergang Group1 , including :  Updated 2018/2019 tactics , techniques and procedures .		others others others others others others others others others others others others threatActor_name threatActor_name threatActor_name others others others others time others others tool tool tool others
Victimology of the group between Jan 2018 and Jan 2019 .		others others others others others time time others time time others
Historical checkpoints and politicized graphical decoys in Appendix I .		sample_function sample_function others sample_function sample_function sample_function others others others others
Full list of indicators of compromise in Appendix II .		others others others sample_function sample_function sample_function others others others others
Through our continuous monitoring of threats during 2018 , we observed a new wave of attacks by Gaza Cybergang Group1 targeting embassies and political personnel .		others others others others others others others time others others others others others others others others others threatActor_name threatActor_name threatActor_name others target_crowd target_crowd target_crowd target_crowd others
Gaza Cybergang Group1 is an attack group with limited infrastructure and an open-source type of toolset , which conducts widespread attacks , but is nevertheless focused on Palestinian political problems .		threatActor_name threatActor_name threatActor_name others others others others others tool tool others others tool tool tool tool others others others others others others others others others others others sample_function sample_function sample_function others
The attackers rely a lot on chained attack stages to evade quick detection and hide the communication infrastructure .		person person others others others others tool tool tool others sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others
After an analysis of the samples , and through collaboration efforts with law enforcement agencies , we were able to uncover the full cycle of the intrusions that spread across the majority of the cyber kill chain , including but not limited to the toolset used , TTPs , infrastructure , action on objectives and the victimology .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others protocol others tool others tool tool tool tool tool tool others
These efforts have led to the takedown of a large portion of the related infrastructure .		others others others others others others others others others others others others others others others others
In this campaign , Gaza Cybergang used disposable emails and domains as the phishing platform to target the victims .		others others others others threatActor_name threatActor_name others tool tool tool tool sample_function sample_function sample_function sample_function others others person person others
Then pastebin.com , github.com , mailimg.com , upload.cat , dev-point.com and pomf.cat were used as channels for the different malware stages before achieving a full RAT implementation , which then communicates with the corresponding C2 server .		others tool others tool others tool others tool others tool others tool others others others others others others others others others others others others others tool tool others others others sample_function sample_function sample_function sample_function sample_function sample_function others
We have identified several implants that leveraged PowerShell , VBS , JS , and dotnet for resilience and persistence .		others others others sample_name sample_name others others tool others program_language others program_language others others sample_function sample_function sample_function sample_function sample_function others
The final stage , however , is a dotnet application that takes several commands such as directory listing , screenshot , compress , upload , etc .		others others others others others others others others tool tool others others tool tool others others tool tool others tool others tool others tool others others others
It then creates random long string folder names in temp directories to host the collected files per category before compressing , encrypting and uploading to the C2 server .		reference_word others tool tool tool tool tool tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others sample_function sample_function sample_function others others others others others
The threat actor seemed able to spread attacks widely , but only deployed additional tools and data collection functions in specific cases , as though they had a target list or a filter for targeted victims .		person person person others others others others others others others others others attack_goal attack_goal attack_goal others attack_goal attack_goal attack_goal others others others others others others others others others others others others others others others others others others
Phishing emails with political themes were used in the majority of the observed attack emails .		attack_activity attack_activity others others others others others others others others others others others others others others
These were necessary to lure the intended type of victims – people involved in politics .		reference_word others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others
In order to meet the phishing emails ’ infrastructure requirements , disposable domains and emails were used as the delivery medium .		others others others others others others others others others others others tool tool others tool others others others others others others others
On occasions , the phishing emails contained links to external domains to download the first stage , and sometimes the first stage was attached to the email itself .		others others others others attack_activity attack_activity others tool tool tool tool others sample_function sample_function sample_function sample_function others others others others others others others others others others others others others
