Unknown .		others others
Release_Time : unknown Report_URL : https://attack.mitre.org/groups/ APT3 : Gothic Panda , Pirpi , UPS Team , Buckeye , Threat Group-0110 , TG-0110 .		others others others others others others others others threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others
APT3 is a China-based threat group that researchers have attributed to China's Ministry of StateSecurity .		threatActor_name others others others others others others others others others others security_team security_team security_team security_team security_team others
This group is responsible for the campaigns known as Operation Clandestine Fox , Operation Clandestine Wolf , and Operation Double Tap .		reference_word reference_word others others others others others others others attack_activity attack_activity attack_activity others attack_activity attack_activity attack_activity others others attack_activity attack_activity attack_activity others
As of June 2015 , the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.MITRE has also developed an APT3 Adversary Emulation Plan .		others others time time others reference_word reference_word others others others others others others others location target_crowd others others target_crowd target_crowd others location others others others others others threatActor_name others others others others
APT30 is a threat group suspected to be associated with the Chinese government .		threatActor_name others others others others others others others others others others others others others
While Naikon shares some characteristics with APT30 , the two groups do not appear to be exact matches .		others threatActor_name others others others others threatActor_name others reference_word reference_word reference_word others others others others others others others others
APT32 : SeaLotus , OceanLotus , APT-C-00 .		threatActor_name others threatActor_aliases others threatActor_aliases others threatActor_aliases others
APT32 is a threat group that has been active since at least 2014 .		threatActor_name others others others others others others others others others others others time others
The group has targeted multiple private sector industries as well as with foreign governments , dissidents , and journalists with a strong focus on Southeast Asian countries like Vietnam , the Philippines , Laos , and Cambodia .		reference_word reference_word others others others target_crowd target_crowd target_crowd others others others others target_crowd target_crowd others others others others target_crowd others others others others others others others others others location others location location others location others others location others
They have extensively used strategic web compromises to compromise victims .		reference_word others others others tool tool tool others target_crowd target_crowd others
The group is believed to be Vietnam-based .		reference_word reference_word others others others others others others
