3 Vulnerabilities Found on AvertX IP Cameras .		reference_word reference_word others others tool tool tool others
Release_Time :  2020-07-17  Report_URL :  https://unit42.paloaltonetworks.com/avertx-ip-cameras-vulnerabilities/ On February 24 , 2020 , Palo Alto Networks Unit 42 researchers found vulnerabilities present in AvertX IP cameras running the latest firmware .		others others others others others others others others others time time time time others security_team security_team others others others person others reference_word others others company tool tool others others others others others
Three vulnerabilities were found in AvertX IP cameras with model number HD838 and 438IR , as confirmed by AvertX .		reference_word reference_word others others others company tool tool others others others others others others others others others others company others
These products are surveillance cameras intended to be used outdoors with infrared and object detection technology built-in .		others others others others others others others others others others others others others others others others others others
They also allow users to store the recordings in the cloud , in a network video recorder ( NVR ) and also create backups in an SD memory card .		others others others others others others others others others others others others others others tool tool tool others tool others others others others others others others tool tool tool others
The following are the three vulnerabilities we found :  CVE-2020-11625: User enumeration .		others others others others others others others others others vulnerability_cve others vul_aliases vul_aliases others
CVE-2020-11624: Weak password requirements .		vulnerability_cve others vul_aliases vul_aliases vul_aliases others
CVE-2020-11623: Exposed dangerous method or function .		vulnerability_cve others vul_aliases vul_aliases vul_aliases vul_aliases vul_aliases others
The detected vulnerabilities have the following impact :  Attackers can remotely enumerate the usernames of IP camera accounts , facilitating brute-force attacks .		others others others others others others others others person others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others attack_goal attack_goal attack_goal others
Since it is possible to collect a set of valid usernames by interacting with the authentication mechanism of the application , it eases brute-force attacks , in which the attacker verifies if , given a valid username , it is possible to find the corresponding password .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Attackers might be able to access the camera by using its default password because it does not force you to change the default password .		person others others others others sample_function sample_function sample_function others others others tool tool others others others others others others others others others others others others
A lot of IoT devices offer web-based configuration or administrative interfaces .		others others others tool tool others others others others others others others
Often these applications , once installed , are not properly configured and the default credentials provided for initial authentication and configuration are never changed .		others others others others others others others others others others others others others others others others others others others others others others others others others
These default credentials can be obtained by reading the user manual of such a device .		others tool tool others others others others others others others others others others others others others
As a consequence , attackers , and most common IoT botnets , can use them to gain access to the IoT device .		others others others others person others others others others tool tool others others others reference_word others sample_function sample_function sample_function sample_function sample_function sample_function others
Attackers with physical access to the universal asynchronous receiver-transmitter ( UART ) interface can access its bootloader .		person others others others others others protocol protocol protocol others protocol others others others others others others others
As a consequence , they can access and modify additional configurations , reset the configuration and even render the camera inoperable .		others others others others reference_word others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity sub_activity others
The AvertX IP cameras that our team analyzed are rebranded Hikvision cameras with modifications .		others company tool tool others others others others others others others others others others others
AvertX has released a patch for these vulnerabilities and has also removed the UART connector and disabled the interface in the latest production batch .		company others others counter_measure counter_measure counter_measure counter_measure counter_measure others others others counter_measure counter_measure protocol counter_measure others counter_measure counter_measure counter_measure others others others others others others
According to the 2020 Unit 42 IoT Threat Report , security cameras make up only 5% of enterprise IoT devices , but they account for 33% of all security issues .		others others others time others others others others others others others others others others others others others others others tool tool others others others others others others others others others others others others
This is because many cameras are designed to be consumer-grade , focusing on simplicity of use and deployment over security .		others others others others others others others others others others others others others others others others others others others others others
Palo Alto Networks customers are protected from these vulnerabilities via the ML-Powered Next-Generation Firewall , and IoT Security , a subscription available for the NGFW .		security_team security_team others person others sample_function sample_function sample_function sample_function others others tool tool tool others others tool tool others others others others others others tool others
Failed web user interface ( UI ) login attempts to the camera elicit different responses depending on whether a user account exists .		others others tool tool others tool others others others others others others others others others others others others others others others others others
Because the responses indicate whether a submitted username is valid or not , they make it easier to identify legitimate usernames .		others others others others others others others others others others others others others others others others others others others others others others
If a login request is sent to ISAPI/Security/sessionLogin/capabilities using a username that exists on the camera , it will return the value of the salt given to that username , even if the password is incorrect .		others others tool tool others others others location others others others others others others others others others reference_word others others others others others others others others others others others others others others others others others others others
However , if a login request is sent using a username that is not present in the IP camera ’s database , it will return an empty salt value .		others others others others tool tool others others others others others others others others others others others others others others others others others reference_word others others others others others others others
This allows attackers to enumerate legitimate usernames , facilitating brute-force attacks .		others others person others sub_activity sub_activity sub_activity others others others others others
The IP camera does not require users to change the default password for the admin account .		others others others others others others others others others others others others others others others others others
Every time the user logs in with the default password , the camera shows a pop-up window suggesting the password be changed , but there ’s no enforcement .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
An administrator can click “ Cancel ” and proceed to use the device without changing the password .		others person others others others others others others others others others others tool others others others others others
The device allows incautious administrators to continue using the default password ( admin/1234 ) .		others tool others others person others others others others tool tool others tool others others
Additionally , it discloses the default username on the login.js script .		others others reference_word others others others others others others tool tool others
There is an exposed UART interface that allows access to diagnostic and configuration functionalities , and even to system information that can be modified .		others others others others protocol tool others others sample_function sample_function sample_function others sample_function sample_function others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
This security vulnerability can be exploited by attackers with physical access to the UART interface .		reference_word reference_word reference_word others others others others person others others others others others protocol tool others
The team was able to identify a 4-pin Molex connector that was unpopulated .		others others others others others others others others others others others others others others
Most UART interfaces in commercial products are between four and six pins , so the team proceeded to identify and test the pins .		others protocol tool others others others others others others others others others others others others others others others others others others others others others
We connected to the UART interface through an Attify Badge , which is a hardware security tool that uses an FTDI chip , allowing it to speak a wide variety of communication protocols such as SPI , JTAG , I2C and UART .		others others others others protocol tool others others tool tool others others others others others others others others others others tool tool others others reference_word others others others others others others others others others others protocol others protocol others protocol others protocol others
It also has a microUSB port , allowing it to be connected to a PC .		reference_word others others others tool tool others others reference_word others others sample_function sample_function sample_function sample_function others
To determine the baud rate , we tested with the most common values .		others others others others others others others others others others others others others others
We opened a screen terminal to communicate with the camera ’s UART using a baud rate of 115200 .		others others others tool tool others others others others others others others protocol others others tool tool tool tool others
To obtain a Uboot prompt , we interrupted the booting process pressing CTRL + U .		others others others others others others others others others others others others others others others others
No username or password was required .		others others others others others others others
At this point , several commands are available to obtain information about this device including the firmware and configuration settings .		others others others others tool tool others others others sample_function sample_function others others others others others others others others others others
Since this device is intended to be used outdoors , it is especially important to protect it against physical attacks as well as remote attacks .		others others others others others others others others others others others others others others others others others others others others others others others others others others
In summary , the AvertX IP camera models HD838 and 438IR are a rebranded version of Hikvision cameras with modifications and have three vulnerabilities that can be used to compromise the device and even render it inoperable .		others others others others tool tool tool others others others others others others others others others others others others others others others others vulnerability_cve others others others others others sample_function sample_function sample_function others others sample_function sample_function sample_function others
The first is the user enumeration , which allows attackers to perform brute force attacks more efficiently .		others others others others others others others others others person others sub_activity sub_activity sub_activity sub_activity others others others
The second vulnerability is the lack of strong password requirements , which facilitates attackers ’ efforts to find and compromise cameras using default credentials .		others others others others others others others others others others others others others person others others others sample_function sample_function sample_function sample_function others tool tool others
The last one is an exposed UART interface , which allows attackers with physical access to the camera to extract information off the device , change configuration values and even render the device inoperable .		others others others others others others protocol tool others others others person others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity sub_activity others
AvertX responded quickly when contacted and has released a patch for the issues mentioned above .		company others others others others others others counter_measure counter_measure counter_measure others others others others others others
In addition , AvertX has removed the UART connector and disabled the interface starting with the latest production batch .		others others others company others counter_measure counter_measure counter_measure counter_measure others counter_measure counter_measure counter_measure others others others others others others others
Palo Alto Networks protects its customers from attacks on AvertX IP cameras through the following platforms :  The ML-Powered Next-Generation Firewall , which is capable of identifying brute force attacks to block or alert them .		security_team security_team others others others others others others others company tool tool others others others others others others tool tool tool others others others others others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others
IoT Security , a subscription available for the NGFW , which detects brute force attacks on IoT devices and anomalous traffic .		tool tool others others others others others others tool others others sample_function sample_function sample_function sample_function others tool tool others others others others
