APT37 .		threatActor_name others
APT37 frequently exploits vulnerabilities in Hangul Word Processor ( HWP ) due to the software ’s prevalence in South Korea .		threatActor_name others others tool others tool tool tool others tool others others others reference_word reference_word others others others others location location others
Further , the group recently demonstrated access to zero-day vulnerabilities ( CVE-2018-0802 ) and has the flexibility to quickly incorporate recently publicized vulnerabilities into spear phishing and strategic web compromise operations .		others others reference_word reference_word others others others others attack_activity others others vulnerability_cve others others others others others others others others others others others others attack_activity attack_activity others others others others others others
These capabilities suggest a high operational tempo and specialized expertise .		others others others others others others others others others others others
APT37 has repeatedly deployed exploits , especially in Flash , quickly after vulnerabilities are initially publicized ( see Table 1 ) .		threatActor_name others others others others others others others tool others others others others others others others others others others others others others
CVE-2016-4117 , CVE-2016-1019 and CVE-2015-3043 were all exploited by APT37 in this way .		vulnerability_cve others vulnerability_cve others vulnerability_cve others others others others threatActor_name others others others others
FireEye iSIGHT Intelligence confirmed that since at least November 2017 , APT37 exploited a zero-day Adobe Flash vulnerability , CVE-2018-4878 , to distribute DOGCALL malware to South Korean victims .		security_team security_team security_team others others others others others time time others threatActor_name others others attack_activity tool tool others others vulnerability_cve others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
While use and discovery of zero-day exploits over the past several years has expanded beyond a nation-state dominated environment to include commercial vendors of cyber espionage capabilities and sophisticated financially motivated actors , access to zero-day exploits remains a factor in distinguishing sophisticated or well-resourced actors .		others others others others others attack_activity others others others others others others others others others others others others others others others others others others others others others others others others others others others others others attack_activity others others others others others others others others others others others
APT37 uses a variety of techniques for command and control .		threatActor_name others others others others others others tool tool tool others
They leverage compromised servers , messaging platforms and cloud service providers to avoid detection .		reference_word others tool tool others tool tool others tool tool tool others sample_function sample_function others
The group often relies on compromised sites to host second stage malware payloads .		reference_word reference_word others others others tool tool others sample_function sample_function sample_function sample_function sample_function others
Over time , APT37 has changed the email providers to set up command and control accounts in a possible attempt to cover their tracks and cause misdirection .		others others others threatActor_name others sub_activity sub_activity sub_activity sub_activity others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others sample_function sample_function sample_function others sample_function sample_function others
These tactics have been refined over the years as APT37 evolves to evade network defenders .		others others others others others others others others others threatActor_name others others others others others others
APT37 has used various legitimate platforms as command and control for its malware tools .		threatActor_name others others others tool tool others sample_function sample_function sample_function others others others others others
While some early campaigns leveraged POORAIM , which abused AOL Instant Messenger , newer activity deploys DOGCALL , which uses cloud storage APIs such as pCloud and Dropbox .		others others others others others malware others others others tool tool tool others others others others malware others others others tool tool tool others others tool others tool others
APT37 relies on compromised websites to host second stage malware .		threatActor_name others others tool tool others sample_function sample_function sample_function sample_function others
Small websites focused on subjects such as aromatherapy and scuba diving have been leveraged , and were most likely compromised opportunistically and made to host malicious payloads .		tool tool others others others others others others others others others others others others others others others others others others others others others others sample_function sample_function sample_function others
APT37 has improved its operational security over time .		threatActor_name others others others others others others others others
For example , early 2015 use of SLOWDRIFT involved credentials associated with Korea related mail servers such as “ Daum.net ” .		others others others others time others others tool others others others others location others tool tool others others others domain others others
Later , in 2015 and early 2016 , APT37 pivoted to different email providers such as Gmail and “ hmamail.com ” in an attempt to anonymize activity .		others others others time others time time others threatActor_name others others others others others others others tool others others domain others others others others others sample_function sample_function others
Then from mid-2016 onward , APT37 began using @yandex.com and @india.com email accounts -- possibly an attempt to cause misattribution .		others others time others others threatActor_name others others email_evil email_evil others email_evil email_evil others others others others others others others sample_function sample_function others
APT37 employs a diverse suite of malware for initial intrusion and exfiltration .		threatActor_name others others others others others others others sample_function sample_function others sample_function others
Their malware is characterized by a focus on stealing information from victims , with many set up to automatically exfiltrate data of interest .		reference_word reference_word others others others others others others sample_function sample_function sample_function sample_function others others others others others others sample_function sample_function sample_function sample_function sample_function others
Figure 4 shows APT37 ’s malware usage over time .		others others others threatActor_name others others others others others others others
A full breakdown of the malware we associate with APT37 , along with how it is detected by FireEye devices , is available in the Appendix .		others others others others reference_word reference_word others others others threatActor_name others others others others reference_word others others others security_team others others others others others others others others
Along with custom malware used for espionage purposes , APT37 also has access to destructive malware .		others others tool tool others others attack_goal attack_goal others threatActor_name others others others others tool tool others
In April 2017 , APT37 targeted South Korean military and government organizations with the DOGCALL backdoor and RUHAPPY wiper malware .		others time time others threatActor_name others industry industry industry others government government others others malware malware others malware others others others
Although the wiper capability was not used in the identified instance , RUHAPPY can overwrite a machine's Master Boot Record ( MBR ) , causing the system to fail to boot into preconfigured partitions .		others others others others others others others others others others others others malware others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
