GRIZZLY STEPPE – Russian Malicious Cyber Activity .		attack_activity attack_activity others others others others others others
Release_Time : 2016-12-29 Report_URL : https://us-cert.cisa.gov/sites/default/files/publications/JAR_16-20296A_GRIZZLY%20STEPPE-2016-1229.pdf Network administrators are encouraged to check their public-facing websites for the malicious file hashes .		others others others others others others others others others others person person others others others sub_activity sub_activity sub_activity sub_activity others others others others others others
System owners are also advised to run the Yara signature on any system that is suspected to have been targeted by RIS actors .		person person others others others others sub_activity sub_activity tool sub_activity others others tool others others others others others others others others tool person others
Malicious actors may use a variety of methods to interfere with information systems .		person person others others others others others others others sub_activity sub_activity sub_activity sub_activity others
Some methods of attack are listed below .		others others others others others others others others
Guidance provided is applicable to many other computer networks .		others others others others others others others others others others
Injection Flaws are broad web application attack techniques that attempt to send commands to a browser , database , or other system , allowing a regular user to control behavior .		tool tool others others others others others others others others others sample_function sample_function others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The most common example is SQL injection , which subverts the relationship between a webpage and its supporting database , typically to obtain information contained inside the database .		others others others others others tool tool others others sample_function sample_function sample_function others others others others others others others others others others sample_function tool others others others tool others
Another form is command injection , where an untrusted user is able to send commands to operating systems supporting a web application or database .		others others others others others others others others others person others others others sample_function sample_function sample_function sample_function sample_function others others tool tool others tool others
See the United States Computer Emergency Readiness Team ( US-CERT ) Publication on SQL Injection for more information .		others others security_team security_team security_team security_team security_team security_team others security_team others tool others tool tool others others others others
Cross-site scripting ( XSS ) vulnerabilities allow threat actors to insert and execute unauthorized code in web applications .		vul_aliases vul_aliases others vul_aliases others others others person person others sub_activity others sub_activity others others others tool tool others
Successful XSS attacks on websites can provide the attacker unauthorized access .		others vul_aliases others others tool others sample_function sample_function person sample_function sample_function others
For prevention and mitigation strategies against XSS , see US-CERT's Alert on Compromised Web Servers and Web Shells .		others others others others others others vul_aliases others others security_team others others others tool tool tool others tool tool others
Server vulnerabilities may be exploited to allow unauthorized access to sensitive information .		others others others others others others others others others others others others others
An attack against a poorly configured server may allow an adversary access to critical information including any websites or databases hosted on the server .		others others others others others others others others others others others others others others others others others tool others tool others others others tool others
See USCERT's Tip on Website Security for additional information .		others security_team others others others tool tool others others others others
A commitment to good cybersecurity and best practices is critical to protecting networks and systems .		others others others others others others others others others others others others others others others others
Here are some questions you may want to ask your organization to help prevent and mitigate against attacks .		others others others others person others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Backups : Do we backup all critical information?		others others others others others others others others others
Are the backups stored offline?		others others others others others others
Have we tested our ability to revert to backups during an incident?		others others others others others others others others others others others others others
Risk Analysis : Have we conducted a cybersecurity risk analysis of the organization?		others others others others others others others sub_activity sub_activity sub_activity others others others others
Staff Training : Have we trained staff on cybersecurity best practices?		others others others others others others others others sub_activity sub_activity sub_activity others
Vulnerability Scanning & Patching : Have we implemented regular scans of our network and systems and appropriate patching of known system vulnerabilities?		sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others
Application Whitelisting : Do we allow only approved programs to run on our networks?		others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Incident Response : Do we have an incident response plan and have we practiced it?		others others others others others others others others others others others others others others others others
Business Continuity : Are we able to sustain business operations without access to certain systems?		others others others others others others others sub_activity sub_activity sub_activity others others others others others others
For how long?		others others others others
Have we tested this?		others others others others others
Penetration Testing : Have we attempted to hack into our own systems to test the security of our systems and our ability to defend against attacks?		others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
