BACKDOOR SPECIALLY COMPILED FOR YOU .		others others others others others others
Release_Time :  2019-01-11 .		others others others others
Report_URL : https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part-2.pdf .		others others others others others others
Xagent is developed in C++ with a modular architecture , around a core module named AgentKernel .		others others others others others others others others others others others others others others others others others
Xagent has been compiled for Windows , Linux and iOS ( at least ) .		others others others others others others others others others others others others others others others
Xagent possesses two different implementations of its C&C communication channel , one over HTTP and the other over emails ( SMTP/POP3 protocols ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Xagent binaries are often compiled for specific targets , with a special choice of modules and communication channels .		others others others others others others others others others others others others others others others others others others others
The dates posited in the timeline mainly rely on Xagent compilation timestamps , which we believe have not been tampered with because they match up with our telemetry data .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
These dates may be later than the actual events though , as we do not have all Xagent samples , but enough are present to give a good approximation .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In particular , we dated the appearance of Xagent as independent malware in November 2012 , but fellow malware researchers reported to us privately that parts of its code were used before that .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
During our investigations , we were able to retrieve the complete Xagent source code for the Linux operating system .		others others others others others others others others others others others others others others others others others others others others
To the best of our knowledge , this is the first time this Xagent source code has been found and documented by security researchers .		others others others others others others others others others others others others others others others others others others others others others others others others others
This source code is a fully working C++ project , which was used by Sednit operators to compile a binary in July 2015 ( at least ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The project contains around 18,000 lines of code among 59 classes ;  We believe the Linux source code is derived from the Windows version of Xagent .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
In other words , OS-specific operations have been re-implemented , but the core logic remains the same on both platforms .		others others others others others others others others others others others others others others others others others others others others others
As an example of this lineage , the following code snippet shows some Windows API calls for thread termination commented out by the developers , and replaced with a call to the Linux pthreads interface .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
According to its internal version numbering , this source code is version 2 of Xagent , while currently distributed Windows and Linux binaries are version 3 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Nevertheless , there appear to be only minor differences between the two versions , and the source code matches the core logic of the most recent samples on both Windows and Linux platforms .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Also , the iOS version of Xagent found by Trend Micro — not documented in this white paper — is based on this source code , according to our own analysis .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Therefore , we decided to present an analysis of Xagent mainly based on the source code , and not on binaries , to ease the explanations .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
In order to facilitate the reading of the source code , we made the following syntactic choices :  Parts of the code not relevant to our analysis have been replaced by [… ] As the code is heavily commented by its developers , we decided to leave those comments untouched .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
For the reader this comes at the price of enduring poorly-worded English comments , but this allows a finer understanding of what the developers were thinking .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Our own comments on the code appear after the snippets , and are indicated by numbered tags .		others others others others others others others others others others others others others others others others others others
When the developers' comments are in Russian , we added the translation in the form of /* Translates to : … */ .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Commenting out module and channel instantiations is a strategy we previously observed when analyzing Xagent binaries .		others others others others others others others others others others others others others others others others others
Each sample does indeed come with a specific combination of modules and channels , even though the Xagent kernel is completely capable of managing all of them in parallel ( including multiple channels ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
By doing so , operators probably intend to adapt Xagent binaries for specific targets , and avoid exposing the whole Xagent code to security researchers .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Moreover , operators may still deploy additional modules and channels during execution , as we will explain later .		others others others others others others others others others others others others others others others others others others others
The core Xagent functionalities lie in its modules .		others others others others others others others others others
As shown in the startXagent() snippet , Xagent Linux source code contains three modules , plus the kernel which is itself also a module .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Each Linux Xagent module has an equivalent module in the Windows version , as shown in the fourth column of Table 1 ( Windows names come from Run-Time Type Information ( RTTI ) left in some binaries ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Due to operating system peculiarities , the module implementations differ between Windows and Linux , but their IDs and the commands they accept are the same .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
AgentKernel is the execution manager , and the only module that has to be present in all Xagent binaries .		others others others others others others others others others others others others others others others others others others others others
In the kernel constructor code and elsewhere , important strings are accessed through a class named Coder , which is a wrapper around an encrypted string .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
The string is then decrypted on-demand by an exclusive-or ( XOR ) with a key defined at the time the Coder object was instantiated .		others others others others others others others others others others others others others others others others others others others others others others others others others
As for all modules , the core logic of the kernel lies in its run() method , on which an execution thread has been created by the previously described startWork() method .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
First things first , AgentKernel::run() reports the list of installed modules to the C&C server .		others others others others others others others others others others others others others others others others others others others others others others
More precisely , the kernel behaves as if it had received a command called PING_REQUEST from the C&C server ( the kernel's commands will be described in the following section ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The ModuleMsg object is then passed to the AgentKernel::translateToController() method , which takes charge of its encryption , resulting in a CryptRawPacket object .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The buffer starts with a header composed of the agent ID and a checksum calculated on the rest of the data .		others others others others others others others others others others others others others others others others others others others others others others
This checksum is a 2-byte cyclic redundancy check ( CRC ) calculated on the data with a 2-byte pseudo-randomly generated polynomial .		others others others others others others others others others others others others others others others others others others others others others others
Then comes the serialized ModuleMsg object followed by an 11-byte value named DATA_TOKEN , both RC4-encrypted .		others others others others others others others others others others others others others others others others others
