APT28 : AT THE CENTER OF THE STORM .		threatActor_name others others others others others others others others
APT28 TARGETING OF POLITICAL ENTITIES AND INTRUSION ACTIVITY :  OSCE : NOVEMBER 2016 The OSCE confirmed that it had suffered an intrusion , which a Western intelligence service attributed to APT28 .		threatActor_name others others industry industry others others others others government others time time others government others others others others others others others others others others industry industry industry others others threatActor_name others
Germany's Christian Democratic Union ( CDU ) : APRIL - MAY 2016 Researchers at Trend Micro observed APT28 establish a fake CDU email server and launch phishing emails against CDU members in an attempt to obtain their email credentials and access their accounts .		location location government government government others government others others time time time time person others security_team security_team others threatActor_name sub_activity sub_activity sub_activity government sub_activity sub_activity others sub_activity attack_activity attack_activity others government others others others others others attack_goal attack_goal attack_goal attack_goal others attack_goal attack_goal attack_goal others
Pussy Riot : AUGUST 2015 APT28 targets Russian rockers and dissidents Pussy Riot via spear-phishing emails .		person person others time time threatActor_name others others others others others person person others attack_activity others others
NATO , Afghan Ministry of Foreign Affairs , Pakistani Military : JULY 2015 APT28 used two domains ( nato-news.com and bbc-news.org ) to host an Adobe Flash zero-day exploit to target NATO , the Afghan Ministry of Foreign Affairs , and the Pakistani military .		government others government government government government government others industry industry others time time threatActor_name others others others others domain_evil others domain_evil others others sub_activity sub_activity company tool vul_aliases others others others government others others government government government government government others others others industry industry others
German Bundestag & Political Parties : JUNE 2015 Germany's Federal Office for Security in Information Technology ( BSI ) announced that APT28 was likely responsible for the spear phishing emails sent to members of several German political parties .		government government others industry industry others time time government government government government government government government government government others government others others others threatActor_name others others others others others attack_activity attack_activity others others others others others others industry industry industry others
The head of Germany's domestic intelligence agency , Bundesamt für Verfassungsschutz ( BfV ) , also attributed the June 2015 compromise of the Bundestag's networks to APT28 .		others others others government government government government government others government government government others government others others others others others time time others others others government target_crowd target_crowd others threatActor_name others
Kyrgyzstan Ministry of Foreign Affairs : OCTOBER 2014 THROUGH SEPTEMBER 2015 FireEye iSight Intelligence identified changes made to domain name server ( DNS ) records that suggest that APT28 intercepted email traffic from the Kyrgyzstan Ministry of Foreign Affairs after maliciously modifying DNS records of the ministry's authoritative DNS servers .		government government government government government others time time time time time security_team security_team security_team others others others others tool tool tool others tool others others others others others threatActor_name sub_activity sub_activity others others others government government government government government others others sub_activity sub_activity sub_activity others others others others others others others others
Polish Government & Power Exchange websites : JUNE AND SEPTEMBER 2014 APT28 employed "Sedkit" in conjunction with strategic web compromises to deliver "Sofacy" malware on Polish Government websites , and the websites of Polish energy company Power Exchange .		government government others industry industry industry others time time time time threatActor_name others others malware others others others others others others others others sub_activity others malware others sub_activity others government government industry others others others others others others others others company company others
Since 2014 , APT28 network activity has likely supported information operations designed to influence the domestic politics of foreign nations .		others time others threatActor_name others others others others others others others others others others others others others others others others others
Some of these operations have involved the disruption and defacement of websites , false flag operations using false hacktivist personas , and the theft of data that was later leaked publicly online .		others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others others others others others others sub_activity sub_activity sub_activity others others others others others others others
