Unknown .		others others
Release_Time : unknown Report_URL : https://attack.mitre.org/groups/ DarkHydrus is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016 .		others others others others others others others others threatActor_name others others others others others others others industry industry others industry industry others others location location others others others time others
The group heavily leverages open-source tools and custom payloads for carrying out attacks .		reference_word reference_word others others sub_activity sub_activity others sub_activity sub_activity others others others others others
Deep Panda :  Shell Crew , WebMasters , KungFu Kittens , PinkPanther , Black Vine .		threatActor_name threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others
Deep Panda is a suspected Chinese threat group known to target many industries , including government , defense , financial , and telecommunications .		threatActor_name threatActor_name others others others others others others others others others others others others others industry others industry others industry others others industry others
The intrusion into healthcare company Anthem has been attributed to Deep Panda .		others others others others others company others others others others threatActor_name threatActor_name others
This group is also known as Shell Crew , WebMasters , KungFu Kittens , and PinkPanther .		reference_word reference_word others others others others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others others threatActor_aliases others
Deep Panda also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion .		threatActor_name threatActor_name others others others others others others threatActor_aliases threatActor_aliases others others others others others others others others others others company others others
Some analysts track Deep Panda and APT19 as the same group , but it is unclear from open source information if the groups are the same .		others others others threatActor_name threatActor_name others threatActor_name others others others others others others others others others others others others others others others others others others others others
Dragonfly :  Energetic Bear .		threatActor_name others threatActor_aliases threatActor_aliases others
Dragonfly is a cyber espionage group that has been active since at least 2011 .		threatActor_name others others others others others others others others others others others others time others
They initially targeted defense and aviation companies but shifted to focus on the energy sector in early 2013 .		reference_word others others industry others industry others others others others others others others industry industry others others time others
They have also targeted companies related to industrial control systems .		reference_word others others others others others others industry industry industry others
A similar group emerged in 2015 and was identified by Symantec as Dragonfly 2.0 .		others others others others others time others others others others company others threatActor_name threatActor_name others
There is debate over the extent of the overlap between Dragonfly and Dragonfly 2.0 , but there is sufficient evidence to lead to these being tracked as two separate groups .		others others others others others others others others others others threatActor_name others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others
