APT trends report Q1 2020 .		others others others time time others
Release_Time : 2020-04-30 Report_URL : https://securelist.com/apt-trends-report-q1-2020/96826/ For more than two years , the Global Research and Analysis Team ( GReAT ) at Kaspersky has been publishing quarterly summaries of advanced persistent threat ( APT ) activity .		others others others others others others others others others others others others others others others security_team security_team security_team security_team security_team others security_team others others others others others others others others others others others others others others others others others
The summaries are based on our threat intelligence research and provide a representative snapshot of what we have published and discussed in greater detail in our private APT reports .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
They are designed to highlight the significant events and findings that we feel people should be aware of .		others others others others others others others others others others others others others others others others others others others
This is our latest installment , focusing on activities that we observed during Q1 2020 .		others others others others others others others others others others others others others time time others
Readers who would like to learn more about our intelligence reports or request more information on a specific report are encouraged to contact ‘ intelreports@kaspersky.com ’ .		others others others others others others others others others others others others others others others others others others others others others others others others domain domain domain others others
Given the exceptional situation the world is living in because of the COVID-19 pandemia , it is mandatory we to start with a summary of how APT groups have been abusing this topic for different types of attacks .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Since the World Health Organization ( WHO ) declared the COVID-19 a pandemic , this topic has received increased attention from different attackers .		others others government government government others government others others others others others others others others others others others others others others others others others
Many of the phishing scams we ’ve seen have been launched by cybercriminals trying to cash-in on people ’s fears about the virus .		others others others attack_activity attack_activity others others others others others others others others person others others others others others others others others others others others others
However , the list of attackers also includes APT threat actors such as Kimsuky , APT27 , Lazarus or ViciousPanda who , according to OSINT , have used COVID-19-themed lures to target their victims .		others others others others others others others others person person person others others threatActor_name others threatActor_name others threatActor_name others threatActor_name others others others others tool others others others tool tool others others others others others
We recently discovered a suspicious infrastructure that could have been used to target health and humanitarian organizations , including the WHO .		person others others others sub_activity sub_activity others others others others others others sample_function government government government government others others others government others
Even though the infrastructure cannot be attributed to any particular actor at the moment , and was registered before the COVID-19 crisis in June 2019 , according to some private sources it might be related to the DarkHotel actor .		others others others others others others others others others others others others others others others others others others others others others others others others time time others others others others others others others others others others others others threatActor_name others others
However , we cannot confirm this information at the moment .		others others others others others others others others others others others others
Interestingly , some groups have used the current situation to try to soften their reputation by declaring that they would not target health organizations during the crisis .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
There are different publications reporting activity related to other APT actors using this lure , but in general , we do not believe this implies a meaningful change in terms of TTPs other than using a trendy topic for luring victims .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We are closely monitoring the situation .		others others others others others others others
In January 2020 , we discovered a watering-hole utilizing a full remote iOS exploit chain .		others time time others person others others attack_activity others others others tool OS_name tool tool others
This site appears to have been designed to target users in Hong Kong , based on the content of the landing page .		reference_word reference_word others others others others others others sample_function sample_function others location location others others others others others others others others others others
While the exploits currently being used are known , the actor responsible is actively modifying the exploit kit to target more iOS versions and devices .		others others others others others others others others others others person others others others sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity OS_name sub_activity sub_activity sub_activity others
We observed the latest modifications on February 7 .		reference_word others others sub_activity sub_activity others time time others
