APT review of the year .		others others others others others others
Release_Time : 2018-12-05 Report_URL : https://securelist.com/apt-review-of-the-year/89117/ There are a few ‘ traditional ’ actors that are very well known to the security community and that everybody has been tracking for the last few years .		others others others others others others others others others others others others others others others person others others others others others others others others others others others others others others others others others others others others others
It has been business as usual for these actors in 2018 or , if anything , perhaps slightly quieter than usual .		others others others others others others others others others others time others others others others others others others others others others others
In reality , it is the doctrines and modi operandi of these groups that determine how they react in the event of their operations becoming public knowledge .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Some actors will simply abort their campaign and go into clean-up mode , while others carry on as normal .		others person others others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others others others others others others others others
In order to do so , it is common for some of these actors to simultaneously work on several sets of activity .		others others others others others others others others others others others others others others others others others others others others others others others
This allows them to compartmentalize operations , and if they are discovered , they simply improve their toolset to avoid detection next time .		others others others others others others others others others others others others others others others others others others others others others others others others
We traditionally find many Russian-speaking actors in this second group , and we would like to highlight the 2018 activity of Sofacy , Turla and CozyBear .		others others others others others others others others others others others others others others others others others others time others others threatActor_name others threatActor_name others threatActor_name others
Sofacy was probably the most active of the three .		threatActor_name others others others others others others others others others
Throughout the year we detected it in various operations , updating their toolset and being blamed by authorities for several past operations .		others others others others others reference_word others others others others sub_activity sub_activity sub_activity others others others others others others others others others others
We have seen the actor deploying Gamefish and an updated version of its DealersChoice framework against embassies and EU agencies .		others others others reference_word reference_word sub_activity malware others others malware malware malware malware malware others others government others government government others
One of the most high-profile incidents was abuse of Computrace LoJack by this actor in order to deploy its malware on victim machines , in what can be considered a UEFI-type rootkit .		others others others others others others others others others tool tool others reference_word reference_word others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others others malware others
Zebrocy is one of the tools traditionally used by this actor , but in reality the collection of cases where this tool was used can be considered a subset of activity in its own right .		malware others others others others others others others others reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others
