Kazuar : Multiplatform Espionage Backdoor with API Access.		malware others others others malware others others others others
Kazuar : Multiplatform Espionage Backdoor with API Access Release_Time : 2017-5-3 Report_URL : https://unit42.paloaltonetworks.com/unit42-kazuar-multiplatform-espionage-backdoor-api-access/ Unit 42 researchers have uncovered a backdoor Trojan used in an espionage campaign .		malware others others others malware others others others others others others others others others others others security_team security_team person others others others malware malware others others others attack_goal attack_goal others
The developers refer to this tool by the name Kazuar , which is a Trojan written using the Microsoft .NET Framework that offers actors complete access to compromised systems targeted by its operator .		others others others others others others others others others malware others reference_word others others malware others others others company program_language others others others person others others others others others others others others others others
Kazuar includes a highly functional command set , which includes the ability to remotely load additional plugins to increase the Trojan ’s capabilities .		malware others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
During our analysis of this malware we uncovered interesting code paths and other artifacts that may indicate a Mac or Unix variant of this same tool also exists .		others others others others reference_word reference_word others others others others others others others others others others others others OS_name others OS_name others others others others others others others others
Also , we discovered a unique feature within Kazuar : it exposes its capabilities through an Application Programming Interface ( API )  to a built-in webserver .		others others others others others others others others malware others reference_word others others others others others others others others others others others others others others others others
We suspect the Kazuar tool may be linked to the Turla threat actor group ( also known as Uroburos and Snake ) , who have been reported to have compromised embassies , defense contractors , educational institutions , and research organizations across the globe .		others others others malware others others others others others others threatActor_name others others others others others others others threatActor_aliases others threatActor_aliases others others others others others others others others others government others government government others government government others others government government others others others others
A hallmark of Turla operations is iterations of their tools and code lineage in Kazuar can be traced back to at least 2005 .		others others others threatActor_name others others others others others others others others others others malware others others others others others others others time others
If the hypothesis is correct and the Turla threat group is using Kazuar , we believe they may be using it as a replacement for Carbon and its derivatives .		others others others others others others others threatActor_name others others others others malware others others others reference_word others others others reference_word others others others others malware others others others others
Of the myriad of tools observed in use by Turla Carbon and its variants were typically deployed as a second stage backdoor within targeted environments and we believe Kazuar may now hold a similar role for Turla operations .		others others others others others others others others others malware malware others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others malware others others others others others others others threatActor_name others others
Kazuar is a fully featured backdoor written using the .NET Framework and obfuscated using the open source packer called ConfuserEx .		malware others others others others others others others others program_language others others others others others others others others others malware others
We used a combination of tools such as NoFuserEx , ConfuserEx Fixer , ConfuserEx Switch Killer , and de4d0t in order to deobfuscate the code for in depth analysis .		others others others others others others others others tool others tool tool others tool tool tool others others tool others others others others others others others others others others others
We then used dnSpy to export the code to a Microsoft Visual Studio project , so that we could rename the random method names to better understand the flow of the code .		others others others tool others others others others others others tool tool tool others others others others others others others others others others others others others others others others others others others others
We will describe how Kazuar works and what capabilities it offers threat actors .		others others others others malware others others others others others others others others others
The malware initializes by gathering system and malware filename information and creates a mutex to make sure only one instance of the Trojan executes on the system at a time .		others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others others others others others others others malware others others others others others others others others
Kazuar generates its mutex by using a process that begins with obtaining the MD5 hash of a string “ [username]=>singleton-instance-mutex ” .		malware sub_activity sub_activity sub_activity others others others others others others others others others encryption_algo others others others others others string string string string string string others others
The Trojan then encrypts this MD5 hash using an XOR algorithm and the serial number of the storage volume .		others malware others sub_activity sub_activity sub_activity sub_activity others others function others others others others others others others others others others
Kazuar uses the resulting ciphertext to generate a GUID that it appends to the string “ Global\\ ” to create the mutex .		malware others others others others others others others others others others others others others others others string others others others others others others
An interesting artifact that we found within the mutex creation process is that if the code cannot obtain the system ’s storage serial number , it will use a static integer of 16456730 as a key to encrypt the MD5 hash .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others encryption_algo others others
The hexadecimal representation of 16456730 is 0xFB1C1A , which appears to be included by the malware author as a potential reference to the United States ’ FBI and CIA organizations .		others others others others others others others others others others others others others others others person person others others others others others others location location others government others government others others
The Trojan then creates a set of folders on the system to store various files created during its execution .		others malware others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others
Kazuar creates its folders using group names , which logically organize the files contained within the folder .		malware others others others others others others others others others others others others others others others others others
base Parent folder that contains the following folder groups below .		others others others others others others others others others others others
sys	Files that Kazuar uses for configuration settings , such as the ‘ serv ’ item that stores the C2 server locations .		sample_name sample_function sample_function malware sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
log	Files contain debug messages .		sample_name sample_function sample_function sample_function sample_function others
plg	Files are plugins used to extend the functionality of Kazuar .		sample_name sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function
tsk	Files that Kazuar will process as commands and their arguments .		sample_name sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
res	Files contain the results of the successfully processed tasks .		sample_name sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function
The Trojan uses a similar process to create these folder and file names as it uses to generate its mutex , generating an MD5 hash of the name , using XOR on each byte using the volume serial number as a key and generating a GUID based on the ciphertext .		others malware sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity
The resulting GUIDs are used as file and folder names , which are combined with the local system path to the %LOCALAPPDATA% folder to create Kazuar ’s folders .		others others others others others others others others others others others others others others others others others others others others others string string string others others others malware others others others others
Throughout its code , Kazuar verbosely logs its activities by writing debug messages to log files stored within the “ log ” folder .		others others others others malware others others others others others others others others others others others others others others others others others others others
Kazuar encrypts the debug messages saved in these log files using the Rijndael cipher .		malware others others others others others others others others others others others encryption_algo others others
We decrypted the initial entry that was added to the log files during the execution of the Trojan .		others others others others others others others others others others others others others others others others others others others
This entry reveals the following information :  malware_file_name[2720] : Kazuar 's entry point started in process malware_file_name [2720] as user USERNAME .		others others others others others others others others others others others others malware sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity
The log message above shows that the malware author refers to the Trojan as “ Kazuar ” .		others others others others others others others others others others others others malware others others malware others others
Interestingly , the word “ Kazuar ” appears in several languages , such as Polish , Hungarian and Slovenian , and is the ASCII form of the Russian word “ казуар ” .		others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others reference_word others others
The word “ Kazuar ” and казуар translates to Cassowary , which is a large flightless bird native to New Guinea and Australia .		others others others malware others others reference_word others others others others others others others others others others others others location location others location others
After initial setup , the method at the main entry point of the malware .		others others others others others others others others others others others others others others others
The main entry point contains a relatively simple set of if statements that determine the execution path of the malware .		others others others others others others others others others others others others others others others others others others others others others
