Pig in a poke : smartphone adware .		others others others others others others malware others
Release_Time :  2020-07-06  Report_URL :  https://securelist.com/pig-in-a-poke-smartphone-adware/97607/ Our support team continues to receive more and more requests from users complaining about intrusive ads on their smartphones from unknown sources .		others others others others others others others others others others others others others others others others others others others target_crowd others others others malware others others others others others others others
In some cases , the solution is quite simple .		others others others others others others others others others others
In others , the task is far harder : the adware plants itself in the system partition , and trying to get rid of it can lead to device failure .		others others others others others others others others others others malware sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others
In addition , ads can be embedded in undeletable system apps and libraries at the code level .		others others others malware others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
According to our data , 14.8% of all users attacked by malware or adware in the past year suffered an infection of the system partition .		others others others others others others others others others target_crowd others others others others malware others others others others others others others others others others others others
Why is that?		others others others others
We observe two main strategies for introducing undeletable adware onto a device :  1.The malware gains root access on the device and installs adware in the system partition .		others others others others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
2.The code for displaying ads ( or its loader ) gets into the firmware of the device even before it ends up in the hands of the consumer .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The Android security model assumes that an antivirus is a normal app , and according to this concept , it physically can not do anything with adware or malware in system directories .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This makes adware a problem .		others others others others others others
The cybercriminals behind it stop at nothing that will earn them money from advertising ( or rather , the forced installation of apps ) .		others others others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others others others others others
As a result , malware can end up on the user ’s device , such as CookieStealer .		others others others others others others others others others others others others others others others others others malware others
As a rule , 1–5% of the total number of users of our security solutions encounter this adware ( depending on the particular device brand ) .		others others others others others others others others others others others others others others others others others others reference_word others others others others others others others others others
In the main , these are owners of smartphones and tablets of certain brands in the lower price segment .		others others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others
However , for some popular vendors offering low-cost devices , this figure can reach up to 27% .		others others others others others others others others others others others others others others others others others others others
Among the most common types of malware installed in the system partition of smartphones are the Lezok and Triada Trojans .		others others others others others others others others others others others others others others others others malware others malware malware others
The latter is notable for its ad code embedded not just anywhere , but directly in libandroid_runtime — a key library used by almost all apps on the device .		others reference_word others others others others others others others others others others others others sub_activity sub_activity sub_activity others others others others others others others others others others others others others
Although these threats were identified several years ago , users continue to run into them .		others others others others others others others others others target_crowd others others others others others others
But Lezok and Triada are just the tip of the cyber iceberg .		others malware others malware others others others others others others others others others
Below , we examine what else users face today and which system apps were found to contain “ additional ” code .		others others others others others others others others others others others others others others others others others others others others others others
