APT28: A WINDOW INTO RUSSIA’S CYBER ESPIONAGE OPERATIONS?		threatActor_name others others others others location others others others others others others
Release_Time: unknow .		others others others others
Report_URL: https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf .		others others others others others others
In April 2013 , based on compile time , the group began to make significant alterations to the SOURFACE downloader .		time time time others others others others others others others others others others others others others others others malware others others
Variants of the SOURFACE second stage backdoor , EVILTOSS , share some code similarities with SOURFACE .		others others others malware others others malware others malware others others others others others others malware others
However , it contains more capabilities , including the ability to provide access to the file system and registry , enumerate network resources , create processes , log keystrokes , access stored credentials , and execute shellcode .		others others reference_word others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function others sample_function sample_function others sample_function sample_function others sample_function sample_function sample_function others others sample_function sample_function others
The backdoor encrypts data that it uploads with an RSA public key .		others malware others others others others others others others encryption_algo others others others
Many of its variants we have seen are named netui.dll .		others others others others others others others others others sample_name others
EVILTOSS variants may use the Simple Mail Transfer Protocol ( SMTP ) to send stolen data in an attachment named “ detaluri .		malware others others others others protocol protocol protocol protocol others protocol others others others others others others others others others others others others
dat ” .		others others others
The backdoor attaches this file to a preformatted email and sends it out through a victim ’s mail server .		others malware others others others others others others others others others others others others others others others others others others others
Interestingly , we found an antivirus report from 2004 detailing what appears to be an early variant of EVILTOSS .		others others others others others others others others time others others others others others others others others others malware others
The backdoor was installed alongside the NATO-themed decoy document depicted in Figure 8 .		others malware others others others others others others others others others others others others
The backdoor sent data via SMTP to nato_smtp@mail[ .		others malware others others others protocol others others others others others others
]ru and received its tasking via POP from nato_pop@mail[.		others others others others others others others protocol others others others others others others
]ru .		others others others
Although we have not conclusively attributed this sample to APT28 , it does suggest the possibility that APT28 has been operating since as early as 2004 .		others others others others others others others others others threatActor_name others others others others others others others threatActor_name others others others others others others others time others
MODULAR IMPLANTS INDICATE A FORMAL DEVELOPMENT ENVIRONMENT .		others others others others others others others others
A modular development framework suggests the group has had an organized development effort since as early as 2007 .		others others others others others others others others others others others others others others others others others time others
During our research , we discovered that APT28 uses a backdoor developed using a modular framework .		others others others others others others others threatActor_name others others malware others others others others others others
We call this backdoor CHOPSTICK , a somewhat ironic name that comes from our semi-random name generator .		others others others malware malware others others others others others others others others others others others others others
The modular design allows flexible options for compiling variants with different capabilities as needed , as well as deploying additional capabilities at runtime .		others others others others others others others others others others others others others others others others others others others others others others others others
This allows the developers to make targeted implants , including only the capabilities and protocols necessary for a specific environment .		others others others others others others others others others others others others others others others others others others others others others
Such a modular framework suggests the group has had an organized development effort since as early as 2007 .		others others others others others others others others others others others others others others others others others time others
A formal development environment , in which code is versioned and well-organized , would almost certainly be required to track and define the various modules that can be included in the backdoor at compile time .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others
CHOPSTICK variants may move messages and information using at least three methods :  Communications with a C2 server using HTTP .		malware others others others others others others others others others others others others others others others tool others others protocol others
These protocols are covered in more detail in Appendix D.  Email sent through a specified mail server .		others others others others others others others others others others others others others others others others others others
One CHOPSTICK v1 variant contained modules and functions for collecting keystroke logs , Microsoft Office documents , and PGP files .		others malware others others others others others others others sample_function sample_function sample_function others tool tool others others others sub_activity sub_activity others
The monitoring for new files of interest is performed by a “ Directory Observer ” module .		others others others others others others others others others others others others others others others others others
In one sample this information was intended to be sent via SMTP using a Georgian MIA mail server .		others others others others others others others others others others others protocol others others location others others others others
It used one of four embedded sender email addresses ( @mia.gov.ge ) to send files via email to another email address on the same mail server .		others others others others others others others others others others email_evil email_evil others others others others others others others others others others others others others others others others
All information required for the email was hardcoded in the backdoor .		others others others others others others others others others others malware others
Local copying to defeat closed networks .		others others others others others others others
One variant of CHOPSTICK focuses on apparent air gap / closed network capabilities by routing messages between local directories , the registry and USB drives .		others others others malware others others others others others others others others others others others others others sub_activity sub_activity others sub_activity sub_activity others sub_activity sub_activity others
APT28 MALWARE INDICATES RUSSIAN SPEAKERS IN A RUSSIAN TIME ZONE .		threatActor_name others others location others others others others others others others
