New Malware with Ties to SunOrcal Discovered .		others others others others others malware others others
Release_Time :  2017-11-10 Report_URL :  https://unit42.paloaltonetworks.com/unit42-new-malware-with-ties-to-sunorcal-discovered/ Unit 42 has discovered a new malware family we've named "Reaver" with ties to attackers who use SunOrcal malware .		others others others others others others others others security_team security_team others others others others others others others others others others malware others others others others person others others malware others others
SunOrcal activity has been documented to at least 2013 , and based on metadata surrounding some of the C2s , may have been active as early as 2010 .		malware others others others others others others others time others others others others sub_activity others others others others tool others others others others others others others others time others
The new family appears to have been in the wild since late 2016 and to date we have only identified 10 unique samples , indicating it may be sparingly used .		reference_word reference_word reference_word others others others others others others others others others time others others others others others others others others others others others others others others others others others others
Reaver is also somewhat unique in the fact that its final payload is in the form of a Control panel item , or CPL file .		malware others others others others others others others others others tool tool others others others others others others tool tool others others others tool others others
To date , only 0.006% of all malware seen by Palo Alto Networks employs this technique , indicating that it is in fact fairly rare .		others others others others others others others others sub_activity others others company company company others reference_word reference_word others others others others others others others others others others
While we don't have information on the intended targets in this case , previous reports on this activity have identified targeting primarily among the "Five Poisons" which are movements the Chinese government perceives as dangerous .		others others others others others others others others others others others others others others others others others others others others others others others others others others sub_activity sub_activity others others others others others government government others others others others
They are :  Uyghurs , particularly those supporting East Turkestan independence , Tibetans , particularly those supportive of Tibetan independence , Falun Gong practitioners , Supporters of Taiwan independence , Supporters of Chinese democracy .		reference_word others others person others others others others location location others others person others others others others others location others others person person person others person person location person others person person person person others
The attackers used both families concurrently from late last year through November 2017 and there is some C2 infrastructure overlap between the two families , as well as links to historical reporting .		others person others others others others others others others others others time time others others others others tool sub_activity others others others others others others others others others others others others others others
To date , Palo Alto Networks Unit 42 has identified 10 unique samples and three distinct variants of a new malware family we have named "Reaver" .		others others others company company company security_team security_team others others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others others others others others others others others others malware others others
As such , we identify each variant as Reaver.v1 , Reaver.v2 , and Reaver.v3 .		others others others others others others others others sample_name others sample_name others others sample_name others
