En Route with Sednit .		others others others threatActor_name others
Release_Time :  2016-10 .		others others others others
Report_URL :  https :  //www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part1.pdf .		others others others others others others
In this section , we will describe the two main attack methods used by the Sednit group to deploy its malicious software .		others others others others others others others others others others others others others others others threatActor_name others others others others others others others
We already discussed the third attack method — fake webmail login panels — in the previous section .		others others others others others others others others sub_activity sub_activity sub_activity sub_activity others others others others others others
The frst method is to lure the target into opening an email attachment , while the second one relies on the target visiting a website containing a custom exploit kit .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In both cases , the lure itself is usually a phishing email .		others others others others others others others others others others attack_activity attack_activity others
As with many other cyber espionage actors , sending targeted phishing emails with malicious attachments is one of the main attack vectors of the Sednit group .		others others others others others others others others others others attack_activity attack_activity others others others others others others others others others others others others threatActor_name others others
Sometimes those attachments are simply executables , and no exploits are used .		others others others others others others others others others others others others others
It is , for example , the case for the most recent deployment of Downdelph , a pretty surprising operation that we will describe in the third part of this whitepaper .		others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others
On the other hand , the Sednit group also uses exploits , and in some cases even 0-day exploits , with its email attachments .		others others others others others others threatActor_name others others others others others others others others others others vul_aliases others others others others others others others
The list of vulnerabilities exploited with this attack method is described in Table 1 , to the best of our knowledge .		others others others others others others others others others others others others others others others others others others others others others others
CVE-2009-3129 [ 18 ] Microsoft Excel .		vulnerability_cve others others others tool tool others
CVE-2010-3333 [ 19 ] Microsoft Ofce .		vulnerability_cve others others others company tool others
CVE-2012-0158 [ 20 ] Microsoft Ofce .		vulnerability_cve others others others company tool others
CVE-2013-2729 [ 21 ] Adobe Acrobat Reader .		vulnerability_cve others others others company tool tool others
CVE-2014-1761 [ 22 ] Microsoft Word 0-day at the time the Sednit group used it [ 23 ] .		vulnerability_cve others others others company tool vul_aliases others others others others threatActor_name others others others others others others others
CVE-2015-1641 [ 24 ] Microsoft Word [ 25 ] .		vulnerability_cve others others others company tool others others others others
CVE-2015-2424 [ 26 ] Microsoft Ofce 0-day at the time the Sednit group used it [ 27 ] .		vulnerability_cve others others others company tool vul_aliases others others others others threatActor_name others others others others others others others
CVE-2016-4117 [ 78 ] Adobe Flash Player [ 77 ] .		vulnerability_cve others others others company tool tool others others others others
The malware usually dropped by those exploits for the last two years has been Seduploader ’s payload , as shown in Figure 2 .		others others others others others others others others others others others others others others malware others others others others others others others others others others
The subject of the email can be translated to " The aggravation of Russian-EU relations " , while the body roughly translates to :  The address of the " Ukrainian Academic Union " is the correct one [ 28 ] , while the sender email address was created by the attackers using a freemail provider .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others industry industry industry others others others others others others others others others others others others others others others others others others others others others others others others
The RTF attachment exploits the CVE-2015-1641 vulnerability [ 24 ] to drop two DLLs on the system , as described by Prevenity [ 25 ] .		others string others others others vulnerability_cve others others others others others others others string others others others others others others others others others others others others
The frst DLL loads each time a Microsoft Ofce application is executed , by registering it under a Windows Registry key named Offce Test ( see IOC section for details ) .		others others string others others others others company tool others others others others others others others others others OS_name others others others tool others others others others others others others others others
This DLL in turn loads the second one , which is Seduploader ’s payload .		others string others others others others others others others others others malware others others others others
Interestingly , the decoy document was apparently wrongly embedded when building the exploit , and thus fails to open .		others others others others others others others others others others others others others others others others others others others others
From the attachment name , we can speculate that it was supposed to be an RTF version of a news article entitled " Putin Is Being Pushed to Abandon His Conciliatory Approach to the West and Prepare for War " [ 29 ] .		others others others others others others others others others others others others others others others string others others others others others others others person others others others others others others others others others others others others others others others others others others others others
This particular case is one among a series of attacks using the CVE-2015-1641 vulnerability launched from April 2016 by the Sednit group [ 30 ] ( more details in the IOC section ) .		others others others others others others others others others others others others vulnerability_cve others others others time time others others threatActor_name others others others others others others others others others others others others others
The second main attack method of the Sednit group is an exploit kit , which we named Sedkit .		others others others others others others others threatActor_name others others others others others others others others others malware others
It was discovered by ESET researchers in September 2014 [ 23 ] .		reference_word others others others company others others time time others others others others
At this time , several websites belonging to a large fnancial institution in Poland were modifed to automatically redirect the visitors to the exploit kit — also known as a watering hole attack [ 31 ] .		others others others others others others others others others others others others others location others others others others others others others others others others others others others others others others attack_activity attack_activity attack_activity others others others others
The workﬂow of the Sedkit exploit kit has stayed the same since its frst appearance .		others others others others malware others others others others others others others others others others others
