Cycldek : Bridging the ( air ) gap .		threatActor_name others others others others others others others others
Release_Time :  2020-06-03 .		others others others others
Report_URL :  https://securelist.com/cycldek-bridging-the-air-gap/97157/ .		others others others others others others
While investigating attacks related to a group named Cycldek post 2018 , we were able to uncover various pieces of information on its activities that were not known thus far .		others others others others others others others others threatActor_name others time others others others others others others others others others others others others others others others others others others others others
In this blog post we aim to bridge the knowledge gap on this group and provide a more thorough insight into its latest activities and modus operandi .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Here are some key insights that will be described in this publication :  Cycldek ( also known as Goblin Panda and Conimes ) has been active in the past two years , conducting targeted operations against governments in Southeast Asia .		others others others others others others others others others others others others others threatActor_name others others others others threatActor_aliases threatActor_aliases others threatActor_aliases others others others others others others others others others others others others others others target_crowd target_crowd location location others
Our analysis shows two distinct patterns of activity , indicating the group consists of two operational entities that are active under a mutual quartermaster .		others others others others others others others others others others others others others others others others others others others others others others others others others
We were able to uncover an extensive toolset for lateral movement and information stealing used in targeted networks , consisting of custom and unreported tools as well as living-off-the-land binaries .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
One of the newly revealed tools is named USBCulprit and has been found to rely on USB media in order to exfiltrate victim data .		others others others others others others others others malware others others others others others others others string tool others others others others others others others
This may suggest Cycldek is trying to reach air-gapped networks in victim environments or relies on physical presence for the same purpose .		others others others threatActor_name others others others others others others others others others others others others others others others others others others others
Cycldek is a long-known Chinese-speaking threat actor .		threatActor_name others others others others others others others
Based on the group ’s past activity , it has a strong interest in Southeast Asian targets , with a primary focus on large organizations and government institutions in Vietnam .		others others others others others others others others others others others others others others others location location others others others others others others others others target_crowd target_crowd target_crowd others others location others
This is evident from a series of targeted campaigns that are publicly attributed to the group , as outlined below :  2013 – indicators affiliated to the group were found in a network of a technology company operating in several sectors , as briefly described by CrowdStrike .		others others others others others others others others others others others others others others others others others others others others others time others others others others others others others others others others others others others others others others others others others others others others others others company others
2014 – further accounts by CrowdStrike describe vast activity by the group against Southeast Asian organizations , most notably Vietnam .		time others others others others company others others others others others reference_word others location location others others others others location others
The campaigns made prominent use of Vietnamese-language lure documents , delivering commodity malware like PlugX , that was typically leveraged by Chinese-speaking actors .		others others others others others others others others others others others others others others malware others others others others others others others others others
2017 – the group was witnessed launching attacks using RTF lure documents with political content related to Vietnam , dropping a variant of a malicious program named NewCore RAT , as described by Fortinet .		time others others reference_word others others others others others tool others others others others others others others location others others others others others others others others others malware malware others others others others company others
2018 – attacks have been witnessed in government organizations across several Southeast Asian countries , namely Vietnam , Thailand and Laos , using a variety of tools and new TTPs .		time others attack_activity others others others others government government others others location location others others others location others location others location others others others others others others others others others others
Those include usage of the Royal Road builder , developed versions of the NewCore RAT malware and other unreported implants .		others others others others others tool tool tool others others others others others malware malware others others others others others others
These were the focus of intel reports available to Kaspersky ’s Threat Intelligence Portal subscribers since October 2019 , and will be the subject matter of this blog post .		others others others others others company others others others security_team security_team security_team security_team security_team security_team others others time time others others others others others others others others others others others others
Most attacks that we observed after 2018 start with a politically themed RTF document built with the 8.t document builder ( also known as ‘ Royal Road ’  ) and sent as a phishing mail to the victims .		others others others others others others time others others others others others tool others others others others sample_name tool tool others others others others others reference_word reference_word others others others others others others attack_activity attack_activity others others others others
These documents are bundled with 1-day exploits ( e.g .		others reference_word others others others others others others others others
CVE-2012-0158 , CVE-2017-11882 , CVE-2018-0802 ) which in turn run a dropper for three files :  a legitimate signed application , usually related to an AV product , e.g .		vulnerability_cve others vulnerability_cve others vulnerability_cve others others others others others others others others others others others others others others others others others others others others others others others others others
QcConsol – McAfee ’s QuickClean utility , and wsc_proxy.exe , Avast ’s remediation service , a malicious DLL which is side-loaded by the former application , an encrypted binary which gets decrypted and executed by the DLL .		tool tool tool others others tool others others others sample_name others tool others others others others others others others string others others others others others others others others others others others others others others others others others others string others
The final payload that is run in memory is malware known as NewCore RAT .		others others others others others others others others others others others others malware malware others
It is based on an open-source framework named PcShare or PcClient that used to be prevalent in Chinese hacker forums more than a decade ago .		others others others others others others others others tool others tool others others others others others others others others others others others others others others others
Today , the software is fully available on Github , allowing attackers to leverage and modify it for their needs .		others others others reference_word others others others others others others others others others others others others others others others others others
In the case of Cycldek , the first public accounts of the group ’s usage of NewCore date back to 2017 .		others others others others threatActor_name others others others others others others others others others others others others malware others others others time others
As described in a blog post by Fortinet , the malware provides the attacker with broad capabilities such as conducting a range of operations on files , taking screenshots , controlling the machine via a remote shell and shutting down or restarting the system .		others others others others others others others company others others reference_word others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
When inspecting the NewCore RAT malware delivered during the various attacks we investigated , we were able to distinguish between two variants .		others others others malware malware others others others others others others others others others others others others others others others others others others
Both were deployed as side-loaded DLLs and shared multiple similarities , both in code and behavior .		others others others others others others others others others others others others others others others others others
At the same time , we noticed differences that indicate the variants could have been used by different operators .		others others others others others others others others others others others others others others others others others others others others
Our analysis shows that the underlying pieces of malware and the way they were used form two clusters of activity .		others others others others others others others others reference_word others others others others others others others others others others others others
As a result , we named the variants BlueCore and RedCore and examined the artifacts we found around each one in order to profile their related clusters .		others others others others others others others others sample_name others sample_name others others others others others others others others others others others others others others others others others
Notable characteristics of each cluster ’s implant are summarized in the table below .		others others others others others others others others others others others others others others others
Initial Infection Vector RTF documents Unknown .		others others others tool others others others
Legitimate AV Utility QcConcol.exe ( McAfee ’s QuickClean utility ) wsc_proxy.exe ( Avast ’s remediation application ) .		others others others sample_name others tool others others tool others others sample_name others tool others others others others others others
Side-Loaded DLL QcLite.dll wsc.dll .		others string sample_name sample_name others
Payload Loader stdole.tlb – contains PE loading shellcode and an encrypted BlueCore binary msgsm64.acm -contains PE loading shellcode and and an encrypted RedCore binary .		others others sample_name others others tool others others others others others sample_name others sample_name others tool others others others others others others sample_name others others
Injected Process dllhst3g.exe explorer.exe or winlogon.exe .		others others sample_name sample_name others sample_name others
Configuration File %APPDATA%\desktop.ini C:\Documents and Settings\All Users\Documents\desktop.ini or C:\Documents and Settings\All Users\Documents\desktopWOW64.ini .		others others sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name sample_name others sample_name sample_name sample_name sample_name sample_name sample_name others
Mutexes UUID naming scheme , e.g .		others string others others others others others
{ 986AFDE7-F299-4A7D-BBF4-CA756FC27208 } , { CF94A87F-4B49-4751-8E5C-DA2D0A8DEC2F } UUID naming scheme , e.g .		others others others others others others others string others others others others others
{ CB191C19-1D2D-45FC-9092-6DB462EFEAC6 } , { F0062B9A-15F8-4D5F-9DE8-02F39EBF71FB } , { E68DFA68-1132-4A32-ADE2-8C87F282C457 } ,{ 728264DE-3701-419B-84A4-2AD86B0C43A3 } , { 2BCD5B61-288C-44D5-BA0D-AAA00E9D2273 } , { D9AE3AB0-D123-4F38-A9BE-898C8D49A214 } .		others others others others others others others others others others others others others others others others others others others others others others others others
