MuddyWater expands operations .		threatActor_name others others others
Release_Time :  2020-10-10 .		others others others others
Report_URL :  https://securelist.com/muddywater/88059/ .		others others others others others others
MuddyWater is a relatively new APT that surfaced in 2017 .		threatActor_name others others others others string others others others time others
It has focused mainly on governmental targets in Iraq and Saudi Arabia , according to past telemetry .		reference_word others others others others others others others location others location location others others others others others others
However , the group behind MuddyWater has been known to target other countries in the Middle East , Europe and the US .		others others others person others threatActor_name others others others others others others others others others location location target_crowd location target_crowd target_crowd location others
We recently noticed a large amount of spear phishing documents that appear to be targeting government bodies , military , telcos and educational institutions in Jordan , Turkey , Azerbaijan and Pakistan , in addition to the continuous targeting of Iraq and Saudi Arabia , other victims were also detected in Mali , Austria , Russia , Iran and Bahrain .		others others others others others others others attack_activity attack_activity attack_activity others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others location others location others location others location others others others others others others others others location others location location others others others others others others others location others location others location others location others location others
.		others
These new documents have appeared throughout 2018 and escalated from May onwards .		others others reference_word others others others time others others others time others others
The attacks are still ongoing .		others others others others others others
The new spear-phishing docs used by MuddyWater rely on social engineering to persuade users to enable macros .		others others attack_activity attack_activity others others threatActor_name others others others others others others others others others others others
The attackers rely on a range of compromised hosts to deliver their attacks .		others person others others others others others others others others others others others others
In the advanced stages of this research , we were able not only to observe additional files and tools from the attackers ’ arsenal but also some OPSEC mistakes made by the attackers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others string others others others others others others
Previous related research :  https://sec0wn.blogspot.com/2018/05/clearing-muddywater-analysis-of-new.html?m=1 https://reaqta.com/2017/11/muddywater-apt-targeting-middle-east/ https://blog.malwarebytes.com/threat-analysis/2017/09/elaborate-scripting-fu-used-in-espionage-attack-against-saudi-arabia-government_entity/ https://www.sekoia.fr/blog/falling-on-muddywater/ .		others others others others url url url url url url url url url url url url url url others
Below is a description of the malware extraction and execution flow , starting from the initial infection vector , running VBA code via a macro and then dropping the PowerShell code that establishes command-center communications , sends victim system information and then receives commands supported by the malware .		others others others others others others reference_word others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The initial infection starts with macro-enabled Office 97-2003 Word files whose macros are usually password-protected to hinder static analysis .		others others others others others others tool tool tool others others others others others others others others others others others
