Leviathan: Espionage actor spearphishes maritime and defense targets .		threatActor_name others others others attack_activity industry others industry others others
Release_Time :  2019-01-29 Report_URL :  https://www.proofpoint.com/us/threat-insight/post/leviathan-espionage-actor-spearphishes-maritime-and-defense-targets Proofpoint researchers are tracking an espionage actor targeting organizations and high-value targets in defense and government .		others others others others others others others others security_team person others others others person person others others others others others others industry others government others
Active since at least 2014 , this actor has long-standing interest in maritime industries , naval defense contractors , and associated research institutions in the United States and Western Europe .		others others others others time others others reference_word others others others others industry others others industry industry others others others others industry others others others location location others location location others
Industry targeting : The actor targets defense contractors , universities ( particularly those with military research ties ) , legal organizations and government agencies .		others others others reference_word reference_word others industry others others industry others others others others others others others others others industry others others government others others
The actor has particular interest in naval industries including shipbuilding and related research .		reference_word reference_word others others others others others others others industry others others industry others
Geographical targeting : Targeting includes United States , Western Europe , and South China Sea .		others others others others others location location others location location others others location location location others
Tools : Custom JavaScript malware known as “ Orz ” and “ NanHaiShu ” , Cobalt Strike , the SeDll JavaScript loader , and MockDll dll loader .		others others others program_language others others others others malware others others others malware others others malware malware others others malware malware malware others others malware malware malware others
Delivery : Emailed attachments and URLs , often employing a fraudulent lookalike domain and stolen branding .		others others sub_activity sub_activity sub_activity sub_activity others others others others sub_activity sub_activity sub_activity others sub_activity sub_activity others
Exploitation : Microsoft Excel and Word documents with macros ( sometimes password-protected ) , very recent vulnerabilities such as CVE-2017-0199 and CVE-2017-8759 , and malicious Microsoft Publisher files .		others others company tool tool tool tool others tool others others others others others others others others others others vulnerability_cve others vulnerability_cve others others others company tool tool others
Installation : JavaScript , JavaScript Scriptlets in XML , HTA , PowerShell , WMI , regsvr32 , Squiblydoo .		others others program_language others program_language program_language others program_language others tool others tool others tool others tool others tool others
Lateral Movement : The actor sometimes utilizes access at one compromised organization to attack the next .		others others others reference_word reference_word others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity others
