Unknown .		others others
Release_Time : unknown .		others others others others
Report_URL : https://attack.mitre.org/groups/ .		others others others others others others
Group5 is a threat group with a suspected Iranian nexus , though this attribution is not definite .		threatActor_name others others others others others others others others others others others others others others others others others
The group has targeted individuals connected to the Syrian opposition via spearphishing and watering holes , normally using Syrian and Iranian themes .		reference_word reference_word others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others attack_activity others attack_activity attack_activity others others others others others others others others
Group5 has used two commonly available remote access tools ( RATs ) , njRAT and NanoCore , as well as an Android RAT , DroidJack .		threatActor_name others others others others others malware malware malware others malware others others malware others malware others others others others others malware malware others malware others
Honeybee is a campaign led by an unknown actor that targets humanitarian aid organizations and has been active in Vietnam , Singapore , Argentina , Japan , Indonesia , and Canada .		sub_activity others others others others others others others others others others target_crowd target_crowd target_crowd others others others others others location others location others location others location others location others others location others
It has been an active operation since August of 2017 and as recently as February 2018 .		others others others others others others others time time time others others others others time time others
Group7 : APT15 , Mirage , Vixen Panda , GREF , Playful Dragon , RoyalAPT .		threatActor_name others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others
Ke3chang is a threat group attributed to actors operating out of China .		threatActor_name others others others others others others others others others others location others
Ke3chang has targeted several industries , including oil , government , military , and more .		threatActor_name others others others others others others industry others industry others industry others others others others
