Unknown .		others others
Release_Time : unknown .		others others others others
Report_URL : https://attack.mitre.org/groups/ .		others others others others others others
Kimsuky : Velvet Chollima .		threatActor_name others threatActor_aliases threatActor_aliases others
Kimsuky is a North Korean-based threat group that has been active since at least September 2013 .		threatActor_name others others location others others others others others others others others others others time time others
The group focuses on targeting Korean think tank as well as DPRK/nuclear-related targets .		others reference_word others others others government government government others others others target_crowd target_crowd others
The group was attributed as the actor behind the Korea Hydro & Nuclear Power Co.compromise .		others reference_word others others others others others others others company company company company company company others
Lazarus Group : HIDDEN COBRA , Guardians of Peace , ZINC , NICKEL ACADEMY .		threatActor_name threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others
Lazarus Group is a threat group that has been attributed to the North Korean government .		threatActor_name threatActor_name others others others others others others others others others others location location government others
The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named Operation Blockbuster by Novetta .		others reference_word others others others others others others time others others others others others others time time others attack_activity attack_activity others company company company others others others others others others attack_activity attack_activity others security_team others
Malware used by Lazarus Group correlates to other reported campaigns , including Operation Flame , Operation 1Mission , Operation Troy , DarkSeoul , and Ten Days of Rain .		others others others threatActor_name threatActor_name others others others others others others others malware malware others malware malware others malware malware others malware others others malware malware malware malware others
In late 2017 , Lazarus Group used KillDisk , a disk-wiping tool , in an attack against an online casino based in Central America.North Korean group definitions are known to have significant overlap , and the name Lazarus Group is known to encompass a broad range of activity .		others time time others threatActor_name threatActor_name others malware others others others others others others others others others others target_crowd target_crowd others others location others location others others others others others others others others others others others others threatActor_name threatActor_name others others others others others others others others others others
Some organizations use the name Lazarus Group to refer to any activity attributed to North Korea .		others others others others others threatActor_name threatActor_name others others others others others others others location location others
Some organizations track North Korean clusters or groups such as Bluenoroff , APT37 , and APT38 separately , while other organizations may track some activity associated with those group names by the name Lazarus Group .		others others others location location others others others others others threatActor_name others threatActor_name others others threatActor_name others others others others others others others others others others others others others others others others others threatActor_name threatActor_name others
Leafminer : Raspite .		threatActor_name others threatActor_aliases others
Leafminer is an Iranian threat group that has targeted government organizations and business entities in the Middle East since at least early 2017 .		threatActor_name others others location others others others others others target_crowd others others target_crowd target_crowd others others government government others others others time time others
