APT3 Adversary Emulation Plan .		threatActor_name others others others others
Release_Time : 2017-09  .		others others others others
Report_URL : https://attack.mitre.org/docs/APT3_Adversary_Emulation_Plan.pdf  .		others others others others others others
Group Administrators net localgroup , net group Net localgroup , net group Domain_list_gen.rb , post/windows/gather enum_domain_group_users , auxiliary/scanner/smb/ smb_enumusers T1087 - Account Discovery , T1069 - Permission Groups Discovery .		others others tool tool others tool tool tool tool others tool tool others others others others others others others others others others others others others others others others others others
Group Power Users net localgroup , net group Net localgroup , net group Domain_list_gen.rb , post/windows/gather enum_domain_group_users , auxiliary/scanner/smb/ smb_enumusers T1087 - Account Discovery , T1069 - Permission Groups Discovery .		others others others tool tool others tool tool tool tool others tool tool others others others others others others others others others others others others others others others others others others
Group Domain Admins net localgroup , net group Net localgroup , net group Domain_list_gen.rb , post/windows/gather enum_domain_group_users , auxiliary/scanner/smb/ smb_enumusers T1087 - Account Discovery , T1069 - Permission Groups Discovery .		others others others tool tool others tool tool tool tool others tool tool others others others others others others others others others others others others others others others others others others
Dump creds from SAM Mimikatz !lsadump : sam Run hashdump , hashdump T1003 - Credential Dumping .		others others others others others others others others others others others others others others others others others others
Inject into LSASS Logonpasswords , hashdump , mimikatz Mimikatz ’s wdigest T1003 -Credential Dumping .		others others others others others others others others others others others others others others others others
Dump creds from SAM Mimikatz !lsadump : sam Run hashdump , hashdump T1003 - Credential Dumping .		others others others others others others others others others others others others others others others others others others
Inject into LSASS Logonpasswords , hashdump , mimikatz Mimikatz ’s wdigest T1003 -Credential Dumping .		others others others others others others others others others others others others others others others others
SMB Copy net use , copy , xcopy , explorer.exe PsExec T1105 - Remote File Copy .		others others others others others others others others others others others others others others others others others
Remote Service sc PsExec T1021 - Remote Services .		others others others others others others others others others
Remote Schtasks schtasks , at T1053 - Scheduled Task .		others others others others others others others others others others
Account and Permission Groups Discovery shell Dsquery* shell / dsquery T1087 – Account Discovery , T1069 – Permission Groups Discovery .		others others others others others others others others others others others others others others others others others others others others others others
Gather credentials from browsers , IM software , databases , memory , and other software Post/windows/gather/credentials/ credential_collector , Post/multi/gather/firefox_creds T1081 - Credentials in Files , T1003 – Credential Dumping .		others others others tool others tool tool others tool others others others others others others others others others others others others others others others others others others others others others
ExploitKit-style recon and profiling Software , browser plugins , flash , SharePoint , Adobe PDF reader , Chrome security plugins , Java , Internal IP address N/A since this is used before initial compromise .		others others others others others others tool tool others tool others tool others tool tool tool others tool tool tool others program_language others others others others others others others others others others others others others
Keylogger Written in JavaScript , only logs what ’s typed while on the page that loads the keylogger JS .		malware others others program_language others others others others others others others others others others others others others others others program_language others
N/A since this is used before initial compromise .		others others others others others others others others others
APT3 disseminates spam-like phishing campaigns with various payload delivery methods .		threatActor_name others others attack_activity attack_activity others others others others others others
Once on a machine , the actors collect information about the victim such as connected users and analyze it for its value , trying to determine where they landed and what access they have .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Admin access is an obvious main target due to the increased access it will likely provide .		others others others others others others others others others others others others others others others others others
The actors then drop multiple backdoors , usually 2-4 on the initial system and 5+ versions within the first few hops , with independent C2 profiles for redundancy Redundant Access – T1108 .		person person others others others malware others others others others others others others others others others others others others others others others others others tool others others others others others others others others
Next they then dump as many credentials as possible , and quickly continue spreading throughout the network .		others others others others others others others others others others others others others others others others others others
They specifically go after file servers and print servers .		reference_word others others others attack_goal attack_goal others attack_goal attack_goal others
Once they ’re moved to all the machines they think have value , they collect all the documents they want , package them up and password protect them , and exfiltrate them out of the organization .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In some cases , however , they ’ve been known to persist within a network for very lengthy periods without ever exfiltrating data .		others others others others others others others others others others others others others others others others others others others others others others others others others
The sections below show how APT3 acts through their entire lifecycle .		others others others others others threatActor_name others others others others others others
Phase 1 documents what happens during initial compromise , phase 2 highlights techniques used during network propagation , and phase 3 documents one way they have been known to perform exfiltration .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The goal of the Initial Compromise phase is to achieve successful code execution and control of a system within the target environment .		others others others others others others others others others others others others others others others others others others others others others others others
APT3 primarily conducts initial compromise using spear phishing , delivering implants through both malicious attachments and malicious links .		threatActor_name others others others others others attack_activity attack_activity others others others others others malware malware others malware malware others
They have used new 0-days on multiple browsers .		reference_word others others others vul_aliases others others others others
