Unraveling the Lamberts Toolkit .		others others threatActor_name others others
Release_Time : 2017-04-11 .		others others others others
Report_URL : https://securelist.com/unraveling-the-lamberts-toolkit/77990/ .		others others others others others others
Yesterday , our colleagues from Symantec published their analysis of Longhorn , an advanced threat actor that can be easily compared with Regin , ProjectSauron , Equation or Duqu2 in terms of its complexity .		others others others others others company others others others others OS_name others others others others others others others others others others others threatActor_name others threatActor_name others threatActor_name others threatActor_name others others others others others others
Longhorn , which we internally refer to as " The Lamberts " , first came to the attention of the ITSec community in 2014 , when our colleagues from FireEye discovered an attack using a zero day vulnerability ( CVE-2014-4148 ) .		company others others others others others others others others others threatActor_name others others others others others others others others others others others others time others others others person others security_team others others others others others vulnerability_cve vulnerability_cve others others vulnerability_cve others others
The attack leveraged malware we called " BlackLambert " , which was used to target a high profile organization in Europe .		others others others others others others others malware others others others others others others others target_crowd target_crowd target_crowd target_crowd others location others
Although the operational security displayed by actors using the Lamberts toolkit is very good , one sample includes a PDB path that points to a project named "Archan~1" ( perhaps "Archangel" ) .		others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others
The root folder on the PDB path is named " Hudson " .		others others others others others others others others others others others others others
This is one of the very few mistakes we 've seen with this threat actor .		others others others others others others others others others others others others others others others others
The first time the Lambert family malware was uncovered publicly was in October 2014 , when FireEye posted a blog about a zero day exploit ( CVE-2014-4148 ) used in the wild .		others others others others malware malware malware others others others others others time time others others company others others others others others others others others vulnerability_cve vulnerability_cve vulnerability_cve others others others others others
The vulnerability was patched by Microsoft at the same time .		others others others others others company others others others others others
We named the malware involved " Black Lambert " and described it thoroughly in a private report , available to Kaspersky APT Intel Reports subscribers .		others others others others others others malware malware others others others others others others others others others others others others person person person person person others
The authors of Black Lambert included a couple of very interesting details in the sample , which read as the following : toolType=wl , build=132914 , versionName = 2.0.0 .		others others others malware malware others others others others others others others others others others others others others others others others others others others others others others others others others
Looking for similar samples , we were able to identify another generation of related tools which we called White Lambert .		others others others others others others others others others others others others others others others others reference_word others malware malware others
While Black Lambert connects directly to its C&C for instructions , White Lambert is a fully passive , network-driven backdoor .		malware malware malware others others others others protocol protocol protocol others others others malware malware others others others others others others others others
White Lambert runs in kernel mode and intercepts network traffic on infected machines .		malware malware others others others others others others others others others others others others
It decrypts packets crafted in a special format to extract instructions .		others others others others others others others others others others others others
We named these passive backdoors " White Lambert " to contrast with the active " Black Lambert " implants .		others others others others others others malware malware others others others others others others others malware malware others others others
Looking further for any other malware related to White Lambert and Black Lambert , we came by another generation of malware that we called Blue Lambert .		others others others others others others others others malware malware others malware malware others others others others others others others others others others others malware malware others
One of the Blue Lambert samples is interesting because it appears to have been used as second stage malware in a high profile attack , which involved the Black Lambert malware .		others others others malware malware others others others others others others others others others others others others others others others target_crowd target_crowd target_crowd others others others others others malware malware others others
Looking further for malware similar to Blue Lambert , we came by another family of malware we called Green Lambert .		others others others others others others malware malware others others others others others others others others reference_word others malware malware others
Green Lambert is a lighter , more reliable , but older version of Blue Lambert .		malware malware others others others others others others others others others others others malware malware others
Interestingly , while most Blue Lambert variants have version numbers in the range of 2.x , Green Lambert is mostly in 3.x versions .		others others others others malware malware others others others others others others others others others others malware malware others others others others others others
This stands in opposition to the data gathered from export timestamps and C&C domain activity that points to Green Lambert being considerably older than the Blue variant .		others others others others others others others others others others others others protocol protocol protocol others others others others others malware malware others others others others others malware malware others
Perhaps both Blue and Green Lamberts have been developed in parallel by two different teams working under the same umbrella , as normal software version iterations , with one seeing earlier deployment than the other .		others others malware malware malware malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Signatures created for Green Lambert ( Windows ) have also triggered on an OS X variant of Green Lambert , with a very low version number : 1.2.0 .		others others others malware malware others others others others others others others others OS_name OS_name others others malware malware others others others others others others others others others others
This was uploaded to a multiscanner service in September 2014 .		reference_word others others others others others others others time time others
The OS X variant of Green Lambert is in many regards functionally identical to the Windows version , however it misses certain functionality such as running plugins directly in memory .		others OS_name OS_name others others malware malware others others others others others others others others OS_name others others others others others others others others others others others others others others others
Kaspersky Lab detections for Blue , Black , and Green Lamberts have been triggered by a relatively small set of victims from around the world .		others others others others malware malware malware malware malware malware malware others others others others others others others others others others others others others others others
While investigating one of these infections involving White Lambert ( network-driven implant ) and Blue Lambert ( active implant ) , we found yet another family of tools that appear to be related .		others others others others others others others malware malware others others others others others malware malware others others others others others others others others others others others others others others others others others others
We called this new family Pink Lambert .		others others others others others malware malware others
The Pink Lambert toolset includes a beaconing implant , a USB-harvesting module and a multi-platform orchestrator framework which can be used to create OS-independent malware .		others malware malware others others others others others others others others others others others others others others others others others others others others others others others
Versions of this particular orchestrator were found on other victims , together with White Lambert samples , indicating a close relationship between the White and Pink Lambert malware families .		others others others others others others others others others target_crowd others others others malware malware others others others others others others others others malware malware malware malware malware others others
By looking further for other undetected malware on victims of White Lambert , we found yet another apparently related family .		others others others others others others others others others others malware malware others others others others others others others others others
The new family , which we called Gray Lambert is the latest iteration of the passive network tools from the Lamberts" arsenal .		others others others others others others others malware malware others others others others others others others others others others others threatActor_name others others others
The coding style of Gray Lambert is similar to the Pink Lambert USB-harvesting module , however , the functionality mirrors that of White Lambert .		others others others others malware malware others others others others malware malware others others others others others others others others others others malware malware others
Compared to White Lambert , Gray Lambert runs in user mode , without the need for exploiting a vulnerable signed driver to load arbitrary code on 64-bit Windows variants .		others others malware malware others malware malware others others others others others others others others others others others others others others others others others others others OS_name OS_name others others
Below , we provide a small summary of all the Lamberts .		others others others others others others others others others others others others
A full description of all variants is available to subscribers of Kaspersky APT Reports .		others others others others others others others others others others others security_team others others others
The only known sample of Black Lambert was dropped by a TTF-exploit zero day ( CVE-2014-4148 ) .		others others others others others malware malware others others others others vulnerability_cve vulnerability_cve vulnerability_cve others vulnerability_cve others others
Its internal configuration included a proxy server which suggests the malware was created to work in a very specific network configuration , inside the victim 's network .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
An internal description of Black Lambert indicates what appears to be a set of markers used by the attackers to denote this particular branch : toolType=wl , build=132914 , versionName = 2.0.0 .		others others others others malware malware others others others others others others others others others others others others others others others others others others others others others others others others others others others
The Blue Lambert implants contain what appear to be version numbers in the 2.x range , together with project/operation codename sets , which may also indicate codenames for the victims or campaigns .		others malware malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Green Lambert is a family of tools deeply related to Blue Lambert .		malware malware others others others others others others others others malware malware others
The functionality is very similar , both Blue and Green are active implants .		others others others others others others others others others others others others others others
The configuration data shares the same style of codenames for victims , operations , or projects .		others others others others others others others others others others others others others others others others others
The Green Lambert family is the only one where non-Windows variants have been found .		others malware malware others others others others others others others others others others others others
An old version of Green Lambert , compiled for OS X was uploaded from Russia to a multiscanner service in 2014 .		others others others others malware malware others others others OS_name OS_name others others others location others others others others others time others
Its internal codename is HO BO ( 1.2.0 ) .		others others others others others others others others others others
The Windows versions of Green Lambert have the following code names : BEARD BLUE ( 2.7.1 ) , GORDON FLASH ( 3.0 ) , APE ESCAPE ( 3.0.2 ) , SPOCK LOGICAL ( 3.0.2 ) , PIZZA ASSAULT ( 3.0.5 ) , and SNOW BLOWER ( 3.0.5 ) .		others OS_name others others malware malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Interestingly , one of the droppers of Green Lambert abused an ICSsoftware package named "Subway Environmental Simulation Program" or "SES" , which has been available on certain forums visited by engineers working with industrial software .		others others others others others person others malware malware others others tool tool others others others others others others others others others others others others others others others others others others others others others others others others others others others
Similar techniques have been observed in the past from other threat groups , for instance , trojanized Oracle installers by the Equation group .		others others others others others others others others others others others others others others others others others tool tool others threatActor_name threatActor_name threatActor_name others
White Lambert is a family of tools that share the same internal description as Black Lambert .		others others others others others others others others others others others others others others malware malware others
Known tool types , builds , and version names include :  ToolType " aa " , protocol 3 , version 7 , versionName 5.0.2 , build 113140 ToolType " aa " , protocol 3 , version 7 , versionName 5.0.0 , build 113140 ToolType " aa " , protocol 3 , version 6 , versionName 4.2.0 , build 110836M ToolType " aa " , protocol 3 , version 5 , versionName 3.2.0 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
One of the White Lambert samples is interesting because it has a forgotten PDB path inside , which points to " Archan~1l " and " Hudson " .		others others others malware malware others others others others others others others others others others others others others others others others others others others others others others others
Hudson could point to a project name , if the authors name their projects by rivers in the US , or , it could also be the developer 's first name .		company others others others others others others others others others others others others others others others others others location others others others others others others others others others others others others others
The truncated ( 8.3 ) path " archan~1 " most likely means " Archangel " .		others others others others others others others others others others others others others others others others
The tool type " aa " could also suggest " ArchAngel " .		others others others others others others others others others others others others others
By comparison , the Black Lambert tool type " wl " has no known meaning .		others others others others others malware malware others others others others others others others others others
White Lambert samples run in kernel mode and sniff network traffic looking for special packets containing instructions to execute .		malware malware others others others others others others others others others others others others others others others others others others
