Hades, the actor behind Olympic Destroyer is still alive .		threatActor_name others others others others malware malware others others others others
Release_Time :  2018-06-19 .		others others others others
Report_URL :  https://securelist.com/olympic-destroyer-is-still-alive/86169/ .		others others others others others others
In March 2018 we published our research on Olympic Destroyer , an advanced attack that hit organizers , suppliers and partners of the Winter Olympic Games 2018 held in Pyeongchang , South Korea .		others time time others others others others others malware malware others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd time others others location location location location others
Olympic Destroyer was a cyber-sabotage attack based on the spread of a destructive network worm .		malware malware others others others others others others others others others others others others others others
The sabotage stage was preceded by reconnaissance and infiltration into target networks to select the best launchpad for the self-replicating and self-modifying destructive malware .		others others others others others others others others others others others others others others others others others others others others others others others others others
We are calling the actor behind the Olympic Destroyer attack – “ Hades ” .		others others others others others others others malware malware others others others threatActor_name others others
We have previously emphasized that Hades is different from other threat actors because the whole attack was a masterful operation in deception .		others others others others others threatActor_name others others others others others others others others others others others others others others others others others
Despite that , the attackers made serious mistakes , which helped us to spot and prove the forgery of rare attribution artefacts .		others others others others person others others others others others others others others others others others others others others others others others others
The attackers behind Olympic Destroyer forged automatically generated signatures , known as Rich Header , to make it look like the malware was produced by Lazarus APT , an actor widely believed to be associated with North Korea .		others person others malware malware others others others others others others others string string others others others others others others others others others others others threatActor_name others others others others others others others others others others location location others
If this is new to the reader , we recommend a separate blog dedicated to the analysis of this forgery .		others others others others others others others others others others others others others others others others others others others others others
The deceptive behavior of Hades and its excessive use of various false flags , which tricked many researchers in the infosecurity industry , got our attention .		others others others others threatActor_name others others others others others others others others others others others others others others others industry others others others others others others
Based on malware similarity , the Olympic Destroyer malware was linked by other researchers to three Chinese speaking APT actors and the allegedly North Korean Lazarus APT ; some code had hints of the EternalRomance exploit , while other code was similar to the Netya ( Expetr/NotPetya ) and BadRabbit targeted ransomware .		others others others others others others malware malware others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others vul_aliases others others others others others others others others others malware others others others others malware others others others
Kaspersky Lab managed to find lateral movement tools and initial infection backdoors , and has followed the infrastructure used to control Olympic Destroyer in one of its South Korean victims .		security_team security_team others others others others others others others others others malware others others others others others others others others others malware malware others others others others target_crowd target_crowd target_crowd others
Some of the TTPs and operational security used by Hades during the Olympic Destroyer attack bear a certain resemblance to Sofacy APT group activity .		others others others protocol others others others others others threatActor_name others others malware malware others others others others others others threatActor_name others others others others
When it comes to false flags , mimicking TTPs is much harder than tampering with technical artefacts .		others others others others others others others others protocol others others others others others others others others others
It implies a deep knowledge of how the actor being mimicked operates as well as operational adaptation to these new TTPs .		others others others others others others others others others others others others others others others others others others others others protocol others
However , it is important to remember that Hades can be considered a master in the use of false flags : for now we assess that connection with low to moderate confidence .		others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others
We decided to keep tracking the Hades group and set our virtual ‘ nets ’ to catch them again if it showed up with a similar arsenal .		others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others
To our surprise it has recently resurfaced with new activity .		others others others others others others others others others others others
In May-June 2018 we discovered new spear-phishing documents that closely resembled weaponized documents used by Hades in the past .		others time time others others others attack_activity others others others others others others others others threatActor_name others others others others
This and other TTPs led us to believe that we were looking at the same actor again .		others others others protocol others others others others others others others others others others others others others others
However , this time the attacker has new targets .		others others others others others person others others others others
According to our telemetry and the characteristics of the analyzed spear-phishing documents , we believe the attackers are now targeting financial organizations in Russia , and biological and chemical threat prevention laboratories in Europe and Ukraine .		others others others others others others others others others others attack_activity others others others others others person others others others industry others others location others others government government government government government government others location others location others
They continue to use a non-binary executable infection vector and obfuscated scripts to evade detection .		reference_word others others others others others others others others others others others others others others others
In reality the infection procedure is a bit more complex and relies on multiple different technologies , mixing VBA code , Powershell , MS HTA , with JScript inside and more Powershell .		others others others others others others others others others others others others others others others others others others program_language others others tool others tool tool others others program_language others others others tool others
Let ’s take a look at this more closely to let incident responders and security researchers recognize such an attack at any time in the future .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
One of the recent documents that we discovered had the following properties :  0e7b32d23fbd6d62a593c234bafa2311 ff59cb2b4a198d1e6438e020bb11602bd7d2510d Microsoft Office Word 2018-05-14 15:32:17 ( GMT ) Spiez CONVERGENCE.doc .		others others others others others others others others others others others others others md5 sha1 tool tool tool time time time time time sample_name sample_name others
The embedded macro is heavily obfuscated .		others others others others others others others
It has a randomly-generated variable and function name .		others others others others others others others others others
Its purpose is to execute a Powershell command .		others others others others others others tool others others
This VBA code was obfuscated with the same technique used in the original Olympic Destroyer spear-phishing campaign .		others program_language others others others others others others others others others others others malware malware attack_activity others others
It starts a new obfuscated Powershell scriptlet via the command line .		others others others others others tool others others others others others others
The obfuscator is using array-based rearranging to mutate original code , and protects all commands and strings such as the command and control ( C2 ) server address .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
There is one known obfuscation tool used to produce such an effect : Invoke-Obfuscation .		others others others others others others others others others others others others others tool others
It has an inline implementation of the RC4 routine in Powershell , which is used to decrypt additional payload downloaded from Microsoft OneDrive .		others others others others others others others encryption_algo others others tool others others others others others others others others others others tool tool others
The decryption relies on a hardcoded 32-byte ASCII hexadecimal alphabet key .		others others others others others others others others others others others others
This is a familiar technique used in other Olympic Destroyer spear-phishing documents in the past and in Powershell backdoors found in the infrastructure of Olympic Destroyer ’s victims located in Pyeongchang .		others others others others others others others others malware malware attack_activity others others others others others others tool malware others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd others others location others
The second stage payload downloaded is an HTA file that also executes a Powershell script .		others others others others others others others tool others others others others others tool others others
This file has a similar structure to the Powershell script executed by the macro in spear-phishing attachments .		others others others others others others others others tool others others others others others others attack_activity others others
After deobfuscating it , we can see that this script also disables Powershell logging and downloads the next stage payload from the same server address .		others others others others others others others others others others others others tool others others others others others others others others others others others others others
The final payload is the Powershell Empire agent .		others others others others others tool tool others others
Powershell Empire is a post-exploitation free and open-source framework written in Python and Powershell that allows fileless control of the compromised hosts , has modular architecture and relies on encrypted communication .		tool tool others others others others others others others others others program_language others tool others others others others others others others others others others others others others others others others others others
This framework is widely used by penetration-testing companies in legitimate security tests for lateral movement and information gathering .		others others others others others others others others others others others others others others others others others others others
We believe that the attackers used compromised legitimate web servers for hosting and controlling malware .		others others others others person others others others others others others others others others others others
Based on our analysis , the URI path of discovered C2 servers included the following paths :  /components/com_tags/views /components/com_tags/views/admin /components/com_tags/controllers /components/com_finder/helpers /components/com_finder/views/ /components/com_j2xml/ /components/com_contact/controllers/ .		others others others others others others others others others others others others others others others others others url_evil url_evil url_evil url_evil url_evil url_evil url_evil others
