Unknown .		others others
Release_Time : unknown .		others others others others
Report_URL : https://attack.mitre.org/groups/ .		others others others others others others
Orangeworm is a group that has targeted organizations in the healthcare sector in the United States , Europe , and Asia since at least 2015 , likely for the purpose of corporate espionage .		threatActor_name others others others others others others person person person person person others others location location others location others others location others others others time others others others others others others attack_goal attack_goal others
Patchwork : Dropping Elephant , Chinastrats , MONSOON , Operation Hangover .		threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others
Patchwork is a cyberespionage group that was first observed in December 2015 .		threatActor_name others others others others others others others others others time time others
While the group has not been definitively attributed , circumstantial evidence suggests the group may be a pro-Indian or Indian entity .		others reference_word reference_word others others others others others others others others others reference_word reference_word others others others others others others others others
Patchwork has been seen targeting industries related to diplomatic and government agencies .		threatActor_name others others others others others others others industry others industry industry others
Much of the code used by this group was copied and pasted from online forums .		others others others others others others others others others others others others others others others others
Patchwork was also seen operating spearphishing campaigns targeting U.S. think tank groups in March and April of 2018 .		threatActor_name others others others others attack_activity others others location others others others others time time time time time others
PittyTiger is a threat group believed to operate out of China that uses multiple different types of malware to maintain command and control .		threatActor_name others others others others others others others others others location others others others others others others others others attack_goal attack_goal attack_goal attack_goal others
