APT trends report Q2 2019 .		others others others others others others
Release_Time : 2019-08-01 Report_URL : https://securelist.com/apt-trends-report-q2-2019/91897/ For two years , the Global Research and Analysis Team ( GReAT ) at Kaspersky has been publishing quarterly summaries of advanced persistent threat ( APT ) activity .		others others others others others others others others time time time others others others others others others others others others others others security_team others others others others others others others others others others others others others others
The summaries are based on our threat intelligence research and provide a representative snapshot of what we have published and discussed in greater detail in our private APT reports .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
They aim to highlight the significant events and findings that we feel people should be aware of .		others others others others others others others others others others others others others others others others others others
This is our latest installment , focusing on activities that we observed during Q2 2019 .		others others others others others others others others others others others others others others others others
Readers who would like to learn more about our intelligence reports or request more information on a specific report are encouraged to contact ‘ intelreports@kaspersky.com ’ .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In April , we published our report on TajMahal , a previously unknown APT framework that has been active for the last five years .		time time others others others others others others malware others others others others others others others others others others others others time time time others
This is a highly sophisticated spyware framework that includes backdoors , loaders , orchestrators , C2 communicators , audio recorders , keyloggers , screen and webcam grabbers , documents , and cryptography key stealers ; and even its own file indexer for the victim ’s computer .		reference_word others others others others others others others others malware others tool others tool others tool tool others tool tool others tool others tool others tool tool others tool others others tool tool tool others others others others others others others others others others others others others others
We discovered up to 80 malicious modules stored in its encrypted Virtual File System – one of the highest numbers of plugins we have ever seen in an APT toolset .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The malware features its own indexer , emergency C2s , the ability to steal specific files from external drives when they become available again , and much more .		others malware others others others tool others others tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others
There are two different packages , self-named ‘ Tokyo ’ and ‘ Yokohama ’ and the targeted computers we found include both packages .		others others others others others others others others tool others others others tool others others others others industry others others others others others others
We think the attackers used Tokyo as the first stage infection , deploying the fully functional Yokohama package on interesting victims , and then leaving Tokyo in place for backup purposes .		others others others person others tool others others others others others others others others others others tool others others target_crowd target_crowd others others others others tool others others others others others others
So far , our telemetry has revealed just a single victim , a diplomatic body from a country in Central Asia .		others others others others others others others others others others others others others others others others others others others location location others
This begs the question , why go to all that trouble for just one victim?		others others others others others others others others others others others others others others others others
We think there may be other victims that we haven’t found yet .		others others others others others others others others others others others others others others others
This theory is supported by the fact that we couldn’t see how one of the files in the VFS was used by the malware , opening the door to the possibility of additional versions of the malware that have yet to be detected .		others others others others others others others others others others others others others others others others others others others others tool others others others others others others others others others others others others others others others others others others others others others others others others others
