‘Twas the night before Release_Time :  2018-3-9 .		others others others others others others others others others
Report_URL :  https://securelist.com/masha-and-these-bears/84311/ Sofacy , also known as APT28 , Fancy Bear , and Tsar Team , is a prolific , well resourced , and persistent adversary .		others others others others others threatActor_name others others others others threatActor_aliases others threatActor_aliases threatActor_aliases others others threatActor_aliases threatActor_aliases others others others others others others others others others others others others
They are sometimes portrayed as wild and reckless , but as seen under our visibility , the group can be pragmatic , measured , and agile .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Our previous post on their 2017 activity stepped away from the previously covered headline buzz presenting their association with previously known political hacks and interest in Europe and the US , and examines their under-reported ongoing activity in middle east , central asia , and now a shift in targeting further east , including China , along with an overlap surprise .		others others others others reference_word time others others others others others others others others others others others others others others others others others others others others location others location location others others others others others others others others location location others location location others others others others others others others others others others others location others others others others others others others
There is much understated activity that can be clustered within this set and overlap in APT activity .		others others others others others others others others others others others others others others others others others others
Here , we examine current deployment , code , cryptography , and targeting .		others others others others others others others others others others others others others others
Essentially , this examination finds the group maintains subdivisions of efforts in targeting , development , and coding .		others others others others others others others others others others others others others others others others others others others
Comparisons to other modules quickly shows a delineation in other Sofacy efforts .		others others others others others others others others others others threatActor_name others others
SPLM , GAMEFISH , and Zebrocy delivery all maintain their own clusters , but frequently overlap later .		malware others malware others others malware others others others others others others others others others others others others
Because SPLM is their primary and selective second stage tool , SPLM deployment is of much interest .		others malware others others others others others others others others others malware others others others others others others
But Zebrocy efforts are in such high volume , that these modules need examination as well .		others malware others others others others others others others others others others others others others others others
SPLM , otherwise known as CHOPSTICK , or by the author (s ) as “ XAgent ” , is described as Sofacy ’s signature second stage tool , selectively used for years against around the world .		malware others others others others malware others others others others others others others others others others malware others others others others others threatActor_name others others others others others others others others others others others others others others others others
Really , many modified XAgent modules have been deployed over the years .		others others others others malware others others others others others others others others
Even the individual Linux modules renamed as “ Fysbis ” backdoors released in 2016 were merely modified and reduced portions of recompiled XAgent C/C++ codebase .		others others others OS_name others others others others malware others others others others time others others others others others others others others program_language program_language others others
Anyway , SPLM/CHOPSTICK has maintained various combinations of code , with some recognizable functionality listed here .		others others malware others others others others others others others others others others others others others others
Source Modules Channels .		others others others others
Modules Keylogger HTTP .		others others protocol others
Channels RemoteShell FTP .		others others protocol others
Boot FileSystem SMTP .		others others protocol others
Version 3 and early version 4 SPLM modules maintained keylogger , remoteshell , and filestealer code all within the larger compiled backdoor , and executed each body of functionality from within that process memory space .		others others others others others others malware others others malware others malware others others malware others others others others others others malware others others others others others others others others others others others others others others
Later v4 SPLM injected individual keylogger , filestealer , and remoteshell modules into memory space .		others others malware others others malware others malware others others malware others others others others others
But for the most part , deployed SPLM maintained the structure of earlier executable code .		others others others others others others others malware others others others others others others others others
In 2018 , we now see them pushing individual and separate blobs of keylogger , filesystem , and remoteshell code that never touch disk .		others time others others others others others others others others others others others malware others malware others others malware others others others others others others
The larger , 300kb+ SPLM backdoors deployed in 2016 and 2017 are not observed any longer at targets in 2018 .		others others others others malware others others others time time time others others others others others others others others time others
Instead , in-memory modules appear in isolation .		others others others others others others others others
In addition to purely XAgent based code , we also observe zebrocy modules completely recoded into powershell from .Net .		others others others others malware others others others others others others tool others others others others program_language others tool others
Current SPLM code maintains the unusual cipher hack that Sofacy began deploying in 2017 to hide away configuration details .		others malware others others others others others others others threatActor_name others others others time others others others others others others
Comparisons with cipher design and implementations we see in WhiteBear , earlier SPLM and Zebrocy modules tell a few things about design decisions and culture .		others others others others others others others others others threatActor_name others others malware others malware others others others others others others others others others others others
And when specific malware sets are selectively deployed , that may tell us something about how efforts are divided .		others others others others others others others others others others others others others others others others others others others others
SPLM full backdoor and plugins crypto and strings v4 973ff7eb7a5b720c5f6aafe4cd0469d5 Summary : SPLM is being carved up and delivered as memory-only chunks of compiled code .		others others others others others others others others others string others others malware others others others others others others others others others others others others others
We observe the “ retranslator ” code , or ProcessRetranslator.dll , currently being delivered to systems without the presence of the previous , large , SPLM code and injection capabilities .		others others others sample_name sample_name sample_name sample_name others others sample_name sample_name others others others others others others others others others others others others others others malware others others attack_activity attack_activity others
The smaller plugins deployed in 2018 now maintain the same dynamic encryption code as the large 330kb full SPLM backdoors seen in more widespread use in 2017 .		others others others others others time others others others others others others others others others others others others malware others others others others others others others time others
Strings are well organized and concise .		others others others others others others others
Code and strings example ( decrypted from 2018 “ ProcessRetranslator.dll ” plugin ) :  success command not correct error save parameters error set parameters for channel , see full info command processing error not correct command command loading func/net module error command unloading func/net module error cmd.exe Retranslator is now launched Retranslator is now stopped the process is destroyed one thread has died so the process is killed too create process failed on : ( %s ) , error ( %d ) Retranslator is already running Retranslator is not running exit command is successful command is unsuccessful .		others others others others others others others time others sample_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
SPLM crypto v3 ( DNC hack ) cc9e6578a47182a941a478b276320e06 Summary : This earlier SPLM variant found on the DNC network in 2016 still maintains the internal name “ splm.dll ” , with only one export “ init ” that was called at runtime .		malware others others others others others others string others others others others malware others others others others tool tool others time others others others others others others sample_name others others others others others others others others others others others others others others others
The C++ structure of this 280kb+ dll is familiar SPLM/CHOPSTICK , but it maintains a completely different cipher for decrypting configuration data and error messages , etc .		others program_language others others others others others others others tool others others others others others others others others others others others others others others others others others others
The loop performing the bulk of the work is less than 100 bytes , performing pointer arithmetic alongside a couple xor operations of a lower nibble against sequential bytes .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Here , the cipher uses a modolo pointer arithmetic along with a decryption key per blob .		others others others others others others others others others others others others others others others others others
Reviewing all the older ciphers and newer EC based ciphers in openssl and elsewhere results in no match .		others others others others others others others others others others others others others others others others others others others
