IRANIAN FILELESS ATTACK INFILTRATES ISRAELI ORGANIZATIONS Release_Time : 2017-04-19 .		threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name others others others others
Report_URL : https://blog.morphisec.com/iranian-fileless-cyberattack-on-israel-word-vulnerability .		others others others others others others
From April 19-24 , 2017 , a politically-motivated , targeted campaign was carried out against numerous Israeli organizations .		others time time time time others others others others others others others others others others others reference_word reference_word others
Morphisec researchers began investigating the attacks on April 24 and continue to uncover more details .		security_team security_team others others others others others time time others others others others others others others
Initial reports of the attacks , published April 26 ( in Hebrew ) by the Israel National Cyber Event Readiness Team ( CERT-IL ) and The Marker , confirm that the attack was delivered through compromised email accounts at Ben-Gurion University and sent to multiple targets across Israel .		counter_measure counter_measure counter_measure counter_measure counter_measure others others time time others others location others others others security_team security_team security_team security_team security_team security_team security_team security_team security_team others others security_team others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others location others
Ironically , Ben-Gurion University is home to Israel ’s Cyber Security Research Center .		others others others others others others others location location location location location location location others
Investigators put the origin of the attack as Iranian ; Morphisec ’s research supports this conclusion and attributes the attacks to the same infamous hacker group responsible for the OilRig malware campaigns .		others others others others others others others others others others security_team others others others others others others others others others others others others others reference_word reference_word reference_word others others others malware others others others
The fileless attack was delivered via Microsoft Word documents that exploited a former zero-day vulnerability in Word , CVE-2017-0199 , to install a fileless attack variant of the Helminth Trojan agent .		others threatActor_aliases threatActor_aliases others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others vulnerability_cve others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Microsoft released the patch for the vulnerability on April 11 , but many organizations have not yet deployed the update .		company counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others time time others others others others others others others others others others others
The attackers actually based their attack on an existing Proof-of-Concept method that was published by researchers after the patch release .		others reference_word others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
By hunting through known malware repositories , Morphisec identified matching samples uploaded by Israeli high-tech development companies , medical organizations and education organizations , indicating that they were victims of the attack .		others counter_measure counter_measure counter_measure counter_measure counter_measure others security_team others others others others others industry industry industry industry others industry industry industry industry industry others industry industry industry industry industry industry industry industry others
For security purposes , Morphisec is not revealing these names .		others others others others security_team others others others others others others
Upon deeper investigation into the installed Helminth fileless agent , we identified a near perfect match to the OilRig campaign executed by an Iranian hacker group against 140 financial institutions in the Middle East last year , as analyzed by FireEye , Palo Alto Networks and Logrhythm .		counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others others others others others others others others others malware others others others others reference_word reference_word reference_word others others target_crowd target_crowd others others location location others others others others others others tool others tool tool tool others tool others
This group has become one of the most active threat actors , with noteworthy abilities , resources and infrastructure ; speculations indicate the hacking organization to be sponsored by the Iranian government .		others reference_word others others others others others others others others others others others others others others others others others others others others others reference_word reference_word others others others others others government government others
In other recent attacks ( January 2017 ) , the group used a fake Juniper Networks VPN portal and fake University of Oxford websites to deliver malware as described by ClearSky .		others others others others others time time others others others reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others security_team others
Name SHA256 .		others encryption_algo others
13.doc: a9bbbf5e4797d90d579b2cf6f9d61443dff82ead9d9ffd10f3c31b686ccf81ab .		sample_name others sha2 others
558.doc , 2.doc: 2869664d456034a611b90500f0503d7d6a64abf62d9f9dd432a8659fa6659a84 .		sample_name others others others sha2 others
1.doc: 832cc791aad6462687e42e40fd9b261f3d2fbe91c5256241264309a5d437e4d8 .		sample_name others sha2 others
3.doc: d4eb4035e11da04841087a181c48cd85f75c620a84832375925e6b03973d8e48 .		sample_name others sha2 others
The most notable difference from last year ’s OilRig campaign is the way the attack was delivered .		others others others others others others others others others malware others others others others others others others others others
In the previous campaign , the Iranian group sent specially crafted Excel and Word files , which contained macros that targeted individuals were convinced to enable .		others others others others others others reference_word reference_word sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
Name Delivery Server .		others others others others
test4.hta http://comonscar.in  ( 82.145.40.46 ) .		others url url url others IP others others
test5.hta 80.82.67.42. test1.hta reserved .		others others others others others
SHA256: 5ac61ea5142d53412a251eb77f2961e3334a00c83da9087d355a49618220ac43 .		others others sha2 others
