APT28 : A WINDOW INTO RUSSIA ’ S CYBER  ESPIONAGE OPERATIONS .		others others others others others others others others others others others others
Release_Time : unknown .		others others others others
Report_URL : https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf .		others others others others others others
APT28 ’ s lures and domain registrations also demonstrate their interest in NATO and other European security organizations .		threatActor_name others others others others others others others others others others others government government government government government government others
NATO remains a chief Russian adversary , or in the words of Russia ’ s 2010 military doctrine , a “ main external military danger ” particularly as it moves “ closer to the borders of the Russian Federation.		government others others others others others others others others others others others location others others time others others others others others others others others others others others others others others others others others others others others others others others others
” 16As the traditional western counterweight to the Soviet Union , Russia regards NATO , particularly NATO ’ s eastward expansion , as a threat to Russia ’ s strategic stability .		others others others others others others others others government government others location others government others others government others others others others others others others others others location others others others others others
APT28 also registered a domain name imitating the Organization for Security and Cooperation in Europe ( OSCE ) , an intergovernmental organization that has cited widespread fraud in numerous Russian state elections .		threatActor_name others others others others others others others government government government government government others others others government others others others others others others others others others others others others others others others others
Insider information about NATO , the OSCE and other security organizations would inform Russian political and military policy .		others others others government others others government others others others others others others others others others others others others
Several of the domains APT28 registered imitated NATO domain names , including those of NATO Special Operations Headquarters and the NATO Future Forces Exhibition .		others others others others threatActor_name others others government others others others others others others government government government government others others government government government others others
We also observed a user that we suspect works for NATO HQ submit an APT28 sample to VirusTotal , probably as a result of receiving a suspicious email .		others others others others others others others others others others government government others others threatActor_name others others tool others others others others others others others others others others others
Table 3 : Examples of APT28 domains imitating legitimate NATO and security websites .		others others others others others threatActor_name others others others government others others others others
APT28 Domain , Real Domain .		threatActor_name others others others others others
nato.nshq.in , NATO Special Operations Headquarters ( nshq.nato.int ) .		domain_evil others government government government government others domain_evil others others
natoexhibitionff14.com , NATO Future Forces 2014 Exhibition & Conference ( natoexhibition.org ) .		domain_evil others government government government time others others others others domain_evil others others
APT28 also demonstrated an interest in defense attaches working in European countries .		threatActor_name others others others others others target_crowd target_crowd others others others others others
We identified an APT28 lure containing a decoy document with a list of British officers and U.S. and Canadian military attachés in London .		others others others threatActor_name others others others others others others others others others target_crowd target_crowd others target_crowd target_crowd target_crowd target_crowd target_crowd others location others
Finally , APT28 used a lure that contained an apparent non-public listing of contact information for defense attachés in the “ Ankara Military Attaché Corps ( AMAC ) , ” which appears to be a professional organization of defense attachés in Turkey .		others others threatActor_name others others others others others others others others others others others others others others others others others others government government government government others government others others others others others others others others others others others others others others location others
In addition to targeting European security organizations and governments , it appears that APT28 is targeting attendees of European defense exhibitions .		others others others others others others others others others others others others others threatActor_name others others target_crowd target_crowd target_crowd target_crowd target_crowd others
Some of the APT28-registered domains imitated those of defense events held in Europe , such as the Farnborough Airshow 2014 , EuroNaval 2014 , EUROSATORY 2014 , and the Counter Terror Expo .		others others others others others others others others others others others others location others others others others others others others others others others others others others others others others others others others others
In September 2014 , APT28 registered a domain ( smigroup-online.co.uk ) that appeared to mimic that for the SMi Group , a company that plans events for the “ Defence , Security , Energy , Utilities , Finance and Pharmaceutical sectors .		others time time others threatActor_name others others others others domain_evil others others others others others others others others company others others others others others others others others others others others others others others others others others others others others others others others
” Among other events , the SMi Group is currently planning a military satellite communications event for November 2014 .		others others others others others others company others others others others others others others others others others time time others
Targeting organizations and professionals involved in these defense events would likely provide APT28 with an opportunity to procure intelligence pertaining to new defense technologies , as well as the victim organizations ’ operations , communications , and future plans .		others others others others others others others others others others others others threatActor_name others others others others attack_goal attack_goal attack_goal others others others others others others others others others others others others others others others others others others others others
Targeting organizations and professionals involved in these defense events would likely provide APT28 with an opportunity to procure intelligence pertaining to new defense technologies .		others others others others others others others others others others others others threatActor_name others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
APT28 has targeted a variety of organizations that fall outside of the three themes we highlighted above .		threatActor_name others others others others others others others others others others others others others others others others others
However , we are not profiling all of APT28 ’ s targets with the same detail because they are not particularly indicative of a specific sponsor ’ s interests .		others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others
They do indicate parallel areas of interest to many governments and do not run counter to Russian state interests .		others others others others others others others others others others others others others others others others others others others others
Other probable APT28 targets that we have identified :  Norwegian Army ( Forsvaret ) Government of Mexico Chilean Military Pakistani Navy U.S. Defense Contractors European Embassy in Iraq Special Operations Forces Exhibition ( SOFEX ) in Jordan Defense Attaches in East Asia Asia-Pacific Economic Cooperation ( APEC ) Al-Wayi News Site .		others others threatActor_name others others others others others others government government others government others government government government government government government government government government government government government government government government government government government others government others others location target_crowd target_crowd others location location government government government others government others company company company others
APT28 ’ s tools are suggestive of the group ’ s skills , ambitions , and identity .		threatActor_name others others others others others others others others others others others others others others others others others
Our analysis of some of the group ’s more commonly used tools indicates that APT28 has been systematically updating their tools since 2007 .		others others others others others others others others others others others others others others others threatActor_name others others others others others others others time others
APT28 is most likely supported by a group of developers creating tools intended for long-term use and versatility , who make an effort to obfuscate their activity .		threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others
This suggests that APT28 receives direct ongoing financial and other resources from a well-established organization , most likely a nation state government .		others others others threatActor_name others others others others others others others others others others others others others others others others others others others
