KONNI : A Malware Under The Radar For Years .		malware others others others others others others others others others
Release_Time: 2017-05-03 Report_URL: https://securelist.com/muddywaters-arsenal/90659/  Talos has discovered an unknown Remote Administration Tool that we believe has been in use for over 3 years.		others others others others others others others others security_team others others others others malware malware malware others others others others others others others others others others others others
During this time it has managed to avoid scrutiny by the security community.		others others others others others others others others others others others others others others
The current version of the malware allows the operator to steal files, keystrokes, perform screenshots, and execute arbitrary code on the infected host.		others others others others others others others others others others sample_function sample_function others sample_function others sample_function sample_function others others sample_function sample_function sample_function others others others others others
Talos has named this malware KONNI.		security_team others others others others malware others
Throughout the multiple campaigns observed over the last 3 years, the actor has used an email attachment as the initial infection vector.		others others others others others others others others others others others others person others others others attack_activity attack_activity others others others others others others
They then use additional social engineering to prompt the target to open a .scr file, display a decoy document to the users, and finally execute the malware on the victim's machine.		others others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
The malware infrastructure of the analysed samples was hosted by a free web hosting provider: 000webhost.		others others others others others others others others others others others others others others others others others others
The malware has evolved over time.		others others others others others others others
In this article, we will analyse this evolution: at the beginning the malware was only an information stealer without remote administration, it moved from a single file malware to a dual file malware (an executable and a dynamic library), the malware has supported more and more features over the time, the decoy documents have become more and more advanced, The different versions contain copy/pasted code from previous versions.		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Moreover the new version searches for files generated by previous versions.		others others others others others others others others others others others others
(This implies that the malware has been used several times against the same targets).		others others others others others others others others others others others others others others others others others
This evolution is illustrated across 4 campaigns: one in 2014, one in 2016 and finally two in 2017.		others others others others others others attack_activity others others others time others others others time others others others others time others
The decoy document of the 2 last campaigns suggests that the targets are public organisations.		others others others others others others others attack_activity others others others others others attack_goal attack_goal others
Both documents contained email addresses, phone numbers and contacts of members of official organizations such as United Nations, UNICEF, and Embassies linked to North Korea.		others others others others others others others others others others others others others others others others others government government others government others others government others others location location others
In this campaign, the dropper filename was beauty.scr.		others others others others others others others others sample_name others
Based on the compilation date of the two binaries, this campaign took place in September 2014.		others others others others others others others others others others others attack_activity others others others time time others
