FancyBearTracksUkrainianArtillery .		others others
Rlease_Time : 2017-03-23 .		others others others others
Report_URL : https://www.crowdstrike.com/wp-content/brochures/FancyBearTracksUkrainianArtillery.pdf .		others others others others others others
The information about the combat losses of the D-30 artillery units suffered by Ukrainian forces has been updated with the latest analysis from Henry Boyd , International Institute for Strategic Studies ( IISS ) Research Associate for Defence and Military Analysis .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
From late 2014 and through 2016 , FANCY BEAR X-Agent implant was covertly distributed on Ukrainian military forums within a legitimate Android application developed by Ukrainian artillery officer Yaroslav Sherstuk .		others time time others others time others threatActor_name threatActor_name malware others others others others others others others others others others others others others others others others others others person person others
The original application enabled artillery forces to more rapidly process targeting data for the Soviet-era D-30 Howitzer employed by Ukrainian artillery forces reducing targeting time from minutes to under 15 seconds .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
According to Sherstuk ’s interviews with the press , over 9000 artillery personnel have been using the application in Ukrainian military .		others others others others others others others others others others others others others others others others others others others others others others others
Successful deployment of the FANCY BEAR malware within this application may have facilitated reconnaissance against Ukrainian troops .		others others others others threatActor_name threatActor_name others others others others others others others others others target_crowd target_crowd others
The ability of this malware to retrieve communications and gross locational data from an infected device makes it an attractive way to identify the general location of Ukrainian artillery forces and engage them .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
According to an update provided in March 2017 by the International Institute for Strategic Studies ( IISS ) Research Associate for Defence and Military Analysis , Henry Boyd , "excluding the Naval Infantry battalion in the Crimea which was effectively captured wholesale , the Ukrainian Armed Forces lost between 15% and 20% of their pre-war D–30 inventory in combat operations .		others others others others others others time time others others others others others others others others others others others others others others others others others others person person others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This previously unseen variant of X-Agent represents FANCY BEAR ’s expansion in mobile malware development from iOS-capable implants to Android devices , and reveals one more component of the broad spectrum approach to cyber operations taken by Russia-based actors in the war in Ukraine .		others others others others others malware others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The collection of such tactical artillery force positioning intelligence by FANCY BEAR further supports CrowdStrike ’s previous assessments that FANCY BEAR is likely affiliated with the Russian military intelligence ( GRU ) , and works closely with Russian military forces operating in Eastern Ukraine and its border regions in Russia .		others others others others others others others others others others threatActor_name threatActor_name others others others others others others others others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In late June and August 2016 , CrowdStrike Intelligence provided initial reporting and technical analysis of a variant of the FANCY BEAR implant X-Agent that targeted the Android mobile platform .		others others time time time time others others others others others others others others others others others others others others threatActor_name threatActor_name others malware others others others others others others others
CrowdStrike identified this X-Agent variant within a legitimate Android application named Попр-Д30.apk .		others others others malware others others others others others others others others others
This app was developed and used by artillery troops to simplify targeting data for the D-30 towed howitzer .		others others others others others others others others others others others others others others others others others others others
CrowdStrike investigation reveals that this app has been utilized in a possible training or operational role in at least one unit of the Ukrainian military .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Therefore , the implant likely targeted military artillery units operating against proRussian separatists in Eastern Ukraine .		others others others others others others others others others others others others others others others others others
This implant represents further advancements in FANCY BEAR ’s development of mobile malware for targeted intrusions and extends Russian cyber capabilities to the front lines of the battlefield .		others others others others others others threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others others others
This Tipper builds on CrowdStrike ’s previous reporting by providing a timeline of events , contextual discussion regarding the potential drivers for development and deployment of the malware , and a description of the analytical process resulting in targeting assessments .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Finally , this Tipper leverages these assessments , in conjunction with more recently observed activity by Russia-based adversaries , to determine the potential for any future activity in the mobile malware threat space .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The original application central to this discussion , Попр-Д30.apk , was initially developed domestically within Ukraine by a member of the 55th Artillery Brigade .		others others others others others others others others others others others others others others others others others others others others others others others others others
Based on the file creation timestamps as well as the app signing process , which occurred on 28 March 2013 , CrowdStrike has determined that the app was developed sometime between 20 February and 13 April 2013 .		others others others others others others others others others others others others others others others others others time time time others others others others others others others others others others others time time time time time time others
Shortly after that time frame , on 28 April 2013 , an individual bearing the same name as the application ’s developer promoted the application on Russian vKontakte pages associated with the artillery forces .		others others others others others others others time time time others others others others others others others others others others others others others others others others others others others others others others others others others others
The promotion of the program was likely limited to social media , and the distribution was controlled from the author ’s main page , «Програмное обеспечение современного боя» ( translation : "Modern combat software" ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
As an additional control measure , the program was only activated for use after the developer was contacted and issued a code to the individual downloading the application .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
No evidence of the application has been observed on the Android app store , making it unlikely that the app was distributed via that platform .		others others others others others others others others others others others others others others others others others others others others others others others others others others
The control measures established by the developer to limit the use and proliferation of the Попр-Д30.apk application , coupled with its unique purpose , make its broad distribution on the Android store improbable .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
At the time of this writing , it is unclear to what degree and for how long this specific application was utilized by the entirety of the Ukrainian Artillery Forces .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Based on open source reporting , social  media posts , and video evidence , CrowdStrike assesses that Попр-Д30.apk was potentially used through 2016 by at least one artillery unit operating in eastern Ukraine .		others others others others others others others others others others others others others others others others others others others others others others time others others others others others others others others others others others
Given the estimated development timeframe and the promotional period for the benign Попр-Д30.apk application , the program was likely available online for distribution after late April 2013 .		others others others others others others others others others others others others others others others others others others others others others others others others time time time others
CrowdStrike Intelligence assesses that the application likely came to the attention of Russiabased adversaries around this time frame as a result of ongoing Russian reconnaissance associated with the revolution in Ukraine .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Actors with a nexus to Russia regularly monitor social media sites in order to better understand or formulate operations against their targets .		others others others others others others others others others others others others others others others others others others others others others others others
CrowdStrike Intelligence has noted instances in which some Russia-based actors and attribution front groups have leveraged information obtained from Ukrainian social media sites in order to perform operations .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The most notable recent example of this was in the case of extortion-based threats directed against the Polish Government .		others others others others others others others others others others others others others others others others others others others others
In this particular case , the perpetrators likely sought out openly available account information from a vKontakte page belonging to a Ukrainian citizen , who was soliciting donations to aid volunteer soldiers fighting in eastern Ukraine .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The adversary then used this profile information , in conjunction with the name "Pravyy Sector ," to make it appear as though the extortion threats against the Polish government were originating from an ultranationalist Ukrainian group .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CrowdStrike has assessed that by performing this type of deceptive operation the perpetrator likely sought to make it appear as though Ukrainian interests were threatening the Polish government .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In addition , because the individual account hijacked for this operation had been used to try to raise funds for Ukrainian forces , the adversary may have been trying to aggravate Western governments enough to freeze the individual ’s accounts .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The attack did not appear to achieve its intended result .		others others others others others others others others others others others
Poland rebuffed the threats , and the owner of the vKontakte page denounced any involvement in the threat .		others others others others others others others others others others others others others others others others others others others
Subsequently the Pravyy Sector group scrubbed their social media page of much of the information associated with this failed operation .		others others others others others others others others others others others others others others others others others others others others others
This particular incident is an example of how a disinformation operation is staged .		others others others others others others others others others others others others others others
While this incident is not likely to be related to the development of the X-Agent Android variant , it demonstrates the reconnaissance and preplanning tactics that precede the rest of a campaign .		others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others
CrowdStrike has discovered indications that as early as 2015 FANCY BEAR likely developed X-Agent applications for the iOS environment , targeting "jailbroken" Apple mobile devices .		others others others others others others others others time threatActor_name threatActor_name others others malware others others others others others others others others target_crowd others target_crowd target_crowd target_crowd others
The use of the X-Agent implant in the original Попр-Д30.apk application appears to be the first observed case of FANCY BEAR malware developed for the Android mobile platform .		others others others others malware others others others others others others others others others others others others others others threatActor_name threatActor_name others others others others others others others others
On 21 December 2014 the malicious variant of the Android application was first observed in limited public distribution on a Russian language , Ukrainian military forum .		others time time time others others others others others others others others others others others others others others others others others others others others others others others
A late 2014 public release would place the development timeframe for this implant sometime between late-April 2013 and early December 2014 .		others time time others others others others others others others others others others others others time time others time time time others
During that proposed development timeframe , a number of significant events unfolded between Ukraine , Russia , and the international community .		others others others others others others others others others others others others others others others others others others others others others others
Most notably , Russian attempts to influence Ukrainian-EU relations resulted in the large-scale , Maidan protest movement , eventually resulting in the ouster of then-president Victor YANUKOVYCH , the invasion and annexation of the Crimean Peninsula by Russia , and the protracted armed conflict in eastern Ukraine .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Therefore , the creation of an application that targets some of the front line forces pivotal in Ukrainian defense on the eastern front would likely be a high priority for Russian adversary malware developers seeking to turn the tide of the conflict in their favor .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CrowdStrike Intelligence has assessed that the distribution of the malicious application targeted the very artillery units for which the benign application was developed—brigades operating in eastern Ukraine on the frontlines of the conflict with Russian-backed separatist forces during the early stages of the conflict in late-2014 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others time others
