Following the Trail of BlackTech’s Cyber Espionage Campaigns .		others others others others threatActor_name others others others others others others
Release_Time :  2017-6-22 Report_URL :  https://blog.trendmicro.com/trendlabs-security-intelligence/following-trail-blacktech-cyber-espionage-campaigns/ BlackTech is a cyber espionage group operating against targets in East Asia , particularly Taiwan , and occasionally , Japan and Hong Kong .		others others others others others others others others threatActor_name others others others others others others others others others location location others others target_crowd others others others others target_crowd others target_crowd target_crowd others
Based on the mutexes and domain names of some of their C&C servers , BlackTech ’s campaigns are likely designed to steal their target ’s technology .		others others others others others others others others others others others tool tool tool others others threatActor_name others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Following their activities and evolving tactics and techniques helped us uncover the proverbial red string of fate that connected three seemingly disparate campaigns : PLEAD , Shrouded Crossbow , and of late , Waterbear .		others others others others others others others others others others others others others others others others others others others others others others others others attack_activity others attack_activity attack_activity others others others others others attack_activity others
Over the course of their campaigns , we analyzed their modus operandi and dissected their tools of the trade—and uncovered common denominators indicating that PLEAD , Shrouded Crossbow , and Waterbear may actually be operated by the same group .		others others others others others others others others others others others others others others others others others others others others others others others others attack_activity others attack_activity attack_activity others others attack_activity others others others others others others others others others
PLEAD is an information theft campaign with a penchant for confidential documents .		attack_activity others others others others others others others others others tool tool others
Active since 2012 , it has so far targeted Taiwanese government agencies and private organizations .		others others time others others others others others others industry industry industry others target_crowd target_crowd others
PLEAD ’s toolset includes the self-named PLEAD backdoor and the DRIGO exfiltration tool .		attack_activity others others others others others others tool tool others others tool others others others
PLEAD uses spear-phishing emails to deliver and install their backdoor , either as an attachment or through links to cloud storage services .		attack_activity others malware malware others attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others others others others others others others
Some of the cloud storage accounts used to deliver PLEAD are also used as drop off points for exfiltrated documents stolen by DRIGO .		others others others others others others others others others attack_activity others others others others others others others others attack_goal attack_goal attack_goal others tool others
PLEAD ’s installers are disguised as documents using the right-to-left-override ( RTLO ) technique to obfuscate the malware ’s filename .		malware malware malware malware others others others others others others tool tool tool tool others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
