Operation Dragonfly Analysis Suggests Links to Earlier Attacks .		others threatActor_name others others others others others others others
Release_Time :  2017-12-17 .		others others others others
Report_URL :  https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-dragonfly-analysis-suggests-links-to-earlier-attacks/ .		others others others others others others
On September 6 , Symantec published details of the Dragonfly campaign , which targeted dozens of energy companies throughout 2017 .		others time time others person others others others others threatActor_name others others others others others others company company others time others
This attack was effectively Dragonfly 2.0 , an update to a campaign that began in 2014 .		others others others others attack_activity attack_activity others others others others others others others others others time others
Moving beyond our 2014 analysis of Dragonfly , our current focus looks at the attack ’  s indicators to determine whether we can glean any further information regarding the source and possible motivations of those behind the campaign .		others others others time others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The campaign targets energy companies around the world by leveraging spear-phishing emails that , once successful , allow the attackers to download Trojan software .		reference_word reference_word others company company others others others others others malware malware others others others others others others others others others others malware others others
The Trojans provide access to the victims ’  systems and networks .		others malware others others others others others others others others others others
Although initial reports showed Dragonfly attacks targeting the energy sector , investigations by McAfee Labs and the Advanced Threat Research team uncovered related attacks targeting the pharmaceutical , financial , and accounting industries .		others others others others threatActor_name others others others industry industry others others others security_team security_team others others security_team security_team security_team others others others others others others industry others industry others others industry others others
Everything about this campaign points to a well-prepared assault that carefully considers each target , and conducts reconnaissance before taking any measures to exploit compromised targets .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
We saw the group use several techniques to get a foothold in victims ’  networks , including spear phishing , watering holes , and exploits of supply-chain technologies via previous campaigns .		others others reference_word reference_word others others others others others others others others others others others others others malware malware others malware malware others others others others tool tool others others others others
By compromising well-established software vulnerabilities and embedding within them “ backdoor ”  malware , the victims think they are installing software from a trusted vendor , while unaware of the supply-side compromise .		others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others
Once the attackers have a foothold , they create or gain user accounts to operate stealthily .		others others others others others others others others others others others others others others others others others
Using the remote-desktop protocol to hop among internal or external systems , they connect either to a control server if the risk is minimal or use an internal compromised server to conduct operations .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The last wave of attacks used several backdoors and utilities .		others others others others others others others others others others others
In analyzing the samples , we compared these with McAfee ’  s threat intelligence knowledge base of attack artifacts .		others others others others others others others others others company others others others others others others others others others others
One of the starting points was a Trojan in the 2017 campaign with the following hashes :  MD5 :  da9d8c78efe0c6c8be70e6b857400fb1 SHA-256 :  fc54d8afd2ce5cb6cc53c46783bf91d0dd19de604308d536827320826bc36ed9 .		others others others others others others others malware others others time others others others others others others encryption_algo others md5 encryption_algo others sha2 others
