FIN10:Anatomy of a Cyber Extortion Operation .		threatActor_name others others others others attack_activity attack_activity attack_activity others
FireEye has identified a set of financially motivated intrusion operations being carried out by an actor we have dubbed FIN10 .		security_team others others others others others others others others others others others others others others others others others others threatActor_name others
Within these clusters of activity , the attacker ( s ) have compromised organizations ’  networks and sought to monetize this illicit access by exfiltrating sensitive data and extorting victim organizations .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We have observed FIN10 targeting organizations in North America , predominately in Canada .		others others others threatActor_name others others others location location others others others location others
FIN10 primarily relies on publicly-available software , scripts and techniques to gain a foothold into victims ’  networks .		threatActor_name others others others tool tool others tool others tool others others others others others attack_goal attack_goal attack_goal others
The threat group then posts proof of the stolen data on publicly accessible websites .		others others others others others others others others others others others others others others others
Failure to pay the threat group could result in the public release of stolen data and potential disruption or destruction of the victim ’  s information assets and systems .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In this report , we describe FIN10 ’  s activities and tactics , techniques and procedures ( TTPs ) , and provide a glimpse into how they execute their operations .		others others others others others others threatActor_name others others others others others others tool others tool tool tool tool others others others others others others others others others others others others
occurring in North America — predominately in Canada — dating back to at least 2013 and continuing through at least 2016 , in which the attacker ( s ) have compromised organizations ’  networks and sought to monetize this illicit access by exfiltrating sensitive data and extorting victim organizations .		others others location location others others others location others others others others time time time time time time time time time others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In some cases , when the extortion demand was not met , the attacker ( s ) destroyed production Windows systems by deleting critical operating system files and then shutting down the impacted systems .		others others others others others others others others others others others others others others others others others others others OS_name others others others others others others others others others others others others others others others
Based on near parallel TTPs used by the attacker ( s ) across these targeted intrusions , we believe these clusters of activity are linked to a single , previously unobserved actor or group that we have dubbed FIN10 .		others others others others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
Beginning as early as 2013 and continuing through at least 2016 , we have observed FIN10 target organizations based in North America – predominately in Canada .		time time time time time time time time time time time others others others others threatActor_name others others others others location location others others others location others
Targeted organizations have primarily been casinos and mining organizations .		others others others others others industry others industry others others
In the majority of intrusions attributed to FIN10 , there was insufficient evidence to determine the initial infection vector .		others others others others others others others threatActor_name others others others others others others others others others others others others
However , in at least two intrusions , FIN10 leveraged spear phishing emails with malicious attachments , making it plausible that this methodology was used across all breaches .		others others others others others others others others threatActor_name others malware malware malware others others others others others others others others others others others others others others others others
In both instances where the initial compromise was identified , the attacker ( s ) used social engineering and specifically crafted lures to entice victims to click on a link that directed them to a FIN10-controlled server .		others others others others others others others others others others others others others others others others tool tool others tool tool tool others others others others others others others others others others others others others others others others
The server hosted malicious artifacts that ultimately executed code on one or more systems .		others others others others others others others others others others others others others others others
In these instances , the malicious code were downloaders that beaconed out to attacker-controlled infrastructure .		others others others others others others others others others others others others others others others others
In one intrusion , the phishing email referenced an updated holiday schedule for organizational staff .		others others others others others malware malware others others others tool tool others others others others
The embedded URL pointed to a malicious HTML Application ( HTA ) file .		others others tool others others others malware malware malware malware malware malware malware others
In another intrusion , a phishing email referenced an employee questionnaire .		others others others others others malware malware others others tool tool others
The embedded URL pointed to a Word Open XML Macro-Enabled Document file ( DOCM ) file .		others others tool others others others tool tool tool tool tool tool tool tool tool others others
Of note , FIN10 likely uses LinkedIn — among other social media and public data sources — to support the crafting of phishing emails that appear legitimate .		others others others threatActor_name others others tool others others others others others others others others others others others others others others others others others others others others others
The attacker ( s ) primarily relied on publicly-available software , scripts and techniques to gain a foothold into victims ’  networks .		others others others others others others others others tool tool others tool others tool others others others others others others others others others
FIN10 used Meterpreter as the primary method of establishing an initial foothold within victim environments .		threatActor_name others tool others others others others others others others others others others others others others
However , in one case , we also observed the group use Splinter Remote Access Trojan ( SplinterRAT ) .		others others others others others others others others others others others others malware malware malware malware malware malware malware others
