Don’t Panic: COVID-19 Cyber Threats .		others others others others others others others others others
Release_Time :  2020-3-24 .		others others others others
Report_URL :  https://unit42.paloaltonetworks.com/covid19-cyber-threats/ .		others others others others others others
When people ask me what Unit 42 does , the most concise answer I can normally give is “ we research bad guys doing bad things .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
” With the onset of the COVID-19 pandemic spreading around the world , many of us have had to adapt our lives to accommodate the new reality .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Bad guys are no different .		others others others others others others
They ’  ve also adapted and are taking advantage of this pandemic to launch cyber attacks .		others others others others others others others others others others others others others others others others others
The biggest opportunity for cyber attackers with this outbreak has nothing to do with technology , but with how humans change their behavior and patterns in response to the crisis .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The purpose of this report is not to contribute to the fear and anxiety many of us are already experiencing , but to help you be informed about what is happening and how to protect yourself and your organization .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We will update this blog as new information comes to light .		others others others others others others others others others others others others
As with other high-profile events , attackers are taking advantage of the high amount of attention paid to COVID-19 to lure victims into opening attachments on malicious emails and click on phishing links .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This is not a single attack or event campaign , but a widespread use of virus related themes .		others others others others others others others others others others others others others others others others others others others
We ’  ve identified malicious emails using subjects containing COVID-19 and related keywords carrying Remote Administration Tools ( RATs ) like NetWire , NanoCore , and LokiBot .		others others others others malware malware others others others others others others others others others others others others others others others tool others tool others others tool others
Example email subjects include :  CORONAVIRUS ( COVID-19 ) UPDATE // BUSINESS CONTINUITY PLAN ANNOUNCEMENT STARTING MARCH 2020 Latest corona-virus updates UNICEF COVID-19 TIPS APP POEA HEALTH ADVISORY re-2020 Novel Corona Virus WARNING !		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
CORONA VIRUS .		others others others
