Unknown .		others others
Release_Time : unknown Report_URL : https://attack.mitre.org/groups/ Tropic Trooper : KeyBoy .		others others others others others others others others threatActor_name threatActor_name others threatActor_aliases others
Tropic Trooper is an unaffiliated threat group that has led targeted campaigns against targets in Taiwan , the Philippines , and Hong Kong .		threatActor_name threatActor_name others others others others others others others others others others others others others location others location location others others location location others
Tropic Trooper focuses on targeting government , healthcare , transportation , and high-tech industries and has been active since 2011 .		threatActor_name threatActor_name others others others government others industry others industry others others industry others others others others others others time others
Turla : Waterbug , WhiteBear , VENOMOUS BEAR , Snake , Krypton .		threatActor_name others threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases others
Turla is a Russian-based threat group that has infected victims in over 45 countries , spanning a range of industries including government , embassies , military , education , research and pharmaceutical companies since 2004 .		threatActor_name others others others others others others others others others others others others others others others others others others others others government others government others government others industry others industry others company company others time others
Heightened activity was seen in mid-2015 .		sub_activity sub_activity others others others time others
Turla is known for conducting watering hole and spearphishing campaigns and leveraging in-house tools and malware .		threatActor_name others others others others attack_activity attack_activity others attack_activity attack_activity others tool tool tool others malware others
Turla ’s espionage platform is mainly used against Windows machines , but has also been seen used against macOS and Linux machines .		sub_activity sub_activity sub_activity sub_activity sub_activity others others others others OS_name others others others others others others others others others OS_name others OS_name others others
Winnti Group : Blackfly .		threatActor_name threatActor_name others threatActor_aliases others
Winnti Group is a threat group with Chinese origins that has been active since at least 2010 .		threatActor_name threatActor_name others others others others others location location others others others others others others others time others
The group has heavily targeted the gaming industry , but it has also expanded the scope of its targeting .		others others others others others others industry industry others others others others others others others others others others others others
Some reporting suggests a number of other groups , including Axiom , APT17 , and Ke3chang , are closely linked to Winnti Group .		others others others others others others others others others others threatActor_name others threatActor_name others others threatActor_name others others others others others threatActor_name threatActor_name others
