Detecting threat actors in recent German industrial attacks with Windows Defender ATP .		others others others others others location others others others tool tool tool others
Detecting threat actors in recent German industrial attacks with Windows Defender ATP .		others others others others others location others others others tool tool tool others
Release_Time : 2017-02-25 Report_URL : https://www.microsoft.com/security/blog/2017/01/25/detecting-threat-actors-in-recent-german-industrial-attacks-with-windows-defender-atp/ When a Germany-based industrial conglomerate disclosed in December 2016 that it was breached early that year , the breach was revealed to be a professionally run industrial espionage attack .		others others others others others others others others others others others company company others others time time others reference_word others others others others others others others others others others others others others others others others others others others
According to the German press , the intruders used the Winnti family of malware as their main implant , giving them persistent access to the conglomerate ’s network as early as February 2016 .		others others others location others others others others others others malware others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others time time others
In this blog , we look at the Winnti malware implant as used by two known activity groups BARIUM and LEAD .		others others others others others others others others malware others others others others others others others others others threatActor_name others threatActor_name others
We look at how these activity groups introduce the implant to various targets and techniques used by Microsoft researchers to track the implant .		others others others others others others others others others others others others others others others others others company others others others others others others
To show how this breach and similar breaches can be mitigated , we look at how Windows Defender Advanced Threat Protection ( Windows Defender ATP ) flags activities associated with BARIUM , LEAD , and other known activity groups and how it provides extensive threat intelligence about these groups .		others others others others others others others others others others others others others others others others tool tool tool tool tool others tool tool tool others others others others others threatActor_name others threatActor_name others others others others others others others others others others others others others others others others others
We go through the Winnti implant installation process and explore how Windows Defender ATP can capture such attacker methods and tools and provide visualized contextual information that can aid in actual attack investigation and response .		others others others others malware others others others others others others tool tool tool others others others others others others others others others others others others others others others others others others others others others others
We then discuss how centralized response options , provided as enhancements to Windows Defender ATP with the Windows 10 Creators Update , can be used to quickly stop threats , including stopping command and control ( C&C ) communication and preventing existing implants from installing additional components or from moving laterally to other computers on the network .		others others others others tool tool tool others others others others others tool tool tool others OS_name OS_name OS_name OS_name OS_name others others others others others sample_function sample_function sample_function others others others others others others others protocol protocol protocol others others others others others others others others others others others others others others others others others others others others others
Microsoft Threat Intelligence associates Winnti with multiple activity groups—collections of malware , supporting infrastructure , online personas , victimology , and other attack artifacts that the Microsoft intelligent security graph uses to categorize and attribute threat activity .		security_team security_team security_team others malware others others others others others others others others others others others others others others others others others others others others security_team security_team security_team security_team security_team others others others others others others others others
Microsoft labels activity groups using code names derived from elements in the periodic table .		company others others others others others others others others others others others others others others
In the case of this malware , the activity groups strongly associated with Winnti are BARIUM and LEAD .		others others others others others others others others others others others others others malware others threatActor_name others threatActor_name others
But even though they share the use of Winnti , the BARIUM and LEAD activity groups are involved in very different intrusion scenarios .		others others others reference_word others others others others malware others others threatActor_name others threatActor_name others others others others others others others others others others
BARIUM begins its attacks by cultivating relationships with potential victims—particularly those working in Business Development or Human Resources—on various social media platforms .		threatActor_name others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
