Downeks and Quasar RAT Used in Recent Targeted Attacks Against Governments .		malware others malware malware others others others others others others target_crowd others
Release_Time : 2017-01-30 Report_URL : https://unit42.paloaltonetworks.com/unit42-downeks-and-quasar-rat-used-in-recent-targeted-attacks-against-governments/ .		others others others others others others others others others
Palo Alto Networks Traps Advanced Endpoint Protection recently prevented recent attacks that we believe are part of a campaign linked to DustySky .		company company company company company company company others others others others others others others others others others others others others others attack_activity others
DustySky is a campaign which others have attributed to the Gaza Cybergang group , a group that targets government interests in the region .		attack_activity others others others others others others others others others threatActor_name threatActor_name threatActor_name others others reference_word others others attack_goal attack_goal attack_goal attack_goal attack_goal others
This report shares our researchers ’ analysis of the attack and Remote Access Tool ( RAT ) .		others others others others others others others others others others others tool tool tool tool tool tool others
We also discovered during our research that the RAT Server used by this attacker is itself vulnerable to remote attack , a double-edged sword for these attackers .		others others others others others others others others tool others others others others others others others others others others others others others others others others others person others
The initial infection vector in this attack is not clear , but it results in installing the “ Downeks ” downloader , which in turn infects the victim computer with the “ Quasar ” RAT .		others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others malware others tool others
Downeks uses third party websites to determine the external IP of the victim machine , possibly to determine victim location with GeoIP .		malware others tool tool tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others sample_function sample_function sample_function others tool others
It also drops decoy documents in an attempt to camouflage the attack .		reference_word others sub_activity sub_activity sub_activity others others others others sample_function sample_function sample_function others
Quasar is a .NET Framework-based open-source RAT .		malware others others others others others tool others
The attackers invested significant effort in attempting to hide the tool by changing the source code of the RAT and the RAT server , and by using an obfuscator and packer .		others person others others others others others others attack_goal attack_goal attack_goal others sub_activity sub_activity sub_activity sub_activity others others tool others others tool others others others others others others others others others others
Unit 42 researchers observed the Quasar RAT being prevented from executing on a Traps-protected client in September 2016 .		person person person others others malware tool others others others others others others others others others time time others
We observed these Quasar samples :  f-secure.exe : 99a7cb43fb2898810956b6137d803c8f97651e23f9f13e91887f188749bd5e8f connects to hnoor.newphoneapp.com .		reference_word others others malware others others sample_name others sha2 others others domain others
HD_Audio.exe : 0c4aa50c95c990d5c5c55345626155b87625986881a2c066ce032af6871c426a connects to manual.newphoneapp.com .		sample_name others sha2 others others domain others
HD_Audio.exe : 86bd78b4c8c94c046d927fb29ae0b944bf2a8513a378b51b3977b77e59a52806 crashes upon execution .		sample_name others sha2 others others others others
sim.exe 723108103ccb4c166ad9cdff350de6a898489f1dac7eeab23c52cd48b9256a42 connects to hnoor.newphoneapp.com .		sample_name sha2 others others domain others
Further research found other Quasar examples , an attack earlier in the month 2016 on the same target :  SHA256: 1ac624aaf6bbc2e3b966182888411f92797bd30b6fcce9f8a97648e64f13506f .		others others others others malware others others others attack_activity others others others others time others others others others others encryption_algo others sha2 others
We found the same Quasar code in an additional attack on the same day , but upon a different target .		others others others others malware others others others others others others others others others others others others others others others others
A second Quasar sample was also observed attacking this new victim :  SHA256: 99a7cb43fb2898810956b6137d803c8f97651e23f9f13e91887f188749bd5e8f .		others others malware reference_word others others others others others others others others encryption_algo others sha2 others
We do not have detailed visibility into the specific host attacked , and have not been able to reproduce the second stage of the attack in our lab .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
