Kubernetes Vulnerability Puts Clusters at Risk of Takeover (CVE-2020-8558) .		tool tool others others others others others others others vulnerability_cve others others
Release_Time :  2020-07-27 Report_URL :  https://unit42.paloaltonetworks.com/cve-2020-8558/ .		others others others others others others others others others
A security issue assigned CVE-2020-8558 was recently discovered in the kube-proxy , a networking component running on Kubernetes nodes .		others others others others vulnerability_cve others others others others others tool others others others others others others tool tool others
The issue exposed internal services of Kubernetes nodes , often run without authentication .		others others others others others others tool tool others others others others others others
On certain Kubernetes deployments , this could have exposed the api-server , allowing an unauthenticated attacker to gain complete control over the cluster .		others others tool others others others others others others others others others others others person person others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
An attacker with this sort of access could steal information , deploy crypto miners or remove existing services altogether .		others person others others others others others others sub_activity sub_activity others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity others
The vulnerability exposed nodes ’ localhost services – services meant to be accessible only from the node itself – to hosts on the local network and to pods running on the node .		reference_word reference_word sample_function sample_function others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Localhost bound services expect that only trusted , local processes can interact with them , and thus often serve requests without authentication .		others others others others others others others others others others others others others others others others others others others others others others others
If your nodes run localhost services without enforcing authentication , you are affected .		others others others others others others others others others others others others others others
The issue details were made public on April 18 , 2020 , and a patch released on June 1 , 2020 .		others others others others others others others time time time time others others others tool others others time time time time others
We worked to assess additional impact to Kubernetes clusters and found that some Kubernetes installations don’t disable the api-server insecure-port , which is normally only accessible from within the master node .		others others others others others others others tool tool others others others others tool others others others others others others others others others others others others others others others others others others others others
Exploiting CVE-2020-8558 , attackers can gain access to the insecure-port and gain full control over the cluster .		others vulnerability_cve others person others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
We alerted the Kubernetes security team of the potential impact of this vulnerability .		others others others security_team security_team security_team others others others others others others reference_word others
In turn , the team rated the vulnerability ’s impact as High in clusters where the api-server insecure-port is enabled , and otherwise Medium .		others others others others reference_word others others reference_word others others others others others others others others others others others others others others others others others others
Luckily , CVE-2020-8558 ’s impact is somewhat reduced on most hosted Kubernetes services like Azure Kubernetes Service ( AKS ) , Amazon ’s Elastic Kubernetes Service ( EKS ) and Google Kubernetes Engine ( GKE ) .		others others vulnerability_cve others others others others others others others others others tool tool others tool tool tool others tool others others others others others tool tool tool others tool others others tool tool tool others tool others others
CVE-2020-8558 was patched in Kubernetes versions v1.18.4 , v1.17.7 , and v1.16.11 ( released June 17 , 2020 ) .		vulnerability_cve others others others tool others others others others others others others others others time time time time others others
All users are encouraged to update .		others others others others others others others
Prisma Cloud customers are protected from this vulnerability through the capabilities described in the Conclusion section .		company company others others others others others reference_word others others others others others others others others others
kube-proxy is a network proxy running on each node in a Kubernetes cluster .		tool others others others others others others others others others others tool tool others
Its job is to manage connectivity among pods and services .		reference_word others others others sample_function sample_function sample_function sample_function sample_function sample_function others
Kubernetes services expose a single clusterIP , but may consist of multiple backing pods to enable load balancing .		tool tool others others others tool others others others others others tool tool tool others sample_function sample_function sample_function others
A service may consist of three pods – each with its own IP address – but will expose only one clusterIP , for example , 10.0.0.1 .		others reference_word others others others tool tool others others others reference_word others tool tool others others others others others others tool others others others others sample_name others
Pods accessing that service will send packets to its clusterIP , 10.0.0.1 , but must somehow be redirected to one of the pods behind the service abstraction .		tool others others others others sample_function sample_function sample_function sample_function tool others sample_name others others others others others others others others others others others others others others others others
That ’s where the kube-proxy comes in .		others others others others others tool others others others
It sets up routing tables on each node , so that requests targeting a service will be correctly routed to one of the pods backing that service .		reference_word sample_function sample_function sample_function sample_function others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others
It ’s commonly deployed as a static pod or as part of a DaemonSet .		others others others others others others others others others others others others others others tool others
GKE ’s documentation has further details , if you ’re interested .		tool others others others others others others others others others others others others others
There are networking solutions , such as Cilium , that could be configured to fully replace the kube-proxy .		others others others others others others others tool others others others others others others others sample_function sample_function sample_function others
As part of its job , the kube-proxy configures several network parameters through sysctl files .		others others others others others others others tool sample_function sample_function sample_function sample_function others tool tool others
One of those is net.ipv4.conf.all.route_localnet – the culprit behind this vulnerability .		others others others others string others others others others others others others
