Operation ShadowHammer .		attack_activity attack_activity malware
Release_Time : 2019-03-25 Report_URL : https://securelist.com/operation-shadowhammer/89992/  Earlier today , Motherboard published a story by Kim Zetter on Operation ShadowHammer , a newly discovered supply chain attack that leveraged ASUS Live Update software .		malware malware malware malware malware malware malware malware malware time malware security_team malware malware malware malware person person malware attack_activity attack_activity malware malware malware malware malware malware malware malware malware company tool tool tool malware
While the investigation is still in progress and full results and technical paper will be published during SAS 2019 conference in Singapore , we would like to share some important details about the attack .		malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware tool time malware malware location malware malware malware malware malware malware malware malware malware malware reference_word reference_word malware
In January 2019 , we discovered a sophisticated supply chain attack involving the ASUS Live Update Utility .		malware time time malware malware malware malware malware malware malware malware malware malware company tool tool tool malware
The attack took place between June and November 2018 and according to our telemetry , it affected a large number of users .		reference_word reference_word malware malware time time time time time malware malware malware malware malware malware reference_word malware malware malware malware malware person malware
ASUS Live Update is an utility that is pre-installed on most ASUS computers and is used to automatically update certain components such as BIOS , UEFI , drivers and applications .		company tool tool malware malware malware malware malware malware malware malware company malware malware malware malware malware malware sample_function sample_function sample_function malware malware tool malware tool malware tool malware tool malware
According to Gartner , ASUS is the world ’s 5th-largest PC vendor by 2017 unit sales .		malware malware company malware company malware malware malware malware malware malware malware malware malware time malware malware malware
This makes it an extremely attractive target for APT groups that might want to take advantage of their userbase .		malware malware reference_word malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware
Based on our statistics , over 57,000 Kaspersky users have downloaded and installed the backdoored version of ASUS Live Update at some point in time .		malware malware malware malware malware malware malware tool person malware malware malware malware malware malware malware malware company tool tool malware malware malware malware malware malware
We are not able to calculate the total count of affected users based only on our data ; however , we estimate that the real scale of the problem is much bigger and is possibly affecting over a million users worldwide .		malware malware malware malware malware malware malware malware malware malware malware person malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware person malware malware
The goal of the attack was to surgically target an unknown pool of users , which were identified by their network adapters ’ MAC addresses .		malware malware malware reference_word reference_word malware malware malware attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal malware malware malware malware malware malware tool tool malware malware malware malware
To achieve this , the attackers had hardcoded a list of MAC addresses in the trojanized samples and this list was used to identify the actual intended targets of this massive operation .		malware malware reference_word malware malware person malware sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity malware malware malware malware malware malware malware malware malware malware sample_function sample_function sample_function sample_function sample_function malware reference_word reference_word reference_word malware
We were able to extract more than 600 unique MAC addresses from over 200 samples used in this attack .		malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware reference_word reference_word malware
Of course , there might be other samples out there with different MAC addresses in their list .		malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware
We believe this to be a very sophisticated supply chain attack , which matches or even surpasses the Shadowpad and the CCleaner incidents in complexity and techniques .		malware malware reference_word malware malware malware malware malware malware malware malware malware malware malware malware malware malware malware attack_activity malware malware attack_activity malware malware malware malware malware malware
The reason that it stayed undetected for so long is partly due to the fact that the trojanized updaters were signed with legitimate certificates ( eg : “ ASUSTeK Computer Inc. ” ) .		malware malware malware reference_word malware malware malware malware malware malware malware malware malware malware malware malware malware tool tool malware malware malware malware malware malware malware malware malware string string string malware malware malware
The malicious updaters were hosted on the official liveupdate01s.asus.com and liveupdate01.asus.com ASUS update servers .		malware tool tool malware malware malware malware malware domain_evil malware domain_evil company tool tool malware
