APT37 .		threatActor_name others
It is possible that APT37 ’s distribution of KARAE malware via torrent websites could assist in creating and maintaining botnets for future distributed denial-of-service ( DDoS ) attacks , or for other activity such as financially motivated campaigns or disruptive operations .		others others others others threatActor_name others others others others malware others others tool tool others others others others others others others others attack_goal attack_activity attack_activity attack_goal attack_activity attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others others others
Disruptive and destructive cyber threat activity , including the use of wiper malware , public leaks of proprietary materials by false hacktivist personas , DDoS attacks and electronic warfare tactics such as GPS signal jamming is consistent with past behavior by other North Korean actors .		others others others others others others others others others others others others others others others others others others others others others others others others attack_activity others others others others others others others tool others others others others others others others others others location location others others
We assess with high confidence that APT37 acts in support of the North Korean government and is primarily based in North Korea .		others others others others others others threatActor_name others others others others others location location government others others others others others location location others
This assessment is based on multiple factors , including APT37 ’s targeting profile , insight into the group ’s malware development and probable links to a North Korean individual believed to be the developer of several of APT37 ’s proprietary malware families :  An individual we believe to be the developer behind several APT37 malware payloads inadvertently disclosed personal data showing that the actor was operating from an IP address and access point associated with North Korea .		others others others others others others others others others threatActor_name others others others others others others others reference_word reference_word others others others others others others others others others location location others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others person person others others others others tool others others others others others others location location others
The compilation times of APT37 malware is consistent with a developer operating in the North Korea time zone ( UTC +8:30 ) and follows what is believed to be a typical North Korean workday .		others others others others threatActor_name malware others others others others others others others others location location others others others tool others others others others others others others others others others others location location others others
The majority of malware compilation times occurred between 10:00 a.m. and 7:00 p.m. , with a dip around noon .		others others others others others others others others time time others time time others others others others others others others
Additional activity occurred late into the evening .		others others others others others others others others
This is consistent with media reporting of extremely long hours for North Korean workers .		others others others others others others others others others others others location location others others
The majority of APT37 activity continues to target South Korea , North Korean defectors , and organizations and individuals involved in Korean Peninsula reunification efforts .		others others others threatActor_name others others others others location location others location location target_crowd others others target_crowd target_crowd target_crowd others others location location others others others
Similarly , APT37 targeting of a Middle Eastern company in 2017 is also consistent with North Korean objectives given the entity ’s extensive relationships inside North Korea .		others others threatActor_name others others others location location company others time others others others others location location others others others others others others others others others location location others
North Korea has repeatedly demonstrated a willingness to leverage its cyber capabilities for a variety of purposes , undeterred by notional redlines and international norms .		location location others others others others others others others others others others others others others others others others others others others others others others others others
Though they have primarily tapped other tracked suspected North Korean teams to carry out the most aggressive actions , APT37 is an additional tool available to the regime , perhaps even desirable for its relative obscurity .		others reference_word others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others
We anticipate APT37 will be leveraged more and more in previously unfamiliar roles and regions , especially as pressure mounts on their sponsor .		others others threatActor_name others others others others others others others others others others others others others others others others others others others others others
The slow transformation of regional actors into global threats is well established .		others others others others others others others others others others others others others
Minor incidents in Ukraine , the Middle East and South Korea have heralded the threats , which are now impossible to ignore .		others others others location others location location location others location location others others others others others others others others others others others others
In some cases , the global economy connects organizations to aggressive regional actors .		others others others others others others others others others others others others others others
In other cases , a growing mandate draws the actor on to the international stage .		others others others others others others others others others others others others others others others others
Ignored , these threats enjoy the benefit of surprise , allowing them to extract significant losses on their victims , many of whom have never previously heard of the actor .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
