Unknown .		others others
Release_Time : unknown .		others others others others
Report_URL : https://attack.mitre.org/groups/ Charming Kitten is an Iranian cyber espionage group that has been active since approximately 2014 .		others others others others others threatActor_name threatActor_name others others others others others others others others others others others others time others
They appear to focus on targeting individuals of interest to Iran who work in academic research , human rights , and media , with most victims having been located in Iran , the US , Israel , and the UK .		reference_word others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd others others others industry industry others industry industry others others industry others others others others others others others others location others location location others location others others location location others
Charming Kitten usually tries to access private email and Facebook accounts , and sometimes establishes a foothold on victim computers as a secondary objective .		threatActor_name threatActor_name others others others sub_activity sub_activity sub_activity sub_activity company sub_activity others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others
The group 's TTPs overlap extensively with another group , Magic Hound , resulting in reporting that may not distinguish between the two groups' activities .		reference_word reference_word others others others others others others others others threatActor_name threatActor_name others others others others others others others others others reference_word reference_word reference_word others others others
Cleaver : Threat Group 2889 , TG-2889 .		threatActor_name others threatActor_aliases threatActor_aliases threatActor_aliases others threatActor_aliases others
Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver .		threatActor_name others others others others others others others others others person person others others others others others others others attack_activity attack_activity others
Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 ( TG-2889 ) .		others others others others threatActor_name others others others threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name threatActor_name others
Cobalt Group : Cobalt Gang , Cobalt Spider .		threatActor_name threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases others
Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions .		threatActor_name threatActor_name others others others others others others others others others others target_crowd target_crowd others
The group has conducted intrusions to steal money via targeting ATM systems , card processing , payment systems and SWIFT systems .		reference_word reference_word others others others others attack_goal attack_goal others others target_crowd target_crowd others target_crowd target_crowd others target_crowd target_crowd others target_crowd target_crowd others
Cobalt Group has mainly targeted banks in Eastern Europe , Central Asia , and Southeast Asia .		threatActor_name threatActor_name others others others target_crowd others location location others location location others others location location others
One of the alleged leaders was arrested in Spain in early 2018 , but the group still appears to be active .		others others person person person others others others location others others time others others reference_word reference_word others others others others others others
The group has been known to target organizations in order to use their access to then compromise additional victims .		reference_word reference_word others others others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Reporting indicates there may be links between Cobalt Group and both the malware Carbanak and the group Carbanak .		others others others others others others others threatActor_name threatActor_name others others others others malware others others others threatActor_name others
