The Gamaredon Group Toolset Evolution .		others threatActor_name others others others others
Release_Time : 2017-02-27 Report_URL : https://unit42.paloaltonetworks.com/unit-42-title-gamaredon-group-toolset-evolution/ Unit 42 threat researchers have recently observed a threat group distributing new , custom developed malware .		others others others others others others others others security_team security_team others others others others others others others others others others others others others others others
We have labelled this threat group the Gamaredon Group and our research shows that the Gamaredon Group has been active since at least 2013 .		others others others others others others others threatActor_name others others others others others others others threatActor_name others others others others others others others time others
In the past , the Gamaredon Group has relied heavily on off-the-shelf tools .		others others others others others threatActor_name others others others others others others others others
Our new research shows the Gamaredon Group have made a shift to custom-developed malware .		others others others others others threatActor_name others others others others others others sub_activity sub_activity others
We believe this shift indicates the Gamaredon Group have improved their technical capabilities .		others others others others others others threatActor_name others others others others others others others
The custom-developed malware is fully featured an includes these capabilities :  A mechanism for downloading and executing additional payloads of their choice .		reference_word reference_word reference_word others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function others others others others
The ability to scan system drives for specific file types .		others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
The ability to capture screenshots .		others others others sample_function sample_function others
The ability to remotely execute commands on the system in the user ’s security context .		others others others sample_function sample_function sample_function others others others others others others others others others others others
The Gamaredon Group primarily makes use of compromised domains , dynamic DNS providers , Russian and Ukrainian country code top-level domains ( ccTLDs ) , and Russian hosting providers to distribute their custom-built malware .		others threatActor_name others others others others others sub_activity sub_activity others sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity tool tool tool tool others tool others others others sub_activity sub_activity sub_activity others others others others others others
Antimalware technologies have a poor record of detecting the malware this group has developed .		others others others others others others others others sub_activity sub_activity reference_word reference_word others others others
We believe this is likely due to the modular nature of the malware , the malware ’s heavy use of batch scripts , and the abuse of legitimate applications and tools ( such as wget ) for malicious purposes .		others others others others others others others others others others others reference_word reference_word others others others others others others others others sub_activity sub_activity others others others others others others sub_activity sub_activity sub_activity others others others tool others others others others others
Previously , LookingGlass reported on a campaign they named “ Operation Armageddon , ” targeting individuals involved in the Ukrainian military and national security establishment .		others others person others others others others others others others attack_activity attack_activity others others others others others others others target_crowd target_crowd others target_crowd target_crowd target_crowd others
Because we believe this group is behind that campaign , we ’ve named them the Gamaredon Group , an anagram of “ Armageddon ” .		others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others
At this time , it is unknown if the new payloads this group is distributing is a continuation of Operation Armageddon or a new campaign .		others others others others others others others others others others others reference_word reference_word others others others others others others attack_activity attack_activity others others others others others
The earliest discovered sample ( based on compile times and sandbox submission times ) distributed by this threat group resembles the descriptions of Gamaredon provided by Symantec and Trend Micro .		others others others others others others others others others others others others others others others others reference_word reference_word reference_word others others others others threatActor_name others others security_team others security_team security_team others
Unfortunately , this identification is rather tenuous , as it seems to only identify the first variant of payloads used by our threat actors .		others others others others others others others others others others others others others others others sub_activity sub_activity sub_activity sub_activity others others others person person others
Some samples of later payload variants also have been given the generic and brittle names of TROJ_RESETTER.BB and TROJ_FRAUDROP.EX .		others others others others others others others others others others others others others others others others sample_name others sample_name others
Originally , the payloads delivered to targets by this threat group consisted of a password protected Self-extracting Zip-archive ( .SFX ) file which , when extracted , wrote a batch script to disk and installed a legitimate remote administration tool called tool Remote Manipulator System which they would abuse for malicious purposes .		others others others sub_activity others others others others reference_word reference_word reference_word others others others others others tool tool others sample_name others others others others others others others others others sub_activity sub_activity others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others tool tool tool others others others others others others others others
