The KeyBoys are back in town .		others others others others others others others
Release_Time : 2017-02-11 Report_URL : https://www.pwc.co.uk/issues/cyber-security-services/research/the-keyboys-are-back-in-town.html In this blog post , we detail our analysis of a recent campaign that we attribute , with high confidence , to KeyBoy , a threat actor believed to be based in or operating from China .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others location others
KeyBoy has been most recently reported on by CitizenLab in 2016 , and now appears to have returned .		threatActor_name others others others others others others others security_team others time others others others others others others others others
Our analysis starts with a Microsoft Word document named 2017 Q4 Work Plan.docx ( with a hash of 292843976600e8ad2130224d70356bfc ) , which was created on 2017-10-11 by a user called “ Admin ’ ’ , and first uploaded to VirusTotal , a website and file scanning service , on the same day , by a user in South Africa .		others others others others others company tool tool others time sample_name sample_name sample_name others others others others others md5 others others others others others others time others others person others others person others others others others others sub_activity sub_activity tool others others others others others others others others others others others others others others others person others location location others
Curiously , the Word document does not contain any macros , or even an exploit .		others others reference_word reference_word reference_word others others others others tool others others others others others others
Rather , it uses a technique recently reported on by SensePost , which allows an attacker to craft a specifically created Microsoft Word document , which uses the Dynamic Data Exchange ( DDE ) protocol .		others others reference_word others others others others others others others security_team others others others others person others others others others others company tool tool others others others others protocol protocol protocol others protocol others others others
DDE traditionally allows for the sending of messages between applications that share data , for example from Word to Excel or vice versa .		protocol others others others others sub_activity sub_activity sub_activity others sub_activity others others others others others others others tool others tool others others others others
In the case reported on by SensePost , this allowed for the fetching or downloading of remote payloads , using PowerShell for example .		others others others others others others security_team others reference_word others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others tool others others others
Once we extract the initial document , using 7-zip for example , we can observe the usual structure , and inside , a file called document.xml is of interest .		others others others others others others others others tool others others others others others others others others others others others others others others others others sample_name others others others others
In this XML , a remote payload , in this case a DLL , will be downloaded using PowerShell , moved to the user ’s temporary folder , and run using rundll32.exe , starting in the HOK function or export .		others reference_word reference_word others others sub_activity sub_activity others others others others others tool others others others sub_activity others tool others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others sub_activity others sample_name others others others others function others others others others
This debug.dll is a PE32 binary file with the following properties :  md5 hash : 64b2ac701a0d67da134e13b2efc46900 .		others sample_name others others others others others others others others others others encryption_algo others others md5 others
sha1 hash : 1bb516d70591a5a0eb55ee71f9f38597f3640b14 .		encryption_algo others others sha1 others
sha256 hash : f3f55c3df39b85d934121355bed439b53501f996e9b39d4abed14c7fe8081d92 .		encryption_algo others others sha2 others
size : 531,456 bytes .		others others others others others
internal DLL name : InstallClient.dll .		others others others others sample_name others
compiler : Microsoft .		others others company others
linker : Microsoft Linker (14.0 )[DLL32] .		others others company tool others others others others others others others
compilation time : 2017-07-06 08:50:10 .		others others others time time others
This DLL serves as a dropper for the actual payload , and as such the internal name of ‘ InstallClient ’ is an apt choice by the threat actor .		reference_word reference_word reference_word others others sample_function sample_function sample_function sample_function sample_function others others others others others others others others others sample_name others others others others others others others others person others
Developing a Yara rule for the simple dropper DLL , yielded several new binaries :  1dbbdd99cb8d7089ab31efb5dcf09706 5708e0320879de6f9ac928046b1e4f4e a6903d93f9d6f328bcfe3e196fd8c78b cf6f333f99ee6342d6735ac2f6a37c1e ac9b8c82651eafff9a3bbe7c69d69447 d6ddecdb823de235dd650c0f7a2f3d8f .		others others encryption_algo others others others others others others others others others others others others md5 md5 md5 md5 md5 md5 others
We have analysed d6ddecdb823de235dd650c0f7a2f3d8f , which also has InstallClient.dll as its internal name , as it seems to be the earliest dropper DLL used in this campaign , and does not appear to be very different from any of the other DLLs so far uncovered .		others others others md5 others others others others sample_name others others others others others others reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The DLL starts in the function named Insys , which performs some simple checks , for example , if the current user account is an administrator , and will subsequently call the function named SSSS , which is the main function .		reference_word reference_word others others others others others function others others others others sample_function sample_function others others others others others others others others others others others others others others others others others others others others function others others others others others others others
A substantial amount of actions will follow according to what ’s defined in the SSSS function , as follows :  Prepare target DLL , in this case rasauto.dll , for replacement in C:\Windows\System32 ;  Stop the service belonging to the target DLL , and use the takeown and icacls commands to gain full permissions for the system service DLL ;  Disable Windows File Protection , which normally prevents software or users from replacing critical Windows files ;  Suppress any error messages from Windows from popping up on boot ;  Copy the target DLL , rasauto.dll , to a new file named rasauto32.dll ;  Replace the target DLL with the malware ’s DLL , which is time-stomped in order to evade detection ;  Start the now malicious service using net.exe and net1.exe ; and , Create configuration and keylogs in C:\Windows\system32 , using an uncommon extension , in this case .tsp , and additionally create a folder in C:\Programdata for the purpose of screen captures .		others others others others others others others others others others others others others others others function others others others others others sub_activity sub_activity sub_activity others others others others sample_name others others others others others others others others sub_activity sub_activity sub_activity others others others others others others others others others function others function others others sub_activity sub_activity sub_activity others others others others others others sub_activity OS_name tool tool others others others sample_function sample_function sample_function sample_function others others others OS_name others others sub_activity sub_activity sub_activity sub_activity others OS_name others others others others others others sub_activity sub_activity sub_activity sub_activity others sample_name others others others others others others sample_name others sub_activity sub_activity sub_activity sub_activity others others sub_activity sub_activity sub_activity sub_activity others others others sub_activity others others others sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity others sample_name others sample_name others others others sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others sample_name others others others sub_activity sub_activity sub_activity others others others others others others others others sub_activity sub_activity others
The malware will also , in some observed cases , output debug or error messages in a newly created file in the user ’s Application Data folder as DebugLog.TXT , for example:\AppData\Roaming\Microsoft\Windows\Cookies\DebugLog.TXT Then , the original dropper DLL will then be deleted , using a simple batch file that runs in a loop .		others sub_activity others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others sample_name others others others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others sub_activity sub_activity sub_activity others others others others others others
While visually there is apparently no difference , due to the malware being time-stomped ( altering the created and modified dates of a file or folder ) , we can however observe a few subtle differences in the real and malicious binary .		others others others others others others others others others others reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The fake DLL has a different link date , some minor spelling mistakes , and does not include the build in the file version details .		others others tool others others others others others others others others others others others others others others others others others others others others others others others
As the malware also disables Windows File Protection and thus any pop-ups , it may not be immediately obvious to system administrators that a legitimate DLL was actually replaced .		others reference_word reference_word others sub_activity OS_name tool tool others others others others others others others others others others others others person person others others sub_activity tool sub_activity sub_activity sub_activity others
The following commands are issued in order to achieve persistence :  reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon" /v SFCDisable /t REG_DWORD /d 4 /f .		others others others others others others others others others others others others others others others others others others others others others others others others others
reg add "HKLM\SYSTEM\CurrentControlSet\Control\Windows" /v NoPopUpsOnBoot /t REG_DWORD /d 1 /f .		others others others others others others others others others others others others others
Taking a look at the Windows registry for our service , RasAuto , short for Remote Access Auto Connection Manager and historically used for connecting dial-up modems to the internet for example , reveals no specific additional modifications .		others others others others others OS_name tool others others others others tool others others others tool tool tool tool tool others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others
Dllhost.exe is additionally seen to call back or phone home to a hardcoded range of C2 servers , on ports 53 , 80 , and 443 .		sample_name others others others others sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity tool sub_activity others others others others others others others others others others
Dllhost usually has no need to connect to the internet or WAN , and as such it is a possible indicator of malicious activity .		tool others others others others others others others others tool others tool others others others others others others others others others others others others others
Attaching a debugger to dllhost.exe , reveals the keylogger files and configuration , replaced DLL file , as well as another folder , which is likely used to store screenshots and other data .		sub_activity sub_activity sub_activity sub_activity sample_name others sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function others others others others others others others others others others others others others others others others others others
Another ASCII string can be discovered in the DLL ’s config , MDDEFGEGETGIZ , which likely pertains to the specific KeyBoy campaign , or target .		others others others others others others others others tool others others others others others others others others others others others others threatActor_name others others others others others
The malware leveraged by KeyBoy has a plethora of functionality , including , but not limited to :  Screen grabbing/taking screenshots ;  Determine public or WAN IP address ( using a public IP service ) , likely for determining a suited target ;  Gather extended system information , such as information about the operating system , disks , memory and so on ;  A ‘ file browser ’ or explorer ;  Shutdown and reboot commands ( in addition to the point below ) ;  Launching interactive shells for communicating with the victim machine ;  Download and upload functionality ; and Usage of custom SSL libraries for masquerading C2 traffic .		others others others others threatActor_name others others others others others others others others others others others others others sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function others others others others protocol others others others others others others others others others others sample_function sample_function sample_function sample_function others others others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function others others others others others others others others others sample_function sample_function sample_function others others others others others others others sample_function sample_function sample_function sample_function others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others
Interestingly enough , the malware developers left several unique debug messages , for example :  GetScreenCmd from file : %s  Take Screen Error ,May no user login !		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Take Screen Error ,service dll not exists Earlier , we mentioned the threat actor uses custom SSL libraries to communicate to the C2 .		others others others others others others others others others others others others others person person others tool protocol tool others sub_activity sub_activity sub_activity tool others
While we have been unable to observe this behavior in any traffic logs , we were able to extract a certificate , which can be found in Appendix B .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Converting this certificate to the DER format , we find strings pointing to jessma.org , and an email address , ldcsaa@21cn.com .		others others others others others tool others others others others others others others domain_evil others others others others others others email_evil email_evil email_evil others
These belong to projects by a Chinese developer , where one of the tools or libraries is named HP-Socket , which is a ‘ High Performance TCP/UDP Socket Component ’ .		others others others others others others others others others others others others others others others others others others tool others others others others others tool tool tool tool tool others others
