TeleBots are back : Supply‑chain attacks against Ukraine .		threatActor_name others others others others others others location others
Release_time : 2017-06-30 Report_URL : https://www.welivesecurity.com/2017/06/30/telebots-back-supply-chain-attacks-against-ukraine/ The latest Petya-like outbreak has gathered a lot of attention from the media .		others others others others others others others others others others others others others others others others others others others others others others
However , it should be noted that this was not an isolated incident : this is the latest in a series of similar attacks in Ukraine .		others others others others others others others others others others others others others others others others others others others others others others others others others location others
This blogpost reveals many details about the Diskcoder.C ( aka ExPetr , PetrWrap , Petya , or NotPetya ) outbreak and related information about previously unpublished attacks .		others others others others others others others malware others others malware others malware others malware others others malware others others others others others others others others others others
In December 2016 we published two detailed blogposts about disruptive attacks conducted by the group ESET researchers call TeleBots , specifically about attacks against financial institutions and a Linux version of the KillDisk malware used by this group .		others time time others others others others others others others others others others others others company person others threatActor_name others others others others others industry industry others others OS_name others others others malware others others others others reference_word others
The group mounted cyberattacks against various computer systems in Ukraine ; systems that can be defined as critical infrastructure .		others reference_word others others others others OS_name OS_name others location others others others others others others others OS_name OS_name others
Moreover , this group has connections with the infamous BlackEnergy group that was responsible for the December 2015 power outages in Ukraine .		others others others reference_word others others others others others malware others others others others others others time time attack_activity attack_activity others location others
In the final stage of its attacks , the TeleBots group always used the KillDisk malware to overwrite files with specific file extensions on the victims ’ disks .		others others others others others others others others others threatActor_name others others others others malware others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others
Putting the cart before the horse : collecting ransom money was never the top priority for the TeleBots group .		others others others others others others others others others others others others others others others others others threatActor_name others others
The KillDisk malware used in the first wave of December 2016 attacks , instead of encrypting , simply overwrites targeted files .		others malware others others others others others others others time time others others others others others others others attack_activity attack_activity attack_activity others
Further , it did not provide contact information for communicating with the attacker ; it just displayed an image from the Mr .		others others others others others others others others others others others others others others others others others others others others others others others
Robot TV show .		others others others others
In the second wave of attacks , the cybersaboteurs behind the KillDisk malware added contact information to the malware , so it would look like a typical ransomware attack .		others others others others others others others others person others others malware others others others others others others others others others others others others others others others others others others
However , the attackers asked for an extraordinary number of bitcoins : 222 BTC ( about $250,000 at that time ) .		others others others reference_word others others others others others others others others others string others others others others others others others others others
This might indicate that they were not interested in bitcoins , but their actual aim was to cause damage to attacked companies .		others others others others others others others others others others others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal others
In 2017 , the TeleBots group didn’t stop their cyberattacks ; in fact , they became more sophisticated .		others time others others threatActor_name others others others others others others others others others others others others others others others others
In the period between January and March 2017 the TeleBots attackers compromised a software company in Ukraine ( not related to M.E.Doc ) , and , using VPN tunnels from there , gained access to the internal networks of several financial institutions .		others others others others time time time time others threatActor_name others others others company company others location others others others others company others others others others others tool tool others others others others others others others others others others others industry industry others
During that attack , those behind TeleBots enhanced their arsenal with two pieces of ransomware and updated versions of tools mentioned in the previously-linked blogposts .		others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others
The first backdoor that the TeleBots group relied heavily on was Python/TeleBot.A , which was rewritten from Python in the Rust programming language .		others others malware others others threatActor_name others others others others others program_language others others others others others program_language others others program_language others others others
The functionality remains the same : it is a standard backdoor that uses the Telegram Bot API in order to receive commands from , and send responses to , the malware operator .		others others others others others others others others others others malware others others others malware malware malware others others others others others others others others others others others others others others others others
The second backdoor , which was written in VBS and packaged using the script2exe program , was heavily obfuscated but the functionality remained the same as in previous attacks .		others others malware others others others others others program_language others others others others program_language others others others others others others others others others others others others others others others others
This time the VBS backdoor used the C&C server at 130.185.250.171 .		others others others program_language malware others others protocol protocol protocol others others IP_evil others
To make connections less suspicious for those who check firewall logs , the attackers registered the domain transfinance.com.ua and hosted it on that IP address .		others others others others others others others others others others others others others others others others others domain_evil others others others others others others others others
