Shedding Skin Turla’s Fresh Faces .		others others threatActor_name others others others others others
Release_Time :  2018-10-04 Report_URL :  https://securelist.com/shedding-skin-turlas-fresh-faces/88069/  Turla , also known as Venomous Bear , Waterbug , and Uroboros , may be best known for what was at the time an “ ultra complex ” snake rootkit focused on NATO-related targets , but their malware set and activity is much broader .		others others others others others others others others threatActor_name others others others others threatActor_aliases threatActor_aliases others threatActor_aliases others others threatActor_aliases others others others others others others others others others others others others others others others others malware malware others others others others others others others others others others others others others others others
Our current focus is on more recent and upcoming activity from this APT , which brings an interesting mix of old code , new code , and new speculations as to where they will strike next and what they will shed .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Much of our 2018 research focused on Turla ’s KopiLuwak javascript backdoor , new variants of the Carbon framework and meterpreter delivery techniques .		others others others time others others others threatActor_name others others malware program_language malware others others others others others malware others others malware others others others
Also interesting was Mosquito ’s changing delivery techniques , customized PoshSec-Mod open-source powershell use , and borrowed injector code .		others others others malware others others others others others others malware malware malware tool others others others others others others others
We tied some of this activity together with infrastructure and data points from WhiteBear and Mosquito infrastructure and activity in 2017 and 2018 .		others others others others others others others others others others others others others malware others malware others others others others time others time others
For a first , our KopiLuwak research identified targets and delivery techniques , bringing more accuracy and reliability to the discussion .		others others others others others malware others others others others others others others others others others others others others others others others
Also interesting is a review of Turla scripting artefacts leading to newer efforts like KopiLuwak , tracing from older scripting in development efforts in WhiteAtlas and WhiteBear .		others others others others others others threatActor_name others others others others others others others malware others others others others others others others others others malware others malware others
And , we find 2018 KopiLuwak delivery techniques that unexpectedly matched Zebrocy spearphishing techniques for a first time as well .		others others others others time malware others others others others others malware attack_activity others others others others others others others others
Also highly interesting and unusual was the MiTM techniques delivering Mosquito backdoors .		others others others others others others others sub_activity others others malware malware others
In all likelihood , Turla delivered a physical presence of some sort within Wifi range of targets .		others others others others threatActor_name others others others others others others others others tool others others others others
Download sessions with Adobe ’s website were intercepted and injected to deliver Mosquito trojanized installers .		others others others company others others tool others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
This sort of hypothesis is supported by Mosquito installers ’ consistent wifi credential theft .		others others others others others others others malware others others others sample_function sample_function sample_function others
Meanwhile , injection and delivery techniques are undergoing changes in 2018 with reflective loaders and code enhancements .		others others others others others others others others others others others others others others others others others others
We expect to see more Mosquito activity into 2019 .		others others others others others malware others others time others
And finally , we discuss the Carbon framework , tying together the older , elegant , and functional codebase sometimes called “ Snake lite ” with ongoing efforts to selectively monitor high value targets .		others others others others others others malware others others others others others others others others others others others others others others others malware malware others others others others others others others others others others others
It appears that the backdoor is pushed with meterpreter now .		others others others others malware others others others malware others others
And , as we see code modifications and deployment in 2018 , we predict more development work on this matured codebase along with selective deployment to continue into 2019 .		others others others others others others others others others others time others others others others others others others others others others others others others others others others others time others
Essentially , we are discussing ongoing activity revolving around several malware families : KopiLuwak and IcedCoffeer , Carbon , Mosquito , WhiteBear .		others others others others others others others others others others others others others malware others malware others malware others malware others malware others
Since at least 2015 Turla has leveraged Javascript , powershell , and wsh in a number of ways , including in their malware dropper/installation operations as well as for implementing complete backdoors .		others others others time threatActor_name others others program_language others tool others others tool others others others others others others others others others others others others others others others others others others malware others
The White Atlas framework often utilized a small Javascript script to execute the malware dropper payload after it was decrypted by the VBA macro code , then to delete the dropper afterwards .		others malware malware others others others others others program_language tool others sample_function sample_function sample_function sample_function sample_function others others others others others others program_language tool tool others others others sub_activity sub_activity sub_activity sub_activity others
A much more advanced and highly obfuscated Javascript script was utilized in White Atlas samples that dropped a Firefox extension backdoor developed by Turla , but again the script was responsible for the simple tasks of writing out the extension.json configuration file for the extension and deleting itself for cleanup purposes .		others others others others others others others program_language tool others others others malware malware others others others others tool others malware others others threatActor_name others others others others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others others others others sample_function sample_function sample_function sample_function sample_function others
Turla ’s first foray into full-fledged Javascript backdoors began with the usage of the IcedCoffee backdoor that we reported on in our private June 2016 “ Ice Turla ” report ( available to customers of Kaspersky APT Intelligence Services ) , which led later to their more fully functional and complex , recently deployed , KopiLuwak backdoor .		threatActor_name others others others others others others program_language malware others others others others others others malware malware others others others others others others others time time others sub_activity sub_activity others others others others others others others security_team tool tool tool others others others others md5 others others others others others others others others others others others malware malware others
IcedCoffee was initially dropped by exploit-laden RTF documents , then later by macro-enabled Office documents .		malware others others others others others tool tool others others others others others tool tool others
The macro code used to drop IcedCoffee was a slightly modified version of that found in White Atlas , which is consistent with the code sharing present in many Turla tools .		others tool tool others others others malware others others others others others others others others others malware malware others others others others others others others others others others others threatActor_name others others
A noteworthy change to the macro code was the addition of a simple web beacon that relayed basic information to Turla controlled servers upon execution of the macro , which not only helped profile the victim but also could be used to track the effectiveness of the attack .		others others others others others tool tool others others others others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others others sample_function sample_function sample_function others others others others others others sample_function sample_function sample_function sample_function sample_function sample_function others
IcedCoffee is a fairly basic backdoor which uses WMI to collect a variety of system and user information from the system , which is then encoded with base64 , encrypted with RC4 and submitted via HTTP POST to the C2 server .		malware others others others others malware others others tool others sample_function sample_function sample_function sample_function sample_function sample_function sample_function sample_function others others others others others others others others others encryption_algo others others others encryption_algo others sub_activity sub_activity tool tool sub_activity sub_activity tool sub_activity others
IcedCoffee has no built-in command capability , instead it may receive javascript files from the C2 server , which are deobfuscated and executed in memory , leaving nothing behind on disk for forensic analysis .		malware others others others others others others others others others sub_activity program_language sub_activity sub_activity sub_activity tool sub_activity others others others sub_activity sub_activity sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others
IcedCoffee was not widely deployed , rather it was targeted at diplomats , including Ambassadors , of European governments .		malware others others others others others others others others others others government others others government others others government government others
In November 2016 , Kaspersky Lab observed a new round of weaponized macro documents that dropped a new , heavily obfuscated Javascript payload that we named KopiLuwak ( one of the rarest and most expensive types of coffee in the world ) .		others time time others security_team security_team others others others others others tool tool tool others others others others others others others program_language others others others others malware others others others others others others others others others others others others others others others others
The targeting for this new malware was consistent with earlier Turla operations , focusing on European governments , but it was even more selectively deployed than IcedCoffee .		others others others reference_word reference_word reference_word others others others others threatActor_name others others others others government government others others others others others others others others others malware others
The KopiLuwak script is decoded by macro code very similar to that previously seen with IcedCoffee , but the resulting script is not the final step .		others malware others others others others tool tool others others others others others others others malware others others others others others others others others others others others
This script is executed with a parameter used as a key to RC4 decrypt an additional layer of javascript that contains the system information collection and command and control beaconing functionality .		reference_word reference_word others others others others others others others others others others encryption_algo sample_function sample_function sample_function sample_function sample_function program_language others others others sample_function sample_function sample_function others tool tool tool others others others
KopiLuwak performs a more comprehensive system and network reconnaissance collection , and like IcedCoffee leaves very little on disk for investigators to discover other than the base script .		malware others others others sub_activity sub_activity others sub_activity sub_activity sub_activity others others others malware others others others others others others others others others others others others others others others
Unlike IcedCoffee , KopiLuwak contains a basic set of command functionality , including the ability to run arbitrary system commands and uninstall itself .		others malware others malware others others others others others tool tool others others others others others sample_function sample_function sample_function sample_function others sample_function sample_function others
In mid-2017 a new version was discovered in which this command set had been further enhanced to include file download and data exfiltration capabilities .		others time others others others others others others others others others others others others others others others others sample_function sample_function others sample_function sample_function others others
The most recent evolution in the KopiLuwak life cycle was observed in mid-2018 when we observed a very small set of systems in Syria and Afghanistan being targeted with a new delivery vector .		others others others others others others malware others others others others others time others others others others others others others others others others location others location others others others others others others others others
In this campaign the KopiLuwak backdoor was encoded and delivered in a Windows shortcut ( .lnk ) file .		others others others others malware malware others others others others others others OS_name others others tool others others others
