Unknown .		others others
If APT29 has registered that day ’s Twitter handle , they will tweet a URL and a hashtag .		others threatActor_name others others others others others others tool others others reference_word others others others sub_activity others others sub_activity others
The URL directs HAMMERTOSS to a webpage containing an image or images .		reference_word reference_word others malware others others others others others others others others others
The hashtag provides a number representing a location within the image file and characters for appending to an encryption key to decrypt instructions within the image .		reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others
In the mockup of a HAMMERTOSS tweet , the hashtag was , indicating that the encrypted data begins at an offset of 101 bytes into the image file , and the characters docto should be added to the encryption key to decrypt the data .		others others others others others malware others others reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Using Twitter as an intermediary to deliver the second-stage CnC to HAMMERTOSS allows APT29 to dynamically direct the tool .		others tool others others others others others others others others others malware others threatActor_name others others others others others others
A sample of the HAMMERTOSS tDiscoverer variant and a corresponding snapshot of a Twitter account page from one of its generated handles .		others others others others malware others others others others others others others others tool others others others others others others others others others
At the time of publication , a publicly available HAMMERTOSS sample had only five generic detections in VirusTotal .		others others others others others others others others others malware others others others others others others others tool others
The Twitter account was active and contained a link to a website .		others tool others others others others others others others others others others others
MD5 d3109c83e07dd5d7fe032dc80c581d08 ( VirusTotal ) .		others md5 others tool others others
SHA1 42e6da9a08802b5ce5d1f754d4567665637b47bc .		others sha1 others
Timing Behavior Communicate on weekdays only after April 3 , 2015 .		others others others others others others others time time time time others
Active Twitter Handle twitter.com/3c6Diallo7f0 .		others tool others domain others
Tweeted URL , Hashtag  http://www.doctorhandbook.com .		others others others others domain domain domain others
HAMMERTOSS uses an algorithm to generate hundreds of Twitter handles annually for potential CnC .		malware others others others others others others others tool others others others others others others
Many of these are unregistered , as APT29 chooses to register a particular day ’s handle as needed and ahead of an anticipated HAMMERTOSS beacon .		others others others others others others others threatActor_name others others others others others others others others others others others others others others others others malware others others
This small number of registered accounts allows the group to maintain a small footprint .		others others others others others others others reference_word reference_word others others others others others others
Other tools use Twitter to relay instructions , including :  MiniDuke , a Windows-based backdoorthat is a suspected Russian tool .		others others others tool others others others others others others malware others others others others others others others location others others
the Sninfs botnet .		others malware others others
Flashback , a Mac-based backdoor .		malware others others others malware others
MiniDuke behaves similarly to HAMMERTOSS by not only using Twitter for CnC , but also by downloading image files containing encrypted , appended content .		malware others others others malware others others others others tool others others others others others others others others others others others others others others others
HAMMERTOSS uses the InternetExplorer .		malware others others tool others
Application COM Object to visit the URL and obtain the image .		others others others others others others others others others others others others
HAMMERTOSS then uses the InternetExplorer .		malware others others others tool others
Application COM Object to visit the URL specified in a tweet .		others others others others others others others others others others others others
We have observed URLs lead to specific GitHub accounts or compromised websites .		others others others others others others others others others others others others others
We will use Github for the next part in our example .		others others others others others others others others others others others others
Once HAMMERTOSS obtains the GitHub URL from its daily Twitter account , it visits the URL and downloads the contents of the page , including any image files .		others malware others others others others others others others tool others others others others others others others others others others others others others others others others others others others
HAMMERTOSS downloads the contents of the website to Internet Explorer ’s browser cache and searches the cache for any images at least as large as the offset specified in the tweet from Stage 2 .		malware others others others others others others others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others
While the image appears normal , it actually contains steganographic data .		others others others others others others others others others others others others
Steganography is the practice of concealing a message , image , or file within another message , image , or file .		others others others others others others others others others others others others others others others others others others others others others others
In this case , the image contains appended and encrypted data that HAMMERTOSS will decrypt and execute .		others others others others others others others others others others others others malware others others others others others
The data may include commands or login credentials to upload a victim ’s data to a cloud storage service .		others others others others others others others others others others others person others others others others others others others others others
HAMMERTOSS locates the encrypted data at the offset specified in the tweet in Stage 2 .		malware others others others others others others others others others others others others others others others
It decrypts the data using a key comprised of hard-coded data from the malware binary appended with the characters from the tweet .		reference_word others others others others others others others others others others others others others others others others others others others others others others
