Naikon ’s Aria .		threatActor_name others others malware others
Release_Time : 2020-05-08 .		others others others others
Report_URL : https://securelist.com/naikons-aria/96899/ .		others others others others others others
Our colleagues at Checkpoint put together a fine research writeup on some Naikon resources and activity related to “ aria-body ” that we detected in 2017 and similarly reported in 2018 .		others person others company others others others others others others others others threatActor_name others others others others others others malware others others others others others time others others others others time others
To supplement their research findings , we are summarizing and publishing portions of the findings reported in our June 2018 “ Naikon ’s New AR Backdoor Deployment to Southeast Asia ” .		others others others others others others others others others others others others others others others others others others time time others threatActor_name others others others malware malware others others location location others others
This malware and activity aligns with much of what the Checkpoint researchers brought to light today .		others others others others others others others others others others company person others others others others others
The Naikon APT became well-known in May 2015 , when our public reporting first mentioned and then fully described the group as a long running presence in the APAC region .		others threatActor_name string others others others time time others others others others others others others others others others others reference_word reference_word others others others others others others others location others others
Even when the group shutdown much of their successful offensive activity after years of campaigns , Naikon maintained several splinter campaigns .		others others reference_word reference_word others others others others others others others others others others others others threatActor_name others others others others others
Matching malware artifacts , functionality , and targeting demonstrates that the group continues to wage cyber-espionage campaigns in the South China Sea region during 2018 .		others others others others others others others others others others reference_word reference_word others others others sub_activity sub_activity others others location location location others others time others
“ Aria-Body ” or “ AR ” is a set of backdoors that maintain compilation dates between January 2017 and February 2018 .		others malware others others others malware others others others others others malware others others others others others time time others time time others
It can be particularly difficult to detect , as much of this code operates in memory , injected by other loader components without touching disk .		others others others others others others others others others others others others others others others others others others others others others others others others others others
We trace portions of this codebase back to “ xsFunction ” exe and dll modules used in Naikon operations going back to 2012 , as their compiled modules implement a subset of the xsFunction feature set .		others others others others others others others others others tool others string others string others others others threatActor_name others others others others time others others others others others others others others others others tool others others others
In all likelihood , this new backdoor and related activity is an extension of or merge with the group ’s “ Paradir Operation ” .		others others others others others others others others others others others others others others others others others reference_word reference_word others others others string string others others
In the past , the group targeted communications and sensitive information from executive and legislative offices , law enforcement , government administrative , military and intelligence organizations within Southeast Asia .		others others others others reference_word reference_word others target_crowd target_crowd target_crowd target_crowd others industry others industry industry others industry industry others industry industry others industry others industry industry others location location others
In many cases we have seen that these systems also were targeted previously with PlugX and other malware .		others others others others others others others others others others others others others others malware others others others others
So , the group has evolved bit since 2015 , and their activity targeting these same profiles continues into 2018 .		others others reference_word reference_word others others others others time others others others others others others others others others others time others
We identified at least a half dozen individual variants from 2017 and 2018 .		others others others others others others others others others others time others time others
It seems clear that the same codebase has been reused by Naikon since at least 2012 , and recent AR backdoors were built from that same code .		others others others others others others others others others others others threatActor_name others others others time others others others malware others others others others others others others others
Their use was tightly clustered in previously and heavily Naikon-targeted organizations , again lending confidence to clustering these resources and activity with previous “ Naikon ” .		others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others
Naikon ’s new AR backdoor is a dll loaded into any one of multiple processes , providing remote access to a system .		threatActor_name others others others malware others others others string others others others others others others others others others others others others others others others
AR load attempts have been identified within processes with executable images listed here : c:\windows\system32\svchost.exe , c:\windows\syswow64\svchost.exe , c:\program files\windows nt\accessories\services.exe , c:\users\dell\appdata\roaming\microsoft\windows\start menu\programs\startup\acrobat.exe , c:\alphazawgyi\svchost.exe .		malware others others others others others others others others others others others others others sample_name sample_name sample_name others sample_name sample_name sample_name others sample_name sample_name sample_name sample_name sample_name others sample_name sample_name sample_name sample_name others sample_name sample_name sample_name others
Because this AR code is injected into processes , the yara rule provided in the Appendix is best run against memory dumps of processes maintaining a main image in the list above .		others others malware others others others others others others others tool others others others others others others others others others others others others others others others others others others others others others others
The AR modules have additionally been seen in some others , including “ msiexec.exe ” processes .		others malware others others others others others others others others others others others sample_name others others others
Below are characteristics of the oldest AR and the newest known AR component in our collection .		others others others others others others malware others others others others malware others others others others others
c766e55c48a4b2e7f83bfb8b6004fc51 .		md5 others
357c8825b3f03414582715681e4e0316859b17e702a6d2c8ea9eb0fd467620a4 .		sha2 others
Tue Jan 3 09:23:48 2017 .		time time time time time others
2ce4d68a120d76e703298f27073e1682 .		md5 others
4cab6bf0b63cea04c4a44af1cf25e214771c4220ed48fff5fca834efa117e5db .		sha2 others
Thu Feb 22 10:04:02 2018 .		time time time time time others
When the dll is loaded , it registers a Windows class calling a specific Window procedure with a removable drive check , a CONNECT proxied callback to its main C2 , an IP location verification against checkip.amazonaws.com , and further communications with a C2 .		others others string others others others others others others OS_name others others others others others others others others others others others others others others others others others others others protocol others others protocol others others others domain others others others others others others protocol others
Some previous modules ’ flow may include more or less system information collection prior to the initial callback .		others others others others others others others others others others others others others others others others others others others
The most recent version of the backdoor utilizes another Window procedure to implement a raw input device based keystroke collector .		others others others others others others others others others others others others others others others others others others others others others
This keylogger functionality was newly introduced to the malware code in February 2018 , and was not present in previous versions .		others others others others others others others others others others others time time others others others others others others others others others
The approximately 200 – 250kb AR backdoor family provides a familiar and slightly changing functionality set per compiled module .		others others others others others malware others others others others others others others others others others others others others others
Because Checkpoint covers the same technical points in their post , we provide this simple summary list :  Persistence handling .		others company others others others others others others others others others others others others others others others others others others others
File and directory handling .		others others others others others
Keylogging .		others others
Shell/Process Management .		others others others
Network activity and status listing and management .		others others others others others others others others
System information collection and management .		others others others others others others
Download management .		others others others
Windows management .		others others others
Extension management .		others others others
Location/IP verification .		others others others
Network Communications over HTTP .		others others others others others
Naikon components going back to 2012 maintain heavy similarities with the current “ Aria-body ” modules .		threatActor_name others others others others time others others others others others others others malware others others others
Not only is some of the functionality only lightly modified , but the same misspellings in error logging remains in their codebase .		others others others others others others others others others others others others others others others others others others others others others others others
Let ’s examine an older 2013 Naikon module and a newer 2017 Naikon AR module here .		others others others others others others time threatActor_name others others others others time threatActor_name others others others others
It ’s clear that the underlying codebase continues to be deployed :  e09254fa4398fccd607358b24b918b63 .		others others others others others others others others others others others others others md5 others
2013:09:10 09:00:15 .		time time others
c766e55c48a4b2e7f83bfb8b6004fc51 .		md5 others
2017:01:03 09:23:48 .		time time others
Kudos to the Checkpoint researchers for providing new details of the Naikon story into the public discussion .		others others others company person others others others others others others threatActor_name others others others others others others
Naikon : c766e55c48a4b2e7f83bfb8b6004fc51 .		threatActor_name others md5 others
Naikon : 2ce4d68a120d76e703298f27073e1682 .		threatActor_name others md5 others
Naikon : 0ed1fa2720cdab23d969e60035f05d92 .		threatActor_name others md5 others
Naikon : 3516960dd711b668783ada34286507b9 .		threatActor_name others md5 others
