Unknown .		others others
Release_Time : unknown .		others others others others
Report_URL : https://attack.mitre.org/groups/ .		others others others others others others
Magic Hound : Rocket Kitten , Operation Saffron Rose , Ajax Security Team , Operation Woolen-Goldfish , Newscaster , Cobalt Gypsy , APT35 .		threatActor_name threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others
Magic Hound is an Iranian-sponsored threat group operating primarily in the Middle East that dates back as early as 2014 .		threatActor_name threatActor_name others others others others others others others others others location location others others others others others others time others
The group behind the campaign has primarily targeted organizations in the energy , government , and technology sectors that are either based or have business interests in Saudi Arabia .		reference_word reference_word others others others others others others others others others industry others industry others others industry others others others others others others others others others others location location others
menuPass : Stone Panda , APT10 , Red Apollo , CVNX , HOGFISH .		threatActor_name others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases threatActor_aliases others threatActor_aliases others threatActor_aliases others
menuPass is a threat group that appears to originate from China and has been active since approximately 2009 .		threatActor_name others others others others others others others others others location others others others others others others time others
The group has targeted healthcare , defense , aerospace , and government sectors , and has targeted Japanese victims since at least 2014 .		reference_word reference_word others others industry others industry others industry others others industry others others others others others target_crowd target_crowd others others others time others
In 2016 and 2017 , the group targeted managed IT service providers , manufacturing and mining companies , and a university .		others time others time others reference_word reference_word others industry industry industry industry others industry others industry industry others others others industry others
Moafee is a threat group that appears to operate from the Guandong Province of China .		threatActor_name others others others others others others others others others others location location location location others
Due to overlapping TTPs , including similar custom tools , Moafee is thought to have a direct or indirect relationship with the threat group DragonOK .		others others others others others others others others others others threatActor_name others others others others others others others others others others others others others threatActor_name others
