Hiding in plain sight : PhantomLance walks into a market .		others others others others others malware others others others others others
Release_Time :  2020-04-28  .		others others others others
Report_URL :  https://securelist.com/apt-phantomlance/96772/  .		others others others others others others
In July 2019 , Dr .Web reported about a backdoor trojan in Google Play , which appeared to be sophisticated and unlike common malware often uploaded for stealing victims ’ money or displaying ads .		others time time others security_team security_team others others others malware malware others location location others others others others others others others others others others others others others others others others others others others others others
So , we conducted an inquiry of our own , discovering a long-term campaign , which we dubbed “ PhantomLance ” , its earliest registered domain dating back to December 2015 .		others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others time time others
We found dozens of related samples that had been appearing in the wild since 2016 and had been deployed in various application marketplaces including Google Play .		others others others others malware malware others others others others others others others others time others others others others others others others others others location location others
One of the latest samples was published on the official Android market on November 6 , 2019 .		others others others malware malware others others others others others location location others time time time time others
We informed Google of the malware , and it was removed from the market shortly after .		others others company others others others others others others others others others others others others others others
During our investigation , we discovered various overlaps with reported OceanLotus APT campaigns .		others others others others others others others others others others attack_activity attack_activity attack_activity others
Thus , we found multiple code similarities with the previous Android campaign , as well as macOS backdoors , infrastructure overlaps with Windows backdoors and a few cross-platform resemblances .		others others others others others others others others others others attack_activity attack_activity others others others others malware malware others others others others malware malware others others others others others others
Besides the attribution details , this document describes the actors ’ spreading strategy , their techniques for bypassing app market filters , malware version diversity and the latest sample deployed in 2020 , which uses Firebase to decrypt the malicious payload .		others others others others others others others others others others others others others others others others others others others others others others others others others others others malware malware malware others time others others others tool others others others others others others
We also found out that Blackberry Cylance research team investigated this activity .		others others others others others security_team security_team others others others others others others
Our report is broken down into several sections .		others others others others others others others others others
Malware versions – technical description of versions found , their features and relationships between them .		others others others others others others others others others others others others others others others others
Spread – information on specific tactics used by the threat actors for distributing their malware .		others others others others others others others others others others others others others others others others
Infrastructure – further details on uncovered infrastructure pieces as well as overlaps found .		others others others others others others others others others others others others others others
Victimology – thoughts on the actors ’ interests in choosing their targets .		others others others others others others others others others others others others others
Overlaps with previous campaigns – details of similarities with all related campaigns that we have identified .		others others others others others others others others others others others others others others others others others
For the purposes of the research , we divided samples we found into a series of “ versions ” based on technical complexity : from the basic Version 1 to the highly sophisticated Version 3 .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Note that they do not fully correlate with the chronological order of their appearance ITW : for example , we observed Version 1 samples in late 2019 and in 2017 , the year that we also saw Version 3 .		others others others others others others others others others others others others others others others others others others others others others others others others others time time others others time others others others others others others others others others others
Functionality of all samples are similar – the main purpose of spyware was to gather sensitive information .		others others others others others others others others others others others malware others others attack_goal attack_goal attack_goal others
While the basic functionality was not very broad , and included geolocation , call logs , contact access and SMS access , the application could also gather a list of installed applications , as well as device information , such as model and OS version .		others others others others others others others others others others others sub_activity others sub_activity sub_activity others sub_activity sub_activity others sub_activity sub_activity others others others others others others others others others others others others others others others others others others others others others others others others others
Furthermore , the threat actor was able to download and execute various malicious payloads , thus , adapting the payload that would be suitable to the specific device environment , such as Android version and installed apps .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This way the actor is able to avoid overloading the application with unnecessary features and at the same time gather information needed .		others others others others others others others others others others others others others others others others others others others others others others others
We attribute the latest Google Play sample ( MD5: 2e06bbc26611305b28b40349a600f95c ) to this version .		others others malware malware malware malware malware others encryption_algo others md5 others others others others others
This is a clear payload , and unlike the other versions , it does not drop an additional executable file .		others others others others others others others others others others others others others others others others others others others others others
Our main theory about the reasons for all these versioning maneuvers is that the attackers are trying to use diverse techniques to achieve their key goal , to bypass the official Google marketplace filters .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool tool tool tool others
And achieve it they did , as even this version passed Google ’s filters and was uploaded to Google Play Store in 2019 ( see Spreading for details ) .		others others others others others others others others reference_word reference_word others tool tool tool tool others others others others location location others others time others others others others others others others
No suspicious permissions are mentioned in the manifest file ; instead , they are requested dynamically and hidden inside the dex executable .		others others others others others others others others others others others others others others others others others others others others others others others
This seems to be a further attempt at circumventing security filtering .		others others others others others others others others others others others others
In addition to that , there is a feature that we have not seen before : if the root privileges are accessible on the device , the malware can use a reflection call to the undocumented API function “ setUidMode ” to get permissions it needs without user involvement .		others others others others others others others others others others others others others others others others others others others others others others others others others others malware malware others others others others others others others others others others others function others others others others others others others others others others
Note that this trick only works with Android SDK version 19 or higher .		others others others others others others others tool tool others others others others others
Most of the aforementioned operations naturally require root access , but we believe that the root exploit may be delivered as payload in a server response to collected device info .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Also , some of the applications that the malware mimics will have notified the user that they only work on rooted devices .		others others others others others others others others others others others others others others others others others others others others others others others
For instance , Browser Cleaner can only clean up the browser cache if it is given root permissions .		others others others tool tool others others others others others others others others others others others others others others
Specimens of this version were also detected in 2019 and earlier .		others others others others others others others others time time time others
One of the samples was located in Google Play Store in November 2019 and described in the Dr .		others others malware malware others others others location location location others time time others others others others others others
Web blog .		others others others
