Dark Tequila Anejo .		malware malware malware others
Release_Time :  2018-08-21 .		others others others others
Report_URL :  https://securelist.com/dark-tequila-anejo/87528/ .		others others others others others others
Dark Tequila is a complex malicious campaign targeting Mexican users , with the primary purpose of stealing financial information , as well as login credentials to popular websites that range from code versioning repositories to public file storage accounts and domain registrars .		attack_activity attack_activity others others others attack_activity attack_activity others target_crowd target_crowd others others others others others others attack_goal attack_goal attack_goal others others others others attack_goal attack_goal others others others others others others others others others others others others others others others others others others
A multi-stage payload is delivered to the victim only when certain conditions are met ; avoiding infection when security suites are installed or the sample is being run in an analysis environment .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
From the target list retrieved from the final payload , this particular campaign targets customers of several Mexican banking institutions and contains some comments embedded in the code written in the Spanish language , using words only spoken in Latin America .		others others others others others others others others others others reference_word reference_word reference_word others target_crowd others others industry industry industry others others others others others others others others others others others others others others others others others others others location location others
Most of the victims are located in Mexico .		others others others target_crowd others others others location others
The campaign has been active since at least 2013 , so it is a very anejo ( mature ) product .		reference_word reference_word others others others others others others time others others others others others others others others others others others others
There are two known infection vectors : spear-phishing and infection by USB device .		others others others others others others others attack_activity others attack_activity attack_activity attack_activity attack_activity others
The threat actor behind it strictly monitors and controls all operations .		person person person others others others others others others others others others
If there is a casual infection , which is not in Mexico or is not of interest , the malware is uninstalled remotely from the victim ’s machine .		others others others others others others others others others others others location others others others others others others reference_word reference_word others others others others others others others others others others
The Dark Tequila malware and its supporting infrastructure are unusually sophisticated for a financial fraud operation .		others malware malware others others others others others others others others others others others others others others
The malicious implant contains all the modules required for the operation and , when instructed to do so by net command server , different modules decrypt and activate .		reference_word reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others others
All stolen data is uploaded to the server in encrypted form .		others others others others others others others others others others others others
This campaign modules are as follows :  Module 1 , which is responsible for communication with the command and control server .		others others others others others others others sub_activity sub_activity others others others others others others others others tool tool tool others others
It verifies if a man-in-the-middle network check is being performed , by validating the certificates with a few very popular websites .		others others others others others others others others others others others others others others others others others others others others others others
Module 2 – CleanUp .		sub_activity sub_activity others others others
If the service detects any kind of ‘ suspicious ’ activity in the environment , such as the fact that it is running on a virtual machine , or that debugging tools are running in the background , it will execute this module to perform a full cleanup of the system , removing the persistence service as well as any files created previously on the system .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Module 3 – Keylogger and Windows Monitor .		sub_activity sub_activity others others others others others others
This is designed to steal credentials from a long list of online banking sites , as well as generic Cpanels , Plesk , online flight reservation systems , Microsoft Office365 , IBM lotus notes clients , Zimbra email , Bitbucket , Amazon , GoDaddy , Register , Namecheap , Dropbox , Softlayer , Rackspace , and other services .		others others others others others others others others others others others others others others others others others others others tool others tool others others others others others others tool tool others tool tool tool tool others tool tool others tool others company others company others tool others company others company others company others company others others others others others
Module 4 – Information stealer , which is designed to steal saved passwords in email and FTP clients , as well as from browsers .		sub_activity sub_activity others others others others others others others others others others others others others others protocol others others others others others others others others
Module 5 – The USB infector .		sub_activity sub_activity others others tool tool others
This copies an executable file to a removable drive to run automatically .		others others others others others others others others others others others others others
This enables the malware to move offline through the victim ’s network , even when only one machine was initially compromised via spear-phishing .		others others reference_word reference_word others others others others others others others others others others others others others others others others others others others attack_activity others
When another USB is connected to the infected computer , it automatically becomes infected , and ready to spread the malware to another target .		others others others others others others others others others others others others others others others others others others others reference_word reference_word others others others others
Module 6 – The service watchdog .		sub_activity sub_activity others others others others others
This service is responsible for making sure that the malware is running properly .		others others others others others others others others reference_word reference_word others others others others
All the described modules are embedded inside the main sample and could be extracted during the analysis process .		others others others others others others others others others others others others others others others others others others others
The campaign remains active .		others others others others others
It is designed to be deployed in any part of the world , and attack any targets according to the interests of the threat actor behind it .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Kaspersky Lab detects the campaign as Trojan.Win32.DarkTequila and Trojan.Win64.DarkTequila .		security_team security_team others others others others malware others malware others
Dark Tequila : 4f49a01e02e8c47d84480f6fb92700aa091133c894821fff83c7502c7af136d9 .		malware malware others sha2 others
Dark Tequila : dce2d575bef073079c658edfa872a15546b422ad2b74267d33b386dc7cc85b47 .		malware malware others sha2 others
Dark Tequila : https://46.17.97.12/website/ .		malware malware others url_evil url_evil url_evil others
Dark Tequila : https://174.37.6.34/98157cdfe45945293201e71acb2394d2 .		malware malware others url_evil url_evil url_evil others
Dark Tequila : https://75.126.60.251/store/ .		malware malware others url_evil url_evil url_evil others
