Observing the Comings and Goings .		others others others others others others
Release_Time : 2016-10 Report_URL : https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part-2.pdf After a tunnel has been opened , Xtunnel reports a 6-byte message to the C&C server composed of the IP address and the port of the target machine .		others others others others others others others others others others others others others others others malware sub_activity sub_activity sub_activity sub_activity others others others others others others others others others others others others others others others others others others others
ESET researchers have retrieved multiple versions of Xtunnel , starting in 2013 , when it apparently was first deployed , to mid-2016 for the most recent versions .		others others others others others others others malware others others others time others others others others others others others others others time others reference_word reference_word reference_word reference_word others
Strangely , the C&C server address used for UDP tunneling is hardcoded in the binary ( 176.31.112.10 ) , and any C&C address potentially given as input to Xtunnel is ignored—even in recent samples .		others others others others others others others others others others others others others others others others others others IP others others others others others others others others others others others others others others others others others others others others
These new Xtunnel binaries are statically linked with OpenSSL 1.0.1e—a version released in February 2013 .		others others malware others others others others others others others others others others time time others
In these binaries , Xtunnel first tries to retrieve the Internet Explorer proxy configuration by calling the Windows API function WinHttpGetIEProxyConfigForCurrentUser .		others others others others malware others others others others others others others others others others others others others others others others others
To gain in flexibility and manage novel features , in April 2015 Xtunnel developers introduced a command line parameter parser .		others others others others others others others others others others time time others others others others others others others others others
In most Xtunnel samples , the parser actually processes a command line hardcoded in the binary , without even looking for input parameters .		others others malware others others others others others others others others others others others others others others others others others others others others others
When this feature is enabled , Xtunnel exchanges data with its C&C server over the HTTP protocol ( encapsulated in TLS protocol ) , probably as a way to bypass firewalls .		others others others others others others malware others others others others others others others others others others protocol protocol others others others others others others others others others others others others others others others
In July 2015 , Xtunnel binaries changed drastically from a syntactic point of view , due to the introduction of code obfuscation .		others time time others others others others others others others others others others others others others others others others others others others others
Windows :  072933fa35b585511003f36e3885563e1b55d55a 082141f1c24fb49981cc70a9ed50cda582ee04dd 08c4d755f14fd6df76ec86da6eab1b5574dfbafd 0f04dad5194f97bb4f1808df19196b04b4aee1b8 3403519fa3ede4d07fb4c05d422a9f8c026cedbf 499ff777c88aeacbbaa47edde183c944ac7e91d2 4b74c90c9d9ce7668aa9eb09978c1d8d4dfda24a 4bc32a3894f64b4be931ff20390712b4ec605488 5f05a8cb6fef24a91b3bd6c137b23ab3166f39ae 71636e025fa308fc5b8065136f3dd692870cb8a4 780aa72f0397cb6c2a78536201bd9db4818fa02a a70ed3ae0bc3521e743191259753be945972118b baa4c177a53cfa5cc103296b07b62565e1c7799f c18edcba2c31533b7cdb6649a970dce397f4b13c c2e8c584d5401952af4f1db08cf4b6016874ddac d00ac5498d0735d5ae0dea42a1f477cf8b8b0826 d0db619a7a160949528d46d20fc0151bf9775c32 e816ec78462b5925a1f3ef3cdb3cac6267222e72 f1ee563d44e2b1020b7a556e080159f64f3fd699 Linux :  7e33a52e53e85ddb1dc8dc300e6558735acf10ce 9444d2b29c6401bc7c2d14f071b11ec9014ae040 ecdda7aca5c805e5be6e0ab2017592439de7e32c f080e509c988a9578862665b4fcf1e4bf8d77c3e C&C server Domain Names :  ciscohelpcenter.com microsoftsupp.com timezoneutc.com inteldrv64.com advpdxapi.com Dropper :  4f895db287062a4ee1a2c5415900b56e2cf15842 87f45e82edd63ef05c41d18aeddeac00c49f1aee 8ee6cec34070f20fd8ad4bb202a5b08aea22abfa 9e779c8b68780ac860920fcb4a8e700d97f084ef c23f18de9779c4f14a3655823f235f8e221d0f6a e034e0d9ad069bab5a6e68c1517c15665abe67c9 e17615331bdce4afa45e4912bdcc989eacf284bc Payload :  04301b59c6eb71db2f701086b617a98c6e026872 11af174294ee970ac7fd177746d23cdc8ffb92d7 e3b7704d4c887b40a9802e0695bae379358f3ba0 C&C server Domain Names :  1oo7.net akamaisoft.com cloudflarecdn.com driversupdate.info kenlynton.com microsoftdriver.com microsofthelpcenter.info nortonupdate.org softwaresupportsv.com symantecsupport.org updatecenter.name updatesystems.net updmanager.com windowsappstore.net Hashes :  0450aaf8ed309ca6baf303837701b5b23aac6f05 067913b28840e926bf3b4bfac95291c9114d3787 1535d85bee8a9adb52e8179af20983fb0558ccb3 42dee38929a93dfd45c39045708c57da15d7586c 8f4f0edd5fb3737914180ff28ed0e9cca25bf4cc 982d9241147aaacf795174a9dab0e645cf56b922 99b454262dc26b081600e844371982a49d334e5e c637e01f50f5fbd2160b191f6371c5de2ac56de4 c91b192f4cd47ba0c8e49be438d035790ff85e70 cdeea936331fcdd8158c876e9d23539f8976c305 db731119fca496064f8045061033a5976301770d de3946b83411489797232560db838a802370ea71 e945de27ebfd1baf8e8d2a81f4fb0d4523d85d6a C&C server IP Addresses :  131.72.136.165 167.114.214.63 176.31.112.10 176.31.96.178 192.95.12.5 46.183.216.209 80.255.10.236 80.255.3.93 81.17.30.29 95.215.46.27		OS_name others others others others others others others others others others others others others others others others others others others others OS_name others others others others others others others others others others others others others others others others others malware others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
