Targeted Attacks in the Middle East Using KASPERAGENT and MICROPSIA .		others others others others location location others malware others malware others
Release_Time : 2017-04-05 .		others others others others
Report_URL : https://unit42.paloaltonetworks.com/unit42-targeted-attacks-middle-east-using-kasperagent-micropsia/ .		others others others others others others
This blog is the result of joint research between Unit 42 and Eyal Sela ClearSky Cyber Security .		others others others others others others others others others security_team security_team others person person security_team security_team security_team others
Over the past few months Palo Alto Networks have been working together with ClearSky on preventing and detecting targeted attacks in the Middle East using two relatively new Microsoft Windows malware families which we call KASPERAGENT and MICROPSIA .		others others others others others security_team security_team security_team others others others others others security_team others others others others others others others others location location others others others others OS_name OS_name others others others others others malware others malware others
In addition , our research has uncovered evidence of links between attacks using these two new malware families and two families of Google Android malware we are calling SECUREUPDATE and VAMP .		others others others others others others others others others others others others others others others others others others others others others others OS_name OS_name others reference_word others others malware others malware others
We named the first new Microsoft Windows malware family “ KASPERAGENT ” based on strings we found in the malware .		reference_word others others others others OS_name OS_name others others others malware others others others others others others others others others others
( Note that we DO NOT believe this is a reference to Kaspersky Lab ) .		others others others reference_word others others others others others others others others security_team security_team others others
We named the second new Microsoft Windows malware family MICROPSIA because the malware is very tightly packed making it appear smaller than it is , similar to the human condition micropsia .		reference_word others others others others OS_name OS_name others others malware others others others others others others others others others others others others others others others others others others others others others others
We named the first new Google Android malware family SECUREUPDATE because it masks its malicious updates a secure updates .		reference_word others others others others OS_name OS_name others others malware others others others others others others others others others others
We named the second new Google Android malware family VAMP because it ’s focused on stealing data .		reference_word others others others others OS_name OS_name others others malware others others others others others others others others others
The attacks are not highly sophisticated , but the themes used , organizations and geographies targeted , as well the persistence of the attacker suggest a determined and noteworthy adversary .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Some of this activity has been covered in a recent post by 360 security , however there is still a great deal of extra detail we are able to add in this report .		others others others others others others others others others others others others security_team security_team others others others others others others others others others others others reference_word others others others others others others others others
Starting in March 2016 , Palo Alto Networks began monitoring this threat following the successful prevention of the execution of a sample of the KASPERAGENT malware on a customer system , however the malware had likely already been used in attacks as early as July , 2015 .		others others time time others security_team security_team security_team others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others time time time others
At the time of writing , we have uncovered :  113 samples of the KASPERAGENT malware .		others others others others others others reference_word others others others others others others others malware others others
94 samples of the MICROPSIA malware .		others others others others malware others others
17 samples of Android Malware which are related to this activity .		others others others OS_name others others others others others others others others
39 command and control domains registered in relation to this activity .		others others others others others others others others others others others others
Most of the attacks discovered so far target users in the United States , Israel , Palestinian Territories , and Egypt ; although there are occasional outliers .		others others others others others others others others others others others location location others location others location location others others location others others others others others others others
Notable outliers include media organizations in a variety of countries .		others others others others others others others others others others others
This post will begin by exploring how the attackers attempt to gain a foothold into target networks before briefly describing the malware families used .		others others others others others others others others others others others attack_goal attack_goal attack_goal attack_goal attack_goal attack_goal others others others others others others others others
This group of attackers favors using URL shortening services to disguise the true links they are sending in spear phishing emails .		reference_word reference_word others others others others tool tool tool others others others others others others others others others attack_activity attack_activity others others
In particular , a number of samples we analyzed were linked via the URL shortening service “ bit.ly ” .		others others others others others others others reference_word others others others others others tool tool tool others domain others others
The URL shortening service then redirects users to the malicious payload hosted on attacker controlled pages , with the malicious payload nearly always contained in an archive file ( most commonly a RAR file . )		others tool tool tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Sending spear phishing emails with direct links to malicious shortened URLs was not the only method employed by the attackers to entice users to install the malware , another method favored by the attackers was the setting up of fake news sites .		others attack_activity attack_activity others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We are unable to confirm how traffic was driven to these sites , the attackers may have helped drive traffic via fake social media accounts , or they may have sent spear phishing links to these pages .		reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others attack_activity attack_activity others others others others others
During our analysis , we discovered two distinct malware families which for the most part leveraged distinct infrastructure with no overlaps , initially leading us to categorize these campaigns separately .		others others others others reference_word others others others others others others others others others others others others others others others others others others others others others others others others others others
Later , we discovered a key link between the two sets of activity which leads us to believe they are related .		others others reference_word others others others others others others others others others others others others others others others others others others others
