iranian-fileless-cyberattack-on-israel-word-vulnerability Release_Time : 2017-04-27 .		others others others others others
Report_URL : https://blog.morphisec.com/iranian-fileless-cyberattack-on-israel-word-vulnerability .		others others others others others others
From April 19-24 , 2017 , a politically-motivated , targeted campaign was carried out against numerous Israeli organizations .		others time time time time others others others others others others others others others others others industry industry others
Morphisec researchers began investigating the attacks on April 24 and continue to uncover more details .		security_team others others others others others others time time others others others others others others others
Initial reports of the attacks , published April 26 ( in Hebrew ) by the Israel National Cyber Event Readiness Team ( CERT-IL ) and The Marker , confirm that the attack was delivered through compromised email accounts at Ben-Gurion University and sent to multiple targets across Israel .		others others others others others others others time time others others others others others others security_team security_team security_team security_team security_team security_team security_team security_team security_team others security_team security_team others others others others others others sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others others others others location others
Ironically , Ben-Gurion University is home to Israel ’s Cyber Security Research Center .		others others others others others others others security_team security_team security_team security_team security_team security_team security_team others
Investigators put the origin of the attack as Iranian ; Morphisec ’s research supports this conclusion and attributes the attacks to the same infamous hacker group responsible for the OilRig malware campaigns .		others others others others others others others others others others security_team others others others others others others others others others others others others others threatActor_aliases threatActor_aliases threatActor_aliases others others others attack_activity attack_activity attack_activity others
The fileless attack was delivered via Microsoft Word documents that exploited a former zero-day vulnerability in Word , CVE-2017-0199 , to install a fileless attack variant of the Helminth Trojan agent .		others attack_activity attack_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others vulnerability_cve others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity malware malware malware others
Microsoft released the patch for the vulnerability on April 11 , but many organizations have not yet deployed the update .		company others others counter_measure counter_measure counter_measure counter_measure others time time others others others others others others others others others others others
The attackers actually based their attack on an existing Proof-of-Concept method that was published by researchers after the patch release .		others others others others others reference_word others others others function others others others others others others others others others others others
By hunting through known malware repositories , Morphisec identified matching samples uploaded by Israeli high-tech development companies , medical organizations and education organizations , indicating that they were victims of the attack .		others counter_measure counter_measure counter_measure counter_measure counter_measure others security_team others others others others others others industry industry industry others industry industry others industry industry others others others others others others others others reference_word others
For security purposes , Morphisec is not revealing these names .		others others others others security_team others others others others others others
The delivery was executed by compromising the email accounts of a few high-profile individuals at Ben-Gurion University .		others others others others others sub_activity sub_activity sub_activity sub_activity others others others target_crowd target_crowd target_crowd target_crowd target_crowd others
The Word document was sent as a reply to legitimate emails sent from those accounts and was propagated to more than 250 individuals in different Israeli companies , according to CERT-IL .		others others others others others others others others others others others others others others others others others others others others others target_crowd target_crowd target_crowd target_crowd target_crowd target_crowd others others others security_team others
