APT28 : AT THE CENTER OF THE STORM .		threatActor_name others others others others others others others others
Release_Time : 2017-01 .		others others others others
Report_URL : https://www2.fireeye.com/rs/848-DID-242/images/APT28-Center-of-Storm-2017.pdf .		others others others others others others
The Democratic National Committee ’s ( DNC ) June 2016 announcement attributing its network breach to the Russian Government triggered an international debate over Russia ’s sponsorship of information operations against the U.S. .		others security_team security_team security_team others others others security_team others time time others others others others others others others government government others others others others others government others others others others others others others others government others
At issue is the question of proof : did the Russian Government direct the group responsible for the breaches and related data leaks ?		others others others others others others others others others others government government others others others others others others others others others others others others
If so , is this simply a matter  of accepted state espionage , or did it cross a line ?		others others others others others others others others others others others others others others others others others others others others
Was the DNC breach part  of a concerted effort by the Russian Government to interfere with the U.S. presidential election?		others others security_team others others others others others others others others government government others others others others government others others others
Unfortunately , we have failed to ask the most consequential question : how will Russia continue to employ a variety of methods , including hacks and leaks ,  to undermine the institutions , policies , and actors that the Russian Government perceives as constricting and condemning its forceful pursuit of its state aims ?		others others others others others others others others others others others others others others government others others others others others others others others others others others others others others others others others others others others others others others others government government others others others others others others others others others others others others others
Our visibility into the operations of APT28 - a group we believe the Russian Government sponsors - has given us insight into some of the government ’s  targets , as well as its objectives and the activities designed to further them .		others others others others others others threatActor_name others others others others others others government government others others others others others others others others others others others others others others others others others others others others others others others others others others others others
We have tracked and profiled this group through multiple investigations , endpoint and network detections , and continuous monitoring .		others others others others others others others others others others others others others others others others others others others others
Our visibility into APT28 ’s operations , which date to at least 2007 , has allowed us to understand the group ’s malware , operational changes , and motivations .		others others others threatActor_name others others others others others time time time time time others others others others others others others others others others others others others others others others others others
This intelligence has been critical to protecting and informing our clients , exposing this threat , and strengthening  our confidence in attributing APT28 to the Russian Government .		others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others government government others
On December 29 , 2016 , the Department of Homeland Security ( DHS ) and Federal Bureau of Investigation ( FBI ) released a Joint Analysis Report confirming FireEye ’s long held public assessment that the Russian Government sponsors APT28 .		time time time time time others others security_team security_team security_team security_team others security_team others others security_team security_team security_team security_team others security_team others others others others others others others security_team others others others others others others others others government government others threatActor_name others
Since at least 2007 , APT28 has engaged  in extensive operations in support of Russian strategic interests .		time time time time others threatActor_name others others others others others others others others government others others others
The group , almost certainly compromised of a sophisticated and prolific set of developers and operators , has historically collected intelligence on defense and geopolitical issues .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
APT28 espionage activity has primarily targeted entities in the U.S. , Europe , and the countries of the former Soviet Union , including governments and militaries , defense attaches , media entities , and dissidents and figures opposed to the current Russian Government .		threatActor_name others others others others others others others others government others government others others others others others others others government government others others government others industry others industry industry others industry industry others others person person person others others others others government government others
Over the past two years , Russia appears to have increasingly leveraged APT28 to conduct information operations commensurate with broader strategic military doctrine .		time time time time time others government others others others others others threatActor_name others others others others others others others others others others others
After compromising a victim organization , APT28 will steal internal data that is then leaked to further political narratives aligned with Russian interests .		others others others others others others threatActor_name others others others others others others others others others others others others others others others others others
To date these have included  the conflict in Syria , NATO-Ukraine relations , the European Union refugee and migrant crisis , the 2016 Olympics and Paralympics Russian athlete doping scandal , public accusations regarding Russian state-sponsored hacking , and the 2016 U.S. presidential election .		others others others others others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others others others attack_activity attack_activity attack_activity attack_activity others
This report details our observations of APT28 ’s targeting , and our investigation into a related breach .		others others others others others others threatActor_name others others others others others others others others others others others others
We also provide an update on shifts in the group ’s tool development and use , and summarize the tactics APT28 employs to compromise its victims .		others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others
In October 2014 , FireEye released APT28: A Window into Russia ’s Cyber Espionage Operations , and characterized APT28 ’s activity as aligning with the Russian Government ’s strategic intelligence requirements .		others time time others security_team others threatActor_name others others others others attack_activity attack_activity attack_activity attack_activity attack_activity attack_activity others others others threatActor_name others others others others others others others government government others others others others others others
While tracking APT28 , we noted the group ’s interest in foreign governments and militaries , particularly those of European and Eastern  European nations , as well as regional security organizations , such as the North Atlantic Treaty Organization ( NATO )  and the Organization for Security and Cooperation  in Europe ( OSCE ) , among others .		others others threatActor_name others others others others others others others others others others others others others others others others others industry industry industry industry industry others others others others others others others others others others others security_team security_team security_team security_team others security_team others others others security_team security_team security_team security_team security_team security_team security_team others security_team others others others others others
Table 1 highlights  some recent examples of this activity .		others others others others others others others others others others
APT28 TARGETING OF POLITICAL ENTITIES AND INTRUSION ACTIVITY .		threatActor_name others others others others others others others others
OSCE NOVEMBER 2016 The OSCE confirmed that it had suffered an intrusion ,  which a Western intelligence service attributed to APT28 .		security_team time time others security_team others others others others others others others others others others others others others others others threatActor_name others
Germany's Christian  Democratic Union ( CDU ) APRIL - MAY 2016 Researchers at Trend Micro observed APT28  establish a fake  CDU email server and launch phishing emails against CDU  members in an attempt to obtain their email credentials and access their accounts .		government government government government government others government others time time time time others others others others others threatActor_name others others others government others others others others others others others government others others others others others others others others others others others others others others
Pussy Riot AUGUST 2015 APT28 targets Russian rockers and dissidents Pussy Riot via spear-phishing emails .		others others time others threatActor_name others others others others others others others others others others others
NATO , Afghan Ministry  of Foreign Affairs , Pakistani Military JULY 2015 APT28 used two domains ( nato-news.com and bbc-news.org ) to host an Adobe Flash zero-day exploit to target NATO , the Afghan Ministry of Foreign Affairs , and the Pakistani military .		security_team others government government government government government others industry industry time time threatActor_name others others others others url_evil others url_evil others others others others vul_aliases vul_aliases vul_aliases others others others security_team others others government government government government government others others others industry industry others
German Bundestag  & Political Parties JUNE 2015 Germany ’s Federal Office for Security in Information Technology ( BSI ) announced that APT28 was likely responsible for the spear phishing emails sent to members of several German political parties .		government government government government government time time security_team security_team security_team security_team security_team security_team security_team security_team security_team security_team others security_team others others others threatActor_name others others others others others others others others others others others others others others others others others
The head of Germany ’s domestic intelligence agency , Bundesamt für Verfassungsschutz ( BfV ) , also attributed the June 2015 compromise of the Bundestag ’s networks to APT28 .		others others others others others others others others others others government government government others government others others others others others time time others others others others others others others others threatActor_name others
Kyrgyzstan Ministry  of Foreign Affairs OCTOBER 2014 THROUGH  SEPTEMBER 2015 FireEye iSight Intelligence identified changes made to domain name server ( DNS ) records that suggest that APT28 intercepted email traffic from the Kyrgyzstan Ministry of Foreign Affairs after maliciously modifying DNS records of the ministry ’s authoritative DNS servers .		government government government government government time time time time time security_team security_team security_team others others others others protocol protocol protocol others protocol others others others others others threatActor_name others others others others others government government government government government others others others protocol others others others others others others others protocol others others
Polish Government & Power Exchange websites JUNE AND  SEPTEMBER 2014 APT28 employed “ Sedkit ” in conjunction with strategic web compromises to deliver “ Sofacy ” malware on Polish Government websites , and the websites of Polish energy company Power Exchange .		government government government government government government time time time time threatActor_name others others tool others others others others others others others others others others malware others others others government government others others others others others others company company company company company others
Since 2014 , APT28 network activity has likely supported information operations designed to influence the domestic politics of foreign nations .		time time others threatActor_name others others others others others others others others others others others others others others others others others
Some of these operations have involved the disruption and defacement of websites , false flag operations using false hacktivist personas , and the theft of data that was later leaked publicly online .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Table 2 highlights incidents in which victims suffered a compromise that FireEye iSIGHT Intelligence , other authorities , or the victims themselves later attributed to the group we track as APT28 .		others others others others others others others others others others others security_team security_team security_team others others others others others others others others others others others others others others others others threatActor_name others
All of these operations have aimed to achieve a similar objective : securing a political outcome beneficial to Russia .		others others others others others others others others others others others others others others others others others others others others
APT28 NETWORK ACTIVITY HAS LIKELY SUPPORTED INFORMATION OPERATIONS .		threatActor_name others others others others others others others others
World Anti-Doping  Agency ( WADA ) SEPTEMBER 2016 On September 13 , WADA confirmed that APT28 had compromised its networks and accessed athlete medical data .		security_team security_team security_team others security_team others time time others time time others security_team others others threatActor_name others others others others others attack_goal attack_goal attack_goal attack_goal others
On September 12 , 2016 , the “ Fancy Bears ’ Hack Team ” persona claimed to have compromised WADA and released athletes ’ medical records as “ proof of American athletes taking doping .		time time time time time others others others threatActor_aliases threatActor_aliases threatActor_aliases threatActor_aliases threatActor_aliases others others others others others others security_team others others others others others others others others others others others others others others others
U.S. Democratic National Committee ( DNC ) APRIL –  SEPTEMBER 2016 The DNC announced it had suffered a network compromise and that a subsequent investigation found evidence of two breaches , attributed to APT28 and APT29 .		others government government government others government others time others time time others government others others others others others others others others others others others others others others others others others others others others threatActor_name others threatActor_name others
FireEye analyzed the malware found on DNC networks and determined that it was consistent with our previous observations of APT28 tools .		security_team others others others others others government others others others others others others others others others others others others threatActor_name others others
In June 2016 , shortly after the DNC ’s announcement , the Guccifer 2.0 persona claimed responsibility for the DNC breach and leaked documents taken from the organization ’s network .		time time time others others others others government others others others others others threatActor_aliases threatActor_aliases others others others others others government others others others others others others others others others others others others
Guccifer 2.0 continued to leak batches of DNC documents through September .		threatActor_aliases threatActor_aliases others others others others others government others others time others
John Podesta MARCH –  NOVEMBER 2016 Investigators found that John Podesta , Hillary Clinton ’s presidential campaign chairman , was one of thousands of individuals targeted in a mass phishing scheme using shortened URLs that security researchers attributed to APT28 .		others others time time time time others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
Throughout October and into early November , WikiLeaks published 34 batches of email correspondence stolen from John Podesta ’s personal email account .		others others others others others others others others others others others others others others others others others others others others others others others others
