APT28 Release_Time :  2016-10 .		threatActor_aliases others others others others
Report_URL :  https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part-2.pdf Sedreco serves as a spying backdoor , whose functionalities can be extended with dynamically loaded plugins .		others others others others others malware others others others others others others others others others others others others others others others others
It is made up of two distinct components : a dropper and the persistent payload installed by this dropper .		others others others others others others others others others others malware others others others others others others others malware others
Alternative Names : AZZY .		others others others malware others
Usage Sedreco is deployed on targets deemed interesting after  a reconnaissance phase .		others malware others others others others others others others others others others others
It serves for long-term espionage ,  thanks to the numerous commands provided by its payload .		others others others others others others others others others others others others others others others others
Known period of activity : May 2012 to July 2016 .		others others others others others time time others time time others
Probably still in use at the time of writing ( August 2016 ) .		others others others others others others others others others others time time others others
Known deployment methods :  Downloaded by Seduploader  Downloaded by Downdelph .		others others others others others others malware others others others others
Distinguishing characteristics ：  The Sedreco payload relies on a configuration usually stored  in a registry key named Path , or in a file named msd , and initially  embedded in the Sedreco dropper The Sedreco payload creates a mutex named MutYzAz  or AZZYMTX The inbound and outbound communications of Sedreco ’s  payload with its C&C server are buffered into two files ,  respectively named __2315tmp.dat and __4964tmp.dat .		others others others others malware others others others others others others others others others others others others tool others others others others others others tool others others others others others others malware malware others malware others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others
Sedreco has two binary components , a dropper and the spying backdoor usually contained  in this dropper .		malware others others others others others others malware others others others others others others others others malware others
The dropper part of Sedreco has also been used to deploy a different payload :   a lightweight downloader  (not described in this whitepaper ) named msdeltemp.dll by its developers .		others malware others others malware others others others others others others others others others others others others others others others others others others others others others sample_name others others others others
We believe Sedreco was first used in 2012 , while our analysis was performed on samples  compiled mid-2016 .		others others malware others others others others time others others others others others others others others others others others
The workflow of Sedreco ’s dropper is composed of the five steps presented in Figure 12 .		others others others malware others others others others others others others others others others others others others others
While straightforward , this workflow possesses some features worth mentioning::The payload configuration is installed on the system by the dropper , in a file or in a registry key , depending on the sample .		others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others others others others
It means that analyzing a Sedreco payload sample itself will not reveal configuration information , such as the C&C server address  (configuration content  will be described below ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Payload persistence is usually ensured by registering an auto-start entry in the Windows  Registry , but we have observed other methods , like registering the payload as a Shell Icon  Overlay handler COM object .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
During its execution the dropper builds a small report , which is then sent to the C&C server .		others others others others malware others others others others others others others others others others others others others others others others
Here is an example of such a report :  INST MSD=0  INST FL=0  INST RUN=0  ST DL=0 .		others others others others others others others others others others others others others others others others others others
Each line corresponds to one step of the dropper workflow , as described in Figure 12 .		others others others others others others others others others others others others others others others others others
The value 0 means success , while there would be an error code returned from the Windows API  GetLastError otherwise .		others others others others others others others others others others others others others others others others tool tool others others others
In this section we will describe the internal working of the Sedreco payload :  first , its configuration file format ;  second , the commands it can execute ;  then , how it communicates with its C&C server ; and finally , how its functionality can be extended with plugins .		others others others others others others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The first action of Sedreco ’s payload is to retrieve the configuration file previously installed  by the dropper .		others others others others malware others others others others others others others others others others others others others malware others
This configuration file consists of a series of variably-sized data fields , preceded  by a header , as described in Figure 13 .		others others others others others others others others others others others others others others others others others others others others others others others
The configuration is encrypted with a custom algorithm using a 6-byte key stored at its beginning .		others others others others others others others others others others others others others others others others others
An implementation of this algorithm in Python can be found in ESET ’s GitHub repository .		others others others others others others program_language others others others others others others others tool others others
Following the key come 10 1-byte fields , each of them containing the size of a corresponding  data field .		others others others others others others others others others others others others others others others others others others others others
Those data fields contain the following values  (ESET ’s names ) :    Timer1: Time to wait between two attempts to ask the C&C server for a command  to execute  (usually set to 10 minutes ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Timer2: Time to wait between two attempts to exfiltrate data to the C&C server  (usually  set to 10 minutes ) .		others others others others others others others others others others others others others others others others others others others others others others others others others
Computer Name :  Computer name to which a pseudo-randomly generated 6-byte value  is appended , plus a two-byte value hardcoded in the dropper .		others others others others others others others others others others others others others others others others others others others others others others others others
C&C1: Domain name of the first C&C server .		others others others others others others others others others others others others others others
C&C2: Domain name of the second C&C server .		others others others others others others others others others others others others others others
Operation Name :  4-character string initially hardcoded in the dropper , which likely  identifies the operation or the target .		others others others others others others others others others others others others others others others others others others others others
So far , we have observed the following values :  rhze ,  rhdn , rhst , rhbp , mtfs , mctf , mtqs .		others others others others others others others others others others string others string others string others string others string others string others string others
We do not know the exact meaning of these values .		others others others others others others others others others others others
Keylogger MaxBuffer :  Maximum size of the memory buffer where keystrokes are logged ,  before they are dumped to the outbound file  (described below ) .		others others others others others others others others others others others others others others others others others others others others others others others others others others others
Keylogger MaxTimeout :  Maximum time to wait before the logged keystrokes are dumped  to the outbound file  (described below ) .		others others others others others others others others others others others others others others others others others others others others others others
Keylogger Flag :  Specify whether to enable the keylogger or not 10 .		others others others others others others others others others others others others others
C&C3: Domain name of the third C&C server .		others others others others others others others others others others others others others others
The next ten data fields are the paths to the plugins that Sedreco will load at startup .		others others others others others others others others others others others others malware others others others others others
These fields  are initially empty , and are updated when Sedreco receives a plugin to load from the C&C server .		others others others others others others others others others others malware others others others others others others others others others others others others
Once it is running , Sedreco provides numerous commands to its operators , identified by a number ,  as described in Table 4 .		others others others others others malware others others others others others others others others others others others others others others others others others others
