The devil’s in the Rich header .		others others others others others others others others others
Release_Time : 2018-03-08 Report_URL : https://securelist.com/the-devils-in-the-rich-header/84348/  In our previous blog , we detailed our findings on the attack against the Pyeongchang 2018 Winter Olympics .		others others others others others others others others others others others others others others others others others others others others others others location time others others others
For this investigation , our analysts were provided with administrative access to one of the affected servers , located in a hotel based in Pyeongchang county , South Korea .		others others others others others others others others others others others others others others others others others others others others others others others others location others others location location others
In addition , we collected all available evidence from various private and public sources and worked with several companies to investigate the command and control ( C&C ) infrastructure associated with the attackers .		others others others others others others others others others others others others others others others others others others others others others others others others others others tool tool tool others others others others others others others
During this investigation , one thing stood out – the attackers had pretty good operational security and made almost no mistakes .		others others others others others others others others others others others others others others others others others others others others others others
Some of our colleagues from other companies pointed out similarities with Chinese APT groups and Lazarus .		others others others others others others others others others others others others others others others threatActor_name others
Yet , something about these potential connections didn’t quite add up .		others others others others others others others others others others others others others others
This made us look deeper for more clues .		others others others others others others others others others
The attackers behind OlympicDestroyer employed several tricks to make it look similar to the malicious samples attributed to the Lazarus group .		others others others malware others others others others others others others others others others others others others others others threatActor_name others others
The main module of OlympicDestroyer carries five additional binaries in its resources , named 101 to 105 respectively .		others others others others malware others others others others others others others others others sample_name others sample_name others others
It is already known that resources 102 and 103 , with the internal names ‘ kiwi86.dll ’ and ‘ kiwi64.dll ’ share considerable amounts of code with other known malware families only because they are built on top of the Mimikatz open-source tool .		others others others others others others sample_name others sample_name others others others others others others sample_name others others others sample_name others others others others others others others others others others others others others others others others others others others others tool others others others
Resource 105 , however is much more interesting in terms of attribution .		others sample_name others others others others others others others others others others others
Resource 105 is the ‘ wiper ‘ component of OlympicDestroyer .		others sample_name others others others others others others others malware others
This binary launches a destructive attack on the victim ’s network ; it removes shadow copy backups , traverses the shared folders on the networks and wipes files .		others others others others others others others others others others others others others others sample_function sample_function sample_function sample_function others sample_function sample_function sample_function sample_function sample_function sample_function sample_function others sample_function sample_function others
Anyone familiar with the wipers attributed to the Lazarus group will find strong similarities in the file deletion routines .		others others others others others others others others threatActor_name others others others others others others others others others others others
Both functions do essentially the same thing : they delete the file by wiping it with zeroes , using a 4096 bytes memory block .		others others others others others others others others others others others others others others others others others others others others tool tool tool tool others
The minor difference here is that the original Bluenoroff routine doesn’t just return after wiping the file , but also renames it to a new random name and then deletes it .		others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others
So , the similar code may be considered as no more than a weak link .		others others others others others others others others others others others others others others others others
A much more interesting discovery appeared when we started looking for various kinds of metadata of the PE file .		others others others others others others others others others others others others others others others others others sample_name others others
It turned out that that the wiper component of OlympicDestroyer contained the exact ‘ Rich ’ header that appeared previously in Bluenoroff samples .		others others others others others others others others others malware others others others others others others others others others others others threatActor_name others others
This provided us with an interesting clue : if files from both the OlympicDestroyer and Bluenoroff families shared the same Rich header it meant that they were built using the same environment and , having already found some similarities in the code , this could have meant that there is a real link between them .		others others others others others others others others others others others others others malware others threatActor_name others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
To test this theory , we needed to investigate the contents of the Rich header .		others others others others others others others others others others others others others others others others
The Rich header is an undocumented structure that appears in most of the PE files generated with the ‘ LINK.EXE ’ tool by Microsoft .		others others others others others others others others others others others others others sample_name others others others others others tool others others others company others
Effectively , any binary built using the standard Microsoft Visual Studio toolset contains this header .		others others others others others others others others tool tool tool others others others others others
There is no official documentation describing this structure , but there is enough public information that can be found on the internet , and there is also the LINK.EXE itself that can be reverse engineered .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others tool others others others others others others others
So , what is a Rich header?		others others others others others others others others
A Rich header is a structure that is written right after the MZ DOS header .		others others others others others others others others others others others others sample_name sample_name others others
It consists of pairs of 4-byte integers .		others others others others others others others others
It starts with the magic value , ‘ DanS ’ and ends with a ‘ Rich ’ followed by a checksum .		others others others others others others others others others others others others others others others others others others others others others others
And it is also encrypted using a simple XOR operation using the checksum as the key .		others others others others others others others others others others others others others others others others others
The data between the magic values encodes the ‘ bill of materials ’ that were collected by the linker to produce the binary .		others others others others others others others others others others others others others others others others others others others others others others others others
The first value of each record is a tool identifier : the unique number of the tool ( ‘ C++ compiler ’ , ‘ C compiler ’ , ‘ resource compiler ’ , ‘ MASM ’  ) , a Visual Studio specific , and the lowest 16 bits of the build number of the tool .		others others others others others others others others others others others others others others others others others others others tool tool others others others tool tool others others others tool tool others others others tool others others others others tool tool others others others others others others others others others others others others others others others
The second value is a little-endian integer that is a number of items that were produced by the tool .		others others others others others others others others others others others others others others others others others others others others
For example , if the application consists of three source C++ files , there will be a record with a tool id corresponding to the C++ compiler , and the item count will be exactly ‘ 3 ’ .		others others others others others others others others others others program_language others others others others others others others others others others others others others others tool tool others others others others others others others others others others others others
The Rich header in OlympicDestroyer ’s wiper component can be decoded as follows .		others others others others malware others others others others others others others others others others
It is a typical example of a header for a binary created with Visual Studio 6 .		others others others others others others others others others others others others others tool tool tool others
The ‘ masm613 ’ items were most likely taken from the standard runtime library , while the items marked as ‘ VC 2003 ’ correspond to libraries imported from a newer Windows SDK – the code uses some Windows API functions that were missing at the time VC 6 was released .		others others function others others others others others others others others tool tool tool others others others others others others others function function others others others others others others others others tool tool others others others others others tool tool others others others others others others others others others others others others
So , basically it looks like a C++ application having three source code files and using a slightly newer SDK to link the Windows APIs .		others others others others others others others program_language others others others others others others others others others others others tool others others others tool tool others
The description perfectly matches the contents of the Bluenoroff sample that has the same Rich header ( i.e .		others others others others others others others others threatActor_name others others others others others others others others others others
5d0ffbc8389f27b0649696f0ef5b3cfe ) .		sha2 others others
We get very different results when trying to check the validity of the Rich header ’s entries against the actual contents of OlympicDestroyer wiper ’s component .		others others others others others others others others others others others others others others others others others others others others others others others malware others others others others others
Even a quick visual inspection of the file shows something very unusual for a file created with Visual Studio 6: references to ‘ mscoree.dll ’ that did not exist at the time .		others others others others others others others others others others others others others others others others others tool tool tool others others others others sample_name others others others others others others others others others
After some experimentation and careful comparison of binaries generated by different versions of Visual Studio , we can name the actual version of Studio that was used : it is Visual Studio 2010 ( MSVC 10 ) .		others others others others others others others others others others others others others tool tool others others others others others others others others others others others others others others others tool tool tool others tool tool others others
Our best proof is the code of the ___tmainCRTStartup function that is only produced with the runtime library of MSVC 10 ( DLL runtime ) using default optimizations .		others others others others others others others others others others others others others others others others others others others tool tool others others others others others others others others
It is not possible that the binary was produced with a standard linker and was built using the MSVC 2010 runtime , having the 2010 ’s startup code invoking the WinMain function and at the same time did not have any Rich records referring to VC/VC++ 2010 .		others others others others others others others others others others others others others others others others others others tool tool others others others others others others others others others others others function others others others others others others others others others others others others others others tool tool others
At the same time , it could not have the same number of Rich records for the VC6 code that is missing from the binary !		others others others others others others others others others others others others others others others others others tool others others others others others others others others
A binary produced with Visual Studio 2010 and built from the same code ( decompiled ) , having the same startup code and almost identical to the wiper ’s sample will have a Rich header that is totally different .		others others others others tool tool tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The only reasonable conclusion that can be made is that the Rich header in the wiper was deliberately copied from the Bluenoroff samples ; it is a fake and has no connection with the contents of the binary .		others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others
It is not possible to completely understand the motives of this action , but we know for sure that the creators of OlympicDestroyer intentionally modified their product to resemble the Bluenoroff samples produced by the Lazarus group .		others others others others others others others others others others others others others others others others others others others others others others malware others others others others others others others threatActor_name others others others others threatActor_name others others
During the course of our investigation , we came across a sample that further consolidates the theory of the Rich header false flag from Lazarus .		others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others
The sample , 64aa21201bfd88d521fe90d44c7b5dba was uploaded to a multi-scanner service from France on 2018-02-09 13:46:23 , as ‘ olymp.exe ’ .		others others others sha2 others others others others others others others others others time time others others others sample_name others others
This is a version of the wiper malware described above , with several important changes :  The 60 minutes delay before shutdown was removed .		others others others others others others others others others others others others others others others others others others others others others others others others others
Compilation timestamp is 2018-02-09 10:42:19 .		others others others time time others
The Rich header appears legit .		others others others others others others
The removal of the 60 minutes ’ delay indicates the attackers were probably in a rush and didn’t want to wait before shutting down the systems .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Also , if true , the compilation timestamp 2018-02-09 10:42:19 puts it right after the attack on the Pyeonchang hotels , which took place at around 9:00 a.m. GMT .		others others others others others others others others time time others others others others others others others others location others others others others others others others others others others others
This suggests the attackers compiled this ‘ special ’ sample after the wiping attack against the hotels and , likely as a result of their hurry , forgot to fake the Rich header .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
The existence of the fake Rich header from Lazarus samples in the new OlympicDestroyer samples indicates an intricate false flag operation designed to attribute this attack to the Lazarus group .		others others others others others others others others threatActor_name others others others others malware others others others others others others others others others others others others others others threatActor_name others others
The attackers ’ knowledge of the Rich header is complemented by their gamble that a security researcher would discover it and use it for attribution .		others others others others others others others others others others others others others others others others others others others others others others others others others others
Although we discovered this overlap on February 13th , it seemed too good to be true .		others others others others others others time time others others others others others others others others others
On the contrary , it felt like a false flag from the beginning , which is why we refrained from making any connections with previous operations or threat actors .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
This newly published research consolidates the theory that blaming the Lazarus group for the attack was parts of the attackers ’ strategy .		others others others others others others others others others others threatActor_name others others others others others others others others others others others others
We would like to ask other researchers around the world to join us in investigating these false flags and attempt to discover more facts about the origin of OlympicDestroyer .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others malware others
If you would like to read more about Rich header , we can recommend a nice presentation on this from George Webster and Julian Kirsch or Technical University of Munich .		others others others others others others others others others others others others others others others others others others others others person person others person person others location location location location others
OlympicDestroyer : 3c0d740347b0362331c882c2dee96dbf , wiper with the fake Lazarus Rich header .		malware others sha2 others others others others others others others others others
OlympicDestroyer : 64aa21201bfd88d521fe90d44c7b5dba , wiper the original Rich header and no delay before shutdown .		malware others sha2 others others others others others others others others others others others others
