Zebrocy’s Multilanguage Malware Salad .		threatActor_name others others others others others others
Rlease_Time : 2019-06-03 .		others others others others
Report_URL : https://securelist.com/zebrocys-multilanguage-malware-salad/90680/ .		others others others others others others
Zebrocy is Russian speaking APT that presents a strange set of stripes .		threatActor_name others others others others others others others others others others others others
To keep things simple , there are three things to know about Zebrocy .		others others others others others others others others others others others others threatActor_name others
Zebrocy is an active sub-group of victim profiling and access specialists .		threatActor_name others others others others others others others others others others others
Zebrocy maintains a lineage back through 2013 , sharing malware artefacts and similarities with BlackEnergy .		threatActor_name others others others others others time others others others others others others others malware others
The past five years of Zebrocy infrastructure , malware set , and targeting have similarities and overlaps with both the Sofacy and BE .		others others others others others threatActor_name others others others others others others others others others others others others others others threatActor_name others malware others
Zebrocy shares data points and crosses lines with other clusters of activity in unique and unexpected ways .		threatActor_name sub_activity sub_activity sub_activity others sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity sub_activity others others others others others others
Zebrocy initially shared limited infrastructure , targets , and interests with Sofacy .		threatActor_name others others others others others others others others others others threatActor_name others
Zebrocy also shared malware code with past BlackEnergy/Sandworm ; and targeting , and later very limited infrastructure with more recent BlackEnergy/GreyEnergy .		threatActor_name others others others others others others others others others others others others others others others others others others others others others
Turla deployed spearphish macros almost identical to previous , non-public Zebrocy code in 2018 .		threatActor_name others others others others others others others others others threatActor_name others others time others
It ’s fantastic to see some of these same points being repeated publicly by other research teams .		others others others others others others others others others others others others others others others others others others others
A previous claim that Zebrocy distributed Sofacy ’s XAgent as a second stage implant remains unsubstantiated but now is replaced with findings identical to these following the SAS2019 presentation , so it seems we are all slowly getting on the same page .		others others others others threatActor_name others threatActor_name others others malware others others others others others others others others others others others others others others others others others others security_team others others others others others others others others others others others others others others others
When we originally documented a Zebrocy malware incident in late 2015 , we noted an Oct 2015 AutoIT downloader and a Delphi backdoor payload .		others others others others others threatActor_name others others others others time others others others others time time others others others others others others others others
Since then , we have noted a virtual salad of Zebrocy code tossed together , built with a handful of languages , often ripped from various code sharing sites .		others others others others others others others others others others threatActor_name others others others others others others others others others others others others others others others others others others others
Zebrocy activity initiates with spearphishing operations delivering various target profilers and downloaders without the use of any 0day exploits .		threatActor_name others others others others others others others others others others others others others others others others others others others
Browser credential theft , keylogging , and Windows credential theft , along with some incidents of file and communications theft , are all on the list of Zebrocy second stage implant specials .		others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others
This Zebrocy dish is served before the main course – gaining and maintaining access is not an easy job .		others threatActor_name others others others others others others others others others others others others others others others others others others
