APT trends report Q1 2019 .		others others others others others others
Release_Time :  2019-4-30 .		others others others others
Report_URL :  https://securelist.com/apt-trends-report-q1-2019/90643/ .		others others others others others others
For just under two years , the Global Research and Analysis Team ( GReAT ) at Kaspersky Lab has been publishing quarterly summaries of advanced persistent threat ( APT ) activity .		others others others others others others others others others others others others others security_team others others others others others others others others others others others others others others others others others others
The summaries are based on our threat intelligence research and provide a representative snapshot of what we have published and discussed in greater detail in our private APT reports .		others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
They aim to highlight the significant events and findings that we feel people should be aware of .		others others others others others others others others others others others others others others others others others others
This is our latest installment , focusing on activities that we observed during Q1 2019 .		others others others others others others others others others others others others others time time others
Readers who would like to learn more about our intelligence reports or request more information on a specific report are encouraged to contact ‘ intelreports@kaspersky.com ’  .		others others others others others others others others others others others others others others others others others others others others others others others others domain domain domain others others
Targeting supply-chains has proved very successful for attackers in recent years – ShadowPad , CCleaner and ExPetr are good examples .		others others others others others others others others others others others others malware others malware others malware others others others others
In our threat predictions for 2019 , we flagged this as a likely continuing attack vector ; and we didn’t have to wait very long to see this prediction come true .		others others others others others time others others others others others others others others others others others others others others others others others others others others others others others others others others others others
In January , we discovered a sophisticated supply-chain attack involving the ASUS Live Update Utility , the mechanism used to deliver BIOS , UEFI and software updates to ASUS laptops and desktops .		others time others others others others others others others others others attack_activity attack_activity attack_activity attack_activity others others others others others others tool others tool others others others others company others others others others
The attackers behind “ Operation ShadowHammer ”  added a backdoor to the utility and then distributed it to users through official channels .		others others others others attack_activity attack_activity others others others malware others others others others others others others others others others others others others
The goal of the attack was to target with precision an unknown pool of users , identified by their network adapter MAC addresses .		others others others others others others others others others others others others others others others others others others others others others tool tool others
The attackers were found to have hardcoded a list of MAC addresses into the Trojanized samples , representing the true targets of this massive operation .		others others others others others others others others others others tool tool others others malware others others others others others others others others others others others
We were able to extract over 600 unique MAC addresses from more than 200 samples discovered in this attack , although it ’  s possible that other samples exist that target different MAC addresses .		others others others others others others others others tool tool others others others others others others others others others others others others others others others others others others others others others others tool tool others
Russian-speaking groups were not especially active during the first part of the year , with no noteworthy technical or operational changes .		threatActor_name threatActor_name others others others others others others others others others others others others others others others others others others others others
However , they continued their non-stop activity in terms of spreading , with a special interest in political activity .		others others others others others others others others others others others others others others others others others others others others
This was apparent in an attack focused on the Ukraine elections .		others others others others others others others others others location others others
The attack surfaced after we discovered a malicious Word document targeting a German political advisory organization .		others others others others others others others others others others others others location others others others others
This organization , according to its website , “ advises political decision-makers on international politics and foreign and security policy ”  .		others others others others others others others others others others others others others others others others others others others others others others
Our technical analysis of the attack suggests that the Sofacy or Hades groups are behind it , though we ’  re unable to say for sure which of these groups is responsible .		others others others others others others others others others threatActor_name others threatActor_name others others others others others others others others others others others others others others others others others others others others others
Such political interests are not new .		others others others others others others others
Recently , a court in Virginia gave Microsoft control of a group of websites that were intended to look like login sites for a Washington think tank , but are believed to be part of the infrastructure of a “ Russian group suspected in the DNC hack ”  .		others others others others others location others company others others others others others others others others others others others others others others others others industry industry industry others others others others others others others others others others others others others others others others others others others others others others
Additionally , Microsoft revealed that a “ Russian nation-state hacking group ”  targeted political organizations engaged in the 2019 European Parliament elections scheduled for the end of May .		others others company others others others others others others others others others others others others others others others time location others others others others others others others others others
On the technical side , since mid-January we have been tracking an active Turla campaign targeting government bodies in Turkmenistan and Tajikistan .		others others others others others others time others others others others others others threatActor_name others others others others others government others government others
This time the actor delivered its known KopiLuwak JavaScript using new .NET malware , called “ Topinambour ”  ( aka Sunchoke ) by its developers .		others others others others others others others malware malware others others tool others others others others malware others others reference_word reference_word others others others others others
The Topinambour dropper is delivered along with legitimate software and consists of a tiny .NET shell that waits for Windows shell commands from operators .		others malware others others others others others others others others others others others others tool others others others others others others others others others others
Interestingly , in this campaign the attackers used different artefacts implemented in JavaScript , .NET and PowerShell – all of them with similar functionality .		others others others others others others others others others others others others tool others tool others tool others others others others others others others others
We also published details on how Zebrocy has added the “ Go ”  language to its arsenal – the first time that we have observed a well-known APT threat actor deploy malware 、 with this compiled , open source language .		others others others others others others malware others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others others
Zebrocy continues to target government-related organizations in Central Asia , both in-country and in remote locations , as well as a new diplomatic target in the Middle East .		malware others others others others others others location location others others others others others others others others others others others others others others others others location location location others
Finally , during February 2019 we observed a highly targeted attack in Crimea using a previously unknown malware .		others others others time time others others others others others others others location others others others others others others
The spy program was spread by email and masqueraded as the VPN-client of a well-known Russian security company that , among other things , provides solutions to protect networks .		others others others others others others others others others others others tool others others others others others others others others others others others others others others others others others others
At this point we can ’  t relate this activity to any known actor .		others others others others others others others others others others others others others others others
Recent APT trend summaries included analyses of new Chinese-speaking threat actors as well as the resurgence of old activity sets .		others others others others others others others others attack_activity attack_activity others others others others others others others others others others others
This has continued into 2019 .		others others others others time others
In the early months of 2019 , Chinese-speaking actors were the most active , with a traditional interest in targeting different countries in South East Asia .		time time time time time time others attack_activity others others others others others others others others others others others others others others others location location location others
A recent indictment of two Chinese nationals by the US Department of Justice on charges of computer hacking , conspiracy to commit wire fraud and aggravated identity theft , alleged that they were members of the APT10 group , carrying out illegal activity on behalf of the Chinese Ministry of State Security .		others others others others others location others others others location others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others others others others others others others others others location others others others others others
Similarly , CactusPete ( aka LoneRanger , Karma Panda , and Tonto Team ) , is reported to have targeted South Korean , Japanese , US , and Taiwanese organizations in the 2012 – 2014 timeframe .		others others threatActor_name others reference_word reference_word others reference_word reference_word others others reference_word reference_word others others others others others others others location location others location others location others others location others others others time time time time others
The actor has quite likely relied on much the same codebase and implant variants for the past six years .		others others others others others others others others others others others others others others others others others others others others
However these have broadened substantially since 2018 .		others others others others others others time others
The group spear-phishes its targets , deploys Word and Equation Editor exploits and an appropriated/repackaged DarkHotel VBScript zero-day , delivers modified and compiled unique Mimikatz variants , GSEC and WCE credential stealers , a keylogger , various Escalation of Privilege exploits , various older utilities and an updated set of backdoors , and what appear to be new variants of custom downloader and backdoor modules .		others others malware others others others others tool others tool tool others others others others threatActor_name tool others others others others others others others malware others others industry others industry others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others others others malware others others
We have been monitoring a campaign targeting Vietnamese government and diplomatic entities abroad since at least April 2018 .		others others others others others others others others others others others others others others time time time time others
We attribute the campaign , which we call “ SpoiledLegacy ”  , to the LuckyMouse APT group ( aka EmissaryPanda and APT27 ) .		others others others others others others others others others attack_activity others others others others threatActor_name threatActor_name threatActor_name others reference_word reference_word others reference_word others others
The operators use penetration testing frameworks such as Cobalt Strike and Metasploit .		others others others others others others others others malware malware others malware others
While we believe that they exploit network services vulnerabilities as their main initial infection vector , we have also seen spear-phishing messages containing decoy documents .		others others others others others others others others others others others others others others others others others others others others malware malware others others others others
We believe that , as in a previous LuckyMouse campaign internal database servers are among the targets .		others others others others others others others others threatActor_name others others others others others others others others others
For the last stage of their attack they use different in-memory 32- and 64-bit Trojans injected into system process memory .		others others others others others others others others others others others others others others malware others others others others others others
It is worth highlighting that all the tools in the infection chain dynamically obfuscate Win32 API calls using leaked HackingTeam code .		others others others others others others others others others others others others others others others others others others others others others others
FireEye defined APT40 as the Chinese state-sponsored threat actor previously reported as TEMP.Periscope , Leviathan and TEMP.Jumper .		company others threatActor_name others others location others others others others others others threatActor_name others threatActor_name others threatActor_name others
According to FireEye , the group has conducted operations in support of China ’  s naval modernisation effort since at least 2013 , specifically targeting engineering , transportation and defence industries , especially where these sectors overlap with maritime technologies .		others others company others others others others others others others others others location others others others others others others time time time others others others industry others industry others industry others others others others others others others others others others others
